Index,File,Nodes,Total Nodes,Butterflies,X-vars,C-vars,Total vars,Total constraints,Crossings,Opttime,Work,Nodes visited,Setup Time
98,Rome-Lib/graficon37nodi/grafo7233.37,37,51,0,390,598,988,2702,11,0.077,0.0782,1,0.046
99,Rome-Lib/graficon35nodi/grafo11330.35,35,50,0,410,478,888,2630,3,0.044,0.046,1,0.043
100,Rome-Lib/graficon25nodi/grafo1743.25,25,53,1,338,378,716,1904,4,0.029,0.0273,1,0.036
101,Rome-Lib/graficon35nodi/grafo11464.35,35,56,1,572,834,1406,4603,20,0.196,0.2207,1,0.07
102,Rome-Lib/graficon33nodi/grafo1890.33,33,52,1,276,316,592,1436,4,0.022,0.0165,1,0.026
103,Rome-Lib/graficon38nodi/grafo7745.38,38,52,0,282,342,624,1526,3,0.023,0.0185,1,0.06
104,Rome-Lib/graficon35nodi/grafo3872.35,35,59,0,492,528,1020,3104,3,0.048,0.0499,1,0.049
105,Rome-Lib/graficon28nodi/grafo1291.28,28,57,0,500,580,1080,3172,9,0.059,0.0639,1,0.051
106,Rome-Lib/graficon30nodi/grafo1345.30,30,50,0,608,814,1422,4991,15,0.161,0.1832,1,0.075
107,Rome-Lib/graficon32nodi/grafo10048.32,32,52,0,290,350,640,1570,3,0.027,0.0221,1,0.033
108,Rome-Lib/graficon37nodi/grafo5193.37,37,57,1,290,356,646,1539,7,0.042,0.0337,1,0.035
109,north/g.35.26.graphml,35,53,1,348,358,706,1899,8,0.045,0.0359,1,0.032
110,Rome-Lib/graficon35nodi/grafo3866.35,35,58,0,388,484,872,2308,7,0.049,0.0471,1,0.039
111,Rome-Lib/graficon36nodi/grafo6220.36,36,52,0,382,454,836,2240,4,0.03,0.0288,1,0.037
112,Rome-Lib/graficon31nodi/grafo1946.31,31,59,0,310,348,658,1585,3,0.04,0.0293,1,0.029
113,Rome-Lib/graficon34nodi/grafo3023.34,34,54,0,278,314,592,1414,2,0.022,0.0163,1,0.026
114,north/g.34.2.graphml,34,52,0,360,404,764,2118,1,0.026,0.0246,1,0.035
115,north/g.47.15.graphml,47,55,0,180,150,330,635,0,0.005,0.0029,1,0.013
116,Rome-Lib/graficon40nodi/grafo4020.40,40,57,1,436,532,968,2736,6,0.047,0.0479,1,0.045
117,Rome-Lib/graficon28nodi/grafo141.28,28,66,0,396,400,796,1986,0,0.014,0.0111,1,0.035
118,north/g.38.4.graphml,38,62,0,338,326,664,1610,3,0.026,0.0224,1,0.03
119,Rome-Lib/graficon38nodi/grafo6729.38,38,60,0,544,806,1350,4007,25,0.254,0.312,1,0.062
120,Rome-Lib/graficon48nodi/grafo5587.48,48,69,0,686,830,1516,4948,15,0.216,0.2592,1,0.076
121,north/g.61.35.graphml,61,61,0,1138,216,1354,9689,0,0.072,0.0992,1,0.161
122,Rome-Lib/graficon40nodi/grafo2729.40,40,64,0,544,606,1150,3277,4,0.058,0.0646,1,0.053
123,north/g.48.10.graphml,48,66,0,834,894,1728,7042,3,0.113,0.1394,1,0.102
124,Rome-Lib/graficon42nodi/grafo5644.42,42,61,0,442,474,916,2506,5,0.04,0.0386,1,0.05
125,north/g.44.4.graphml,44,69,0,426,322,748,1980,0,0.016,0.0133,1,0.037
126,north/g.44.21.graphml,44,68,0,628,238,866,4269,0,0.019,0.0296,0,0.064
127,Rome-Lib/graficon40nodi/grafo5327.40,40,68,0,460,512,972,2500,4,0.056,0.0545,1,0.042
128,Rome-Lib/graficon34nodi/grafo2091.34,34,63,0,606,846,1452,4474,11,0.087,0.1036,1,0.069
129,Rome-Lib/graficon42nodi/grafo3639.42,42,61,0,374,464,838,2175,3,0.033,0.0306,1,0.047
130,Rome-Lib/graficon36nodi/grafo2093.36,36,60,0,754,1138,1892,6882,23,0.31,0.3936,1,0.099
131,Rome-Lib/graficon36nodi/grafo7380.36,36,62,0,428,560,988,2608,6,0.045,0.0449,1,0.044
132,Rome-Lib/graficon40nodi/grafo7000.40,40,67,0,442,538,980,2498,10,0.128,0.1203,1,0.043
133,Rome-Lib/graficon36nodi/grafo11030.36,36,64,1,598,752,1350,4265,9,0.103,0.1,1,0.094
134,Rome-Lib/graficon43nodi/grafo5519.43,43,69,0,662,898,1560,4876,10,0.132,0.1577,1,0.077
135,Rome-Lib/graficon38nodi/grafo6069.38,38,60,0,376,442,818,2111,3,0.034,0.0337,1,0.038
136,Rome-Lib/graficon34nodi/grafo10081.34,34,64,0,470,548,1018,2755,3,0.052,0.057,1,0.045
137,Rome-Lib/graficon38nodi/grafo7531.38,38,61,1,294,356,650,1573,3,0.028,0.0174,1,0.028
