Index,Data,T1,T2,T3
1036,graficon61nodi/grafo7870.61,0.993,0.997,1.018
1037,graficon61nodi/grafo7881.61,0.255,0.253,0.254
1038,graficon61nodi/grafo7958.61,2.446,2.474,2.46
1039,graficon61nodi/grafo7988.61,7.789,7.729,7.697
1040,graficon61nodi/grafo7989.61,7.719,7.805,7.676
1041,graficon61nodi/grafo8051.61,0.214,0.213,0.236
1042,graficon61nodi/grafo8059.61,10.548,10.563,10.618
1043,graficon61nodi/grafo8112.61,0.542,0.54,0.543
1044,graficon61nodi/grafo8121.61,2.832,2.862,2.849
1045,graficon61nodi/grafo8136.61,4.795,4.825,4.786
1046,graficon61nodi/grafo8155.61,7.405,7.319,7.277
1047,graficon61nodi/grafo8169.61,1.086,1.072,1.122
1048,graficon61nodi/grafo8182.61,37.546,53.386,50.864
1049,graficon61nodi/grafo8185.61,12.557,12.38,12.553
1050,graficon61nodi/grafo8199.61,2.799,2.856,2.88
1051,graficon61nodi/grafo8268.61,3.286,3.367,3.04
1052,graficon61nodi/grafo8319.61,7.155,6.91,7.168
1053,graficon61nodi/grafo8325.61,4.631,4.273,4.648
1054,graficon61nodi/grafo8384.61,3.723,3.603,3.672
1055,graficon61nodi/grafo8395.61,4.213,4.38,4.12
1056,graficon61nodi/grafo8397.61,3.774,3.85,3.544
1057,graficon61nodi/grafo8402.61,0.484,0.525,0.477
1058,graficon61nodi/grafo8407.61,0.601,0.408,0.392
1059,graficon61nodi/grafo8417.61,2.732,2.799,2.945
1060,graficon61nodi/grafo8418.61,0.816,0.814,0.838
1061,graficon61nodi/grafo8424.61,2.155,2.029,2.05
1062,graficon61nodi/grafo8455.61,13.954,13.425,13.543
1063,graficon61nodi/grafo8475.61,1.061,1.019,1.005
1065,graficon61nodi/grafo8515.61,1.188,1.19,1.207
1067,graficon61nodi/grafo8542.61,0.738,0.634,0.615
1068,graficon61nodi/grafo8544.61,1.151,1.179,1.176
1069,graficon61nodi/grafo8562.61,0.521,0.535,0.514
1070,graficon61nodi/grafo8584.61,1.101,1.074,1.364
1071,graficon61nodi/grafo8990.61,8.607,8.707,8.493
1072,graficon61nodi/grafo9006.61,3.765,3.751,3.812
1075,graficon61nodi/grafo9067.61,3.553,3.525,3.511
1077,graficon61nodi/grafo9092.61,42.367,41.135,44.571
1078,graficon61nodi/grafo9093.61,0.64,0.631,0.639
1079,graficon61nodi/grafo9184.61,7.023,7.591,7.478
1080,graficon61nodi/grafo9278.61,2.7,2.679,2.65
1081,graficon61nodi/grafo9301.61,0.453,0.482,0.455
1082,graficon61nodi/grafo9367.61,0.858,0.82,0.827
1083,graficon61nodi/grafo9379.61,0.614,0.615,0.609
1084,graficon61nodi/grafo9391.61,0.546,0.561,0.536
1085,graficon61nodi/grafo9408.61,7.48,7.515,7.293
1087,graficon61nodi/grafo9494.61,0.868,0.839,0.8
1088,graficon61nodi/grafo9535.61,0.923,0.893,0.872
1089,graficon61nodi/grafo9775.61,0.582,0.594,0.582
1090,graficon61nodi/grafo9779.61,32.151,37.37,37.073
1091,graficon61nodi/grafo9794.61,4.694,5.218,5.237
1092,graficon61nodi/grafo9818.61,23.639,23.638,23.375
1093,graficon61nodi/grafo9847.61,1.335,1.411,1.412
