Index,Data,T1,T2,T3
301,graficon31nodi/grafo3686.31,0.055,0.057,0.056
302,graficon31nodi/grafo5213.31,0.034,0.033,0.032
303,graficon31nodi/grafo5484.31,0.013,0.012,0.012
304,graficon31nodi/grafo5834.31,0.028,0.028,0.027
305,graficon31nodi/grafo6114.31,0.096,0.094,0.092
306,graficon31nodi/grafo9857.31,0.02,0.019,0.018
307,graficon31nodi/grafo9865.31,0.057,0.055,0.056
308,graficon31nodi/grafo9912.31,0.07,0.071,0.071
309,graficon31nodi/grafo9913.31,0.019,0.019,0.018
310,graficon31nodi/grafo9916.31,0.056,0.056,0.055
311,graficon31nodi/grafo9923.31,0.041,0.043,0.042
312,graficon31nodi/grafo9990.31,0.053,0.032,0.033
313,graficon31nodi/grafo10007.31,0.034,0.033,0.034
314,graficon31nodi/grafo10009.31,0.019,0.019,0.019
315,graficon31nodi/grafo10011.31,0.019,0.019,0.019
316,graficon31nodi/grafo10013.31,0.02,0.02,0.019
317,graficon31nodi/grafo10018.31,0.054,0.055,0.056
318,graficon31nodi/grafo10022.31,0.019,0.019,0.018
319,graficon31nodi/grafo10025.31,0.065,0.066,0.064
320,graficon31nodi/grafo10033.31,0.021,0.019,0.019
321,graficon31nodi/grafo10036.31,0.02,0.019,0.019
322,graficon31nodi/grafo10056.31,0.019,0.019,0.018
323,graficon31nodi/grafo10063.31,0.019,0.019,0.019
324,graficon31nodi/grafo10068.31,0.021,0.021,0.02
325,graficon31nodi/grafo10075.31,0.03,0.029,0.031
326,graficon31nodi/grafo10077.31,0.02,0.019,0.019
327,graficon31nodi/grafo10458.31,0.02,0.019,0.019
328,graficon31nodi/grafo10745.31,0.055,0.056,0.054
329,graficon31nodi/grafo10887.31,0.019,0.019,0.019
330,graficon31nodi/grafo11127.31,0.02,0.02,0.02
331,graficon31nodi/grafo11239.31,0.033,0.033,0.034
332,graficon31nodi/grafo11356.31,0.03,0.03,0.029
333,graficon31nodi/grafo11395.31,0.054,0.054,0.058
334,graficon31nodi/grafo11421.31,0.046,0.047,0.046
335,graficon31nodi/grafo11454.31,0.057,0.055,0.054
336,graficon31nodi/grafo11489.31,0.058,0.058,0.056
337,graficon31nodi/grafo11509.31,0.057,0.056,0.055
338,graficon31nodi/grafo11522.31,0.019,0.019,0.02
339,graficon31nodi/grafo11547.31,0.02,0.019,0.019
340,graficon31nodi/grafo11559.31,0.02,0.02,0.02
341,graficon31nodi/grafo11581.31,0.057,0.056,0.055
342,graficon31nodi/grafo11641.31,0.021,0.019,0.019
343,graficon40nodi/grafo120.40,0.045,0.043,0.042
344,graficon40nodi/grafo134.40,0.139,0.136,0.157
345,graficon40nodi/grafo289.40,0.084,0.083,0.082
346,graficon40nodi/grafo365.40,0.05,0.049,0.048
347,graficon40nodi/grafo490.40,0.031,0.031,0.03
348,graficon40nodi/grafo1710.40,0.212,0.208,0.207
349,graficon40nodi/grafo2249.40,0.097,0.095,0.099
350,graficon40nodi/grafo2273.40,0.204,0.201,0.223
351,graficon40nodi/grafo2316.40,0.325,0.328,0.323
352,graficon40nodi/grafo2381.40,0.053,0.051,0.051
353,graficon40nodi/grafo2455.40,0.238,0.228,0.248
354,graficon40nodi/grafo2503.40,0.652,0.646,0.651
355,graficon40nodi/grafo2523.40,0.137,0.139,0.137
356,graficon40nodi/grafo2529.40,0.101,0.101,0.115
357,graficon40nodi/grafo2566.40,0.149,0.169,0.151
358,graficon40nodi/grafo2593.40,0.178,0.175,0.178
359,graficon40nodi/grafo2627.40,0.08,0.076,0.075
360,graficon40nodi/grafo2729.40,0.073,0.073,0.069
361,graficon40nodi/grafo2848.40,0.151,0.149,0.147
362,graficon40nodi/grafo2851.40,0.282,0.3,0.279
363,graficon40nodi/grafo2863.40,0.071,0.07,0.073
364,graficon40nodi/grafo2913.40,0.211,0.218,0.21
365,graficon40nodi/grafo2932.40,0.543,0.54,0.56
366,graficon40nodi/grafo2963.40,0.126,0.127,0.124
367,graficon40nodi/grafo2975.40,0.026,0.026,0.026
368,graficon40nodi/grafo3001.40,0.592,0.595,0.594
369,graficon40nodi/grafo3003.40,0.136,0.118,0.118
370,graficon40nodi/grafo3020.40,0.034,0.034,0.035
371,graficon40nodi/grafo3088.40,0.572,0.57,0.57
372,graficon40nodi/grafo3114.40,0.223,0.221,0.222
373,graficon40nodi/grafo3116.40,0.082,0.101,0.083
374,graficon40nodi/grafo3131.40,0.331,0.33,0.329
375,graficon40nodi/grafo3150.40,0.048,0.047,0.046
376,graficon40nodi/grafo3171.40,0.263,0.28,0.259
377,graficon40nodi/grafo3193.40,0.093,0.093,0.091
378,graficon40nodi/grafo3201.40,0.087,0.083,0.086
379,graficon40nodi/grafo3203.40,0.103,0.106,0.104
380,graficon40nodi/grafo3216.40,0.098,0.117,0.097
381,graficon40nodi/grafo3228.40,0.093,0.094,0.094
382,graficon40nodi/grafo3229.40,0.093,0.093,0.09
383,graficon40nodi/grafo3254.40,0.29,0.288,0.287
384,graficon40nodi/grafo3255.40,0.08,0.079,0.082
385,graficon40nodi/grafo3263.40,0.205,0.223,0.2
386,graficon40nodi/grafo3287.40,0.165,0.167,0.165
387,graficon40nodi/grafo3296.40,0.091,0.091,0.094
388,graficon40nodi/grafo3335.40,0.159,0.158,0.158
389,graficon40nodi/grafo3337.40,0.099,0.101,0.1
390,graficon40nodi/grafo3353.40,0.102,0.077,0.08
391,graficon40nodi/grafo3367.40,0.157,0.157,0.159
392,graficon40nodi/grafo3381.40,0.088,0.089,0.088
393,graficon40nodi/grafo3387.40,0.237,0.237,0.235
394,graficon40nodi/grafo3456.40,0.184,0.199,0.18
395,graficon40nodi/grafo3471.40,0.194,0.195,0.195
396,graficon40nodi/grafo3519.40,0.096,0.093,0.096
397,graficon40nodi/grafo3520.40,0.053,0.053,0.053
398,graficon40nodi/grafo3521.40,0.257,0.255,0.278
399,graficon40nodi/grafo3525.40,0.314,0.311,0.313
400,graficon40nodi/grafo3537.40,1.108,1.104,1.108
401,graficon40nodi/grafo3538.40,0.077,0.1,0.078
402,graficon40nodi/grafo3539.40,0.209,0.206,0.206
403,graficon40nodi/grafo3542.40,0.13,0.13,0.13
404,graficon40nodi/grafo3549.40,0.266,0.265,0.287
405,graficon40nodi/grafo3555.40,0.126,0.124,0.127
406,graficon40nodi/grafo3562.40,0.237,0.236,0.236
407,graficon40nodi/grafo3577.40,0.137,0.139,0.137
408,graficon40nodi/grafo3621.40,0.123,0.123,0.142
409,graficon40nodi/grafo3634.40,0.058,0.058,0.057
410,graficon40nodi/grafo3673.40,0.48,0.477,0.477
411,graficon40nodi/grafo3711.40,0.112,0.112,0.112
412,graficon40nodi/grafo3719.40,0.127,0.103,0.106
413,graficon40nodi/grafo3722.40,0.298,0.297,0.301
414,graficon40nodi/grafo3751.40,0.322,0.322,0.33
415,graficon40nodi/grafo3753.40,0.23,0.254,0.231
416,graficon40nodi/grafo3754.40,0.1,0.097,0.098
417,graficon40nodi/grafo3771.40,0.337,0.325,0.321
418,graficon40nodi/grafo3773.40,0.265,0.265,0.268
419,graficon40nodi/grafo3777.40,0.233,0.209,0.214
420,graficon40nodi/grafo3803.40,0.472,0.49,0.472
421,graficon40nodi/grafo3804.40,0.153,0.152,0.154
422,graficon40nodi/grafo3874.40,0.099,0.081,0.081
423,graficon40nodi/grafo3885.40,0.137,0.139,0.136
424,graficon40nodi/grafo3886.40,0.233,0.233,0.238
425,graficon40nodi/grafo3893.40,0.026,0.026,0.025
426,graficon40nodi/grafo3916.40,0.145,0.147,0.15
427,graficon40nodi/grafo3941.40,0.143,0.13,0.129
428,graficon40nodi/grafo3942.40,0.197,0.176,0.184
429,graficon40nodi/grafo3986.40,0.834,0.787,0.763
430,graficon40nodi/grafo3987.40,0.251,0.278,0.249
431,graficon40nodi/grafo3997.40,0.492,0.494,0.497
432,graficon40nodi/grafo4010.40,0.321,0.306,0.322
433,graficon40nodi/grafo4019.40,0.044,0.043,0.043
434,graficon40nodi/grafo4020.40,0.057,0.058,0.057
435,graficon40nodi/grafo4021.40,0.135,0.13,0.131
436,graficon40nodi/grafo4034.40,0.053,0.053,0.054
437,graficon40nodi/grafo4035.40,0.166,0.164,0.166
438,graficon40nodi/grafo4038.40,0.238,0.26,0.235
439,graficon40nodi/grafo4054.40,0.12,0.122,0.123
440,graficon40nodi/grafo4073.40,0.123,0.122,0.117
441,graficon40nodi/grafo4077.40,0.35,0.346,0.343
442,graficon40nodi/grafo4081.40,0.167,0.148,0.145
443,graficon40nodi/grafo4094.40,0.103,0.136,0.118
444,graficon40nodi/grafo4105.40,0.035,0.035,0.035
445,graficon40nodi/grafo5145.40,0.07,0.069,0.071
446,graficon40nodi/grafo5167.40,0.21,0.202,0.241
447,graficon40nodi/grafo5211.40,0.18,0.207,0.183
448,graficon40nodi/grafo5231.40,0.392,0.389,0.396
449,graficon40nodi/grafo5259.40,0.261,0.257,0.259
450,graficon40nodi/grafo5265.40,0.428,0.414,0.421
451,graficon40nodi/grafo5327.40,0.07,0.07,0.072
452,graficon40nodi/grafo5346.40,0.076,0.076,0.074
453,graficon40nodi/grafo5373.40,0.488,0.478,0.498
454,graficon40nodi/grafo5394.40,0.078,0.078,0.08
455,graficon40nodi/grafo5426.40,0.439,0.437,0.435
456,graficon40nodi/grafo5446.40,0.244,0.245,0.25
457,graficon40nodi/grafo5453.40,0.299,0.313,0.29
458,graficon40nodi/grafo5465.40,0.088,0.088,0.092
459,graficon40nodi/grafo5475.40,0.058,0.058,0.059
460,graficon40nodi/grafo5504.40,0.114,0.114,0.112
461,graficon40nodi/grafo5525.40,0.175,0.173,0.173
462,graficon40nodi/grafo5545.40,0.875,0.86,0.85
463,graficon40nodi/grafo5568.40,0.382,0.38,0.4
464,graficon40nodi/grafo5643.40,0.232,0.23,0.229
465,graficon40nodi/grafo5649.40,0.081,0.08,0.085
466,graficon40nodi/grafo5652.40,0.151,0.15,0.151
467,graficon40nodi/grafo5675.40,0.047,0.047,0.049
468,graficon40nodi/grafo5697.40,0.305,0.281,0.283
469,graficon40nodi/grafo5714.40,0.21,0.21,0.208
470,graficon40nodi/grafo5716.40,0.158,0.159,0.156
471,graficon40nodi/grafo5719.40,1.266,1.244,1.249
472,graficon40nodi/grafo5747.40,0.089,0.089,0.092
473,graficon40nodi/grafo5772.40,0.105,0.128,0.107
474,graficon40nodi/grafo5830.40,0.051,0.049,0.049
475,graficon40nodi/grafo5876.40,0.131,0.131,0.128
476,graficon40nodi/grafo5910.40,0.695,0.698,0.693
477,graficon40nodi/grafo5919.40,0.413,0.401,0.393
478,graficon40nodi/grafo5972.40,1.123,1.134,1.155
479,graficon40nodi/grafo5980.40,0.155,0.157,0.155
480,graficon40nodi/grafo6027.40,0.154,0.156,0.155
481,graficon40nodi/grafo6079.40,0.074,0.072,0.095
482,graficon40nodi/grafo6098.40,0.077,0.075,0.078
483,graficon40nodi/grafo6115.40,0.029,0.028,0.028
484,graficon40nodi/grafo6139.40,0.112,0.11,0.11
485,graficon40nodi/grafo6142.40,0.117,0.116,0.115
486,graficon40nodi/grafo6149.40,0.156,0.156,0.157
487,graficon40nodi/grafo6167.40,0.384,0.406,0.39
488,graficon40nodi/grafo6174.40,0.607,0.606,0.632
489,graficon40nodi/grafo6178.40,0.116,0.118,0.118
490,graficon40nodi/grafo6181.40,0.271,0.276,0.269
491,graficon40nodi/grafo6182.40,0.269,0.267,0.266
492,graficon40nodi/grafo6189.40,0.378,0.357,0.355
493,graficon40nodi/grafo6195.40,0.157,0.158,0.156
494,graficon40nodi/grafo6197.40,0.252,0.254,0.252
495,graficon40nodi/grafo6207.40,0.148,0.151,0.15
496,graficon40nodi/grafo6208.40,0.148,0.173,0.148
497,graficon40nodi/grafo6261.40,0.236,0.232,0.234
498,graficon40nodi/grafo6279.40,0.187,0.188,0.191
499,graficon40nodi/grafo6284.40,0.288,0.287,0.306
500,graficon40nodi/grafo6360.40,0.305,0.303,0.305
501,graficon40nodi/grafo6382.40,0.13,0.132,0.131
502,graficon40nodi/grafo6392.40,0.627,0.634,0.647
503,graficon40nodi/grafo6409.40,0.138,0.143,0.138
504,graficon40nodi/grafo6458.40,0.325,0.324,0.324
505,graficon40nodi/grafo6460.40,0.168,0.172,0.171
506,graficon40nodi/grafo6472.40,0.445,0.423,0.421
507,graficon40nodi/grafo6485.40,0.153,0.156,0.155
508,graficon40nodi/grafo6498.40,0.282,0.289,0.287
509,graficon40nodi/grafo6501.40,0.253,0.23,0.234
510,graficon40nodi/grafo6641.40,0.15,0.151,0.16
511,graficon40nodi/grafo6763.40,1.063,1.077,1.059
512,graficon40nodi/grafo6845.40,0.141,0.145,0.142
513,graficon40nodi/grafo6861.40,0.136,0.138,0.135
514,graficon40nodi/grafo6863.40,0.89,0.867,0.87
515,graficon40nodi/grafo6873.40,0.22,0.22,0.221
516,graficon40nodi/grafo6881.40,0.422,0.418,0.438
517,graficon40nodi/grafo6888.40,0.053,0.053,0.053
518,graficon40nodi/grafo6899.40,0.078,0.076,0.074
519,graficon40nodi/grafo6920.40,0.27,0.265,0.27
520,graficon40nodi/grafo6922.40,0.076,0.075,0.078
521,graficon40nodi/grafo6929.40,0.803,0.776,0.779
522,graficon40nodi/grafo6955.40,0.184,0.189,0.186
523,graficon40nodi/grafo6962.40,0.101,0.101,0.104
524,graficon40nodi/grafo6972.40,0.149,0.129,0.129
525,graficon40nodi/grafo6976.40,0.367,0.366,0.365
526,graficon40nodi/grafo6993.40,0.397,0.384,0.384
527,graficon40nodi/grafo7000.40,0.113,0.138,0.114
528,graficon40nodi/grafo7001.40,0.04,0.04,0.041
529,graficon40nodi/grafo7050.40,0.11,0.113,0.109
530,graficon40nodi/grafo7110.40,0.131,0.127,0.128
531,graficon40nodi/grafo7111.40,0.163,0.162,0.158
532,graficon40nodi/grafo7114.40,0.166,0.166,0.166
533,graficon40nodi/grafo7121.40,0.167,0.166,0.187
534,graficon40nodi/grafo7165.40,0.69,0.689,0.692
535,graficon40nodi/grafo7172.40,0.2,0.204,0.202
536,graficon40nodi/grafo7180.40,0.134,0.136,0.134
537,graficon40nodi/grafo7209.40,0.224,0.198,0.199
538,graficon40nodi/grafo7222.40,0.507,0.509,0.504
539,graficon40nodi/grafo7251.40,0.032,0.031,0.031
540,graficon40nodi/grafo7252.40,0.749,0.769,0.75
541,graficon40nodi/grafo7269.40,0.245,0.247,0.245
542,graficon40nodi/grafo7279.40,0.104,0.104,0.128
543,graficon40nodi/grafo7285.40,0.382,0.381,0.38
544,graficon40nodi/grafo7301.40,0.075,0.063,0.065
545,graficon40nodi/grafo7308.40,1.018,1.018,0.997
546,graficon40nodi/grafo7330.40,0.098,0.097,0.099
547,graficon40nodi/grafo7347.40,0.184,0.179,0.182
548,graficon40nodi/grafo7392.40,0.1,0.1,0.098
549,graficon40nodi/grafo7395.40,0.103,0.124,0.103
550,graficon40nodi/grafo7397.40,0.205,0.201,0.201
551,graficon40nodi/grafo7401.40,0.136,0.137,0.134
552,graficon40nodi/grafo7409.40,0.049,0.047,0.047
553,graficon40nodi/grafo7421.40,0.1,0.098,0.1
554,graficon40nodi/grafo7422.40,0.052,0.051,0.052
555,graficon40nodi/grafo7432.40,0.086,0.081,0.085
556,graficon40nodi/grafo7449.40,0.066,0.045,0.046
557,graficon40nodi/grafo7475.40,0.179,0.178,0.179
558,graficon40nodi/grafo7534.40,0.275,0.276,0.275
559,graficon40nodi/grafo7541.40,0.255,0.274,0.257
560,graficon40nodi/grafo7542.40,0.148,0.154,0.146
561,graficon40nodi/grafo7544.40,0.161,0.158,0.158
562,graficon40nodi/grafo7570.40,0.161,0.16,0.158
563,graficon40nodi/grafo7599.40,0.274,0.292,0.271
564,graficon40nodi/grafo7600.40,0.373,0.373,0.37
565,graficon40nodi/grafo7611.40,0.297,0.3,0.297
566,graficon40nodi/grafo7639.40,0.586,0.559,0.556
567,graficon40nodi/grafo7652.40,0.145,0.146,0.147
568,graficon40nodi/grafo7656.40,0.279,0.275,0.302
569,graficon40nodi/grafo7670.40,0.206,0.206,0.207
570,graficon40nodi/grafo7680.40,0.431,0.426,0.451
571,graficon40nodi/grafo7681.40,0.204,0.206,0.205
572,graficon40nodi/grafo7685.40,0.518,0.517,0.519
573,graficon40nodi/grafo7698.40,0.042,0.04,0.061
574,graficon40nodi/grafo7706.40,0.116,0.111,0.114
575,graficon40nodi/grafo7715.40,0.163,0.162,0.164
576,graficon40nodi/grafo7718.40,0.122,0.125,0.125
577,graficon40nodi/grafo7739.40,0.034,0.033,0.033
578,graficon40nodi/grafo7747.40,0.161,0.158,0.18
579,graficon40nodi/grafo7753.40,1.269,1.259,1.256
580,graficon40nodi/grafo7755.40,0.338,0.333,0.337
581,graficon40nodi/grafo7766.40,0.113,0.115,0.137
582,graficon40nodi/grafo7767.40,0.147,0.152,0.149
583,graficon40nodi/grafo9860.40,0.256,0.258,0.254
584,graficon40nodi/grafo9898.40,0.075,0.074,0.075
585,graficon40nodi/grafo9927.40,0.067,0.064,0.063
586,graficon40nodi/grafo9929.40,0.169,0.168,0.167
587,graficon40nodi/grafo9935.40,0.069,0.068,0.069
588,graficon40nodi/grafo9992.40,0.092,0.11,0.091
589,graficon40nodi/grafo9997.40,0.093,0.1,0.094
590,graficon40nodi/grafo10002.40,0.041,0.042,0.04
591,graficon40nodi/grafo10003.40,0.112,0.117,0.114
592,graficon40nodi/grafo10012.40,0.132,0.134,0.133
593,graficon40nodi/grafo10029.40,0.19,0.187,0.188
594,graficon40nodi/grafo10034.40,0.181,0.179,0.179
595,graficon40nodi/grafo10046.40,0.219,0.242,0.218
596,graficon40nodi/grafo10054.40,0.146,0.147,0.146
597,graficon40nodi/grafo10055.40,0.159,0.161,0.159
598,graficon40nodi/grafo10057.40,4.72,5.146,4.821
599,graficon40nodi/grafo10066.40,0.576,0.582,0.571
600,graficon40nodi/grafo10069.40,0.226,0.227,0.249
601,graficon40nodi/grafo10071.40,0.116,0.117,0.117
602,graficon40nodi/grafo10078.40,0.101,0.101,0.1
603,graficon40nodi/grafo10140.40,0.096,0.091,0.093
604,graficon40nodi/grafo10278.40,0.269,0.268,0.269
605,graficon40nodi/grafo10282.40,0.303,0.283,0.282
606,graficon40nodi/grafo10335.40,0.086,0.083,0.082
607,graficon40nodi/grafo10402.40,0.029,0.028,0.028
608,graficon40nodi/grafo10494.40,0.125,0.127,0.127
609,graficon40nodi/grafo10615.40,0.082,0.082,0.105
610,graficon40nodi/grafo10846.40,1.206,1.208,1.209
611,graficon40nodi/grafo11028.40,0.169,0.169,0.168
612,graficon40nodi/grafo11164.40,0.095,0.095,0.099
613,graficon40nodi/grafo11214.40,0.089,0.07,0.068
614,graficon40nodi/grafo11266.40,0.16,0.156,0.154
615,graficon40nodi/grafo11283.40,0.122,0.119,0.122
616,graficon40nodi/grafo11311.40,0.122,0.122,0.122
617,graficon40nodi/grafo11363.40,0.141,0.142,0.141
618,graficon40nodi/grafo11388.40,0.17,0.153,0.151
619,graficon40nodi/grafo11498.40,0.212,0.21,0.209
620,graficon40nodi/grafo11621.40,0.109,0.108,0.109
621,graficon40nodi/grafo11632.40,0.566,0.576,0.554
622,graficon40nodi/grafo11665.40,0.102,0.102,0.105
623,graficon41nodi/grafo149.41,0.26,0.262,0.261
624,graficon41nodi/grafo184.41,0.039,0.039,0.037
625,graficon41nodi/grafo1956.41,0.414,0.424,0.409
626,graficon41nodi/grafo2019.41,0.062,0.061,0.061
627,graficon41nodi/grafo2181.41,0.083,0.079,0.082
628,graficon41nodi/grafo2235.41,0.26,0.257,0.258
629,graficon41nodi/grafo2531.41,0.302,0.325,0.302
630,graficon41nodi/grafo2623.41,0.102,0.1,0.102
631,graficon41nodi/grafo2690.41,0.278,0.276,0.277
632,graficon41nodi/grafo2710.41,0.079,0.077,0.078
633,graficon41nodi/grafo2737.41,0.137,0.159,0.133
634,graficon41nodi/grafo2781.41,0.38,0.381,0.38
635,graficon41nodi/grafo2892.41,0.046,0.045,0.045
636,graficon41nodi/grafo2994.41,0.161,0.159,0.158
637,graficon41nodi/grafo3016.41,0.131,0.146,0.127
638,graficon41nodi/grafo3048.41,0.124,0.114,0.114
639,graficon41nodi/grafo3130.41,1.071,1.064,1.075
640,graficon41nodi/grafo3149.41,0.048,0.048,0.047
641,graficon41nodi/grafo3179.41,0.269,0.267,0.268
642,graficon41nodi/grafo3192.41,0.046,0.044,0.044
643,graficon41nodi/grafo3197.41,0.167,0.163,0.167
644,graficon41nodi/grafo3265.41,0.494,0.47,0.468
645,graficon41nodi/grafo3270.41,0.124,0.128,0.127
646,graficon41nodi/grafo3278.41,0.401,0.422,0.398
647,graficon41nodi/grafo3306.41,0.069,0.068,0.068
648,graficon41nodi/grafo3340.41,0.282,0.277,0.276
649,graficon41nodi/grafo3369.41,0.289,0.286,0.305
650,graficon41nodi/grafo3388.41,0.185,0.182,0.183
651,graficon41nodi/grafo3401.41,0.256,0.255,0.252
652,graficon41nodi/grafo3420.41,0.115,0.109,0.114
653,graficon41nodi/grafo3425.41,0.05,0.048,0.05
654,graficon41nodi/grafo3444.41,0.207,0.184,0.187
655,graficon41nodi/grafo3452.41,0.261,0.262,0.255
656,graficon41nodi/grafo3470.41,0.209,0.208,0.207
657,graficon41nodi/grafo3498.41,0.134,0.132,0.155
658,graficon41nodi/grafo3527.41,0.192,0.191,0.189
659,graficon41nodi/grafo3534.41,0.146,0.143,0.146
660,graficon41nodi/grafo3575.41,0.145,0.145,0.146
661,graficon41nodi/grafo3582.41,0.138,0.139,0.16
662,graficon41nodi/grafo3613.41,0.213,0.208,0.214
663,graficon41nodi/grafo3640.41,0.35,0.35,0.353
664,graficon41nodi/grafo3647.41,0.216,0.217,0.214
665,graficon41nodi/grafo3650.41,0.19,0.171,0.171
666,graficon41nodi/grafo3670.41,0.259,0.258,0.257
667,graficon41nodi/grafo3683.41,0.232,0.232,0.23
668,graficon41nodi/grafo3687.41,0.175,0.152,0.151
669,graficon41nodi/grafo3691.41,0.149,0.148,0.147
670,graficon41nodi/grafo3692.41,1.758,1.741,1.776
671,graficon41nodi/grafo3694.41,0.26,0.259,0.259
672,graficon41nodi/grafo3701.41,0.426,0.428,0.427
673,graficon41nodi/grafo3745.41,0.403,0.482,0.368
674,graficon41nodi/grafo3774.41,0.064,0.064,0.064
675,graficon41nodi/grafo3781.41,0.518,0.51,0.533
676,graficon41nodi/grafo3786.41,0.076,0.076,0.077
677,graficon41nodi/grafo3794.41,0.137,0.139,0.135
678,graficon41nodi/grafo3798.41,0.085,0.085,0.088
679,graficon41nodi/grafo3802.41,0.53,0.53,0.549
680,graficon41nodi/grafo3873.41,0.09,0.088,0.095
681,graficon41nodi/grafo3882.41,0.092,0.093,0.091
682,graficon41nodi/grafo3889.41,0.329,0.328,0.326
683,graficon41nodi/grafo3908.41,1.448,1.465,1.439
684,graficon41nodi/grafo3910.41,0.074,0.073,0.074
685,graficon41nodi/grafo3940.41,0.399,0.394,0.399
686,graficon41nodi/grafo4001.41,0.073,0.095,0.076
687,graficon41nodi/grafo4004.41,0.048,0.047,0.046
688,graficon41nodi/grafo4031.41,0.562,0.561,0.747
689,graficon41nodi/grafo4047.41,0.057,0.054,0.055
690,graficon41nodi/grafo4052.41,0.211,0.255,0.274
691,graficon41nodi/grafo4084.41,0.396,0.356,0.378
692,graficon41nodi/grafo4108.41,0.376,0.673,0.296
693,graficon41nodi/grafo5146.41,0.122,0.107,0.101
694,graficon41nodi/grafo5149.41,0.147,0.144,0.142
695,graficon41nodi/grafo5185.41,0.06,0.062,0.064
696,graficon41nodi/grafo5191.41,0.81,0.796,0.855
697,graficon41nodi/grafo5225.41,0.167,0.166,0.162
698,graficon41nodi/grafo5234.41,0.115,0.116,0.128
699,graficon41nodi/grafo5253.41,0.05,0.047,0.047
700,graficon41nodi/grafo5273.41,0.355,0.362,0.338
701,graficon41nodi/grafo5328.41,0.105,0.106,0.108
702,graficon41nodi/grafo5334.41,0.432,0.428,0.439
703,graficon41nodi/grafo5344.41,0.117,0.117,0.117
704,graficon41nodi/grafo5359.41,0.389,0.362,0.362
705,graficon41nodi/grafo5397.41,0.038,0.036,0.036
706,graficon41nodi/grafo5414.41,0.026,0.026,0.026
707,graficon41nodi/grafo5420.41,0.024,0.023,0.023
708,graficon41nodi/grafo5430.41,0.068,0.069,0.07
709,graficon41nodi/grafo5451.41,0.312,0.335,0.314
710,graficon41nodi/grafo5458.41,0.313,0.505,0.346
711,graficon41nodi/grafo5479.41,0.094,0.092,0.091
712,graficon41nodi/grafo5534.41,0.094,0.097,0.096
713,graficon41nodi/grafo5549.41,0.522,0.486,0.484
714,graficon41nodi/grafo5565.41,0.313,0.314,0.311
715,graficon41nodi/grafo5637.41,0.074,0.076,0.098
716,graficon41nodi/grafo5645.41,0.146,0.145,0.148
717,graficon41nodi/grafo5651.41,0.3,0.298,0.299
718,graficon41nodi/grafo5717.41,0.119,0.116,0.143
719,graficon41nodi/grafo5773.41,0.146,0.146,0.146
720,graficon41nodi/grafo5811.41,0.634,0.652,0.658
721,graficon41nodi/grafo5823.41,0.367,0.375,0.394
722,graficon41nodi/grafo5840.41,0.193,0.193,0.191
723,graficon41nodi/grafo5886.41,0.287,0.288,0.287
724,graficon41nodi/grafo5895.41,0.07,0.067,0.068
725,graficon41nodi/grafo5941.41,0.138,0.115,0.116
726,graficon41nodi/grafo5978.41,0.185,0.176,0.175
727,graficon41nodi/grafo5983.41,0.189,0.187,0.183
728,graficon41nodi/grafo6046.41,0.419,0.417,0.437
729,graficon41nodi/grafo6059.41,0.094,0.095,0.097
730,graficon41nodi/grafo6088.41,0.088,0.091,0.089
731,graficon41nodi/grafo6103.41,0.254,0.246,0.245
732,graficon41nodi/grafo6122.41,0.165,0.164,0.162
733,graficon41nodi/grafo6140.41,0.117,0.134,0.114
734,graficon41nodi/grafo6150.41,0.201,0.199,0.2
735,graficon41nodi/grafo6152.41,0.187,0.186,0.182
736,graficon41nodi/grafo6164.41,0.192,0.192,0.191
737,graficon41nodi/grafo6172.41,0.068,0.069,0.067
738,graficon41nodi/grafo6175.41,0.03,0.031,0.031
739,graficon41nodi/grafo6180.41,0.095,0.094,0.094
740,graficon41nodi/grafo6190.41,0.063,0.064,0.064
741,graficon41nodi/grafo6191.41,0.181,0.159,0.157
742,graficon41nodi/grafo6192.41,0.181,0.182,0.18
743,graficon41nodi/grafo6198.41,0.452,0.455,0.466
744,graficon41nodi/grafo6246.41,0.291,0.291,0.29
745,graficon41nodi/grafo6253.41,0.098,0.098,0.1
746,graficon41nodi/grafo6256.41,0.134,0.134,0.136
747,graficon41nodi/grafo6258.41,0.255,0.225,0.227
748,graficon41nodi/grafo6265.41,0.354,0.35,0.35
749,graficon41nodi/grafo6286.41,0.111,0.108,0.111
750,graficon41nodi/grafo6288.41,1.498,1.586,1.533
751,graficon41nodi/grafo6309.41,0.252,0.245,0.247
752,graficon41nodi/grafo6323.41,0.182,0.204,0.18
753,graficon41nodi/grafo6354.41,0.238,0.239,0.235
754,graficon41nodi/grafo6355.41,1.197,1.2,1.146
755,graficon41nodi/grafo6361.41,0.442,0.444,0.445
756,graficon41nodi/grafo6366.41,0.126,0.127,0.125
757,graficon41nodi/grafo6371.41,0.329,0.316,0.317
758,graficon41nodi/grafo6398.41,0.125,0.125,0.127
759,graficon41nodi/grafo6403.41,0.324,0.306,0.304
760,graficon41nodi/grafo6429.41,1.607,1.625,1.61
761,graficon41nodi/grafo6431.41,0.123,0.123,0.121
762,graficon41nodi/grafo6439.41,0.334,0.33,0.33
763,graficon41nodi/grafo6441.41,0.154,0.152,0.153
764,graficon41nodi/grafo6530.41,0.159,0.161,0.179
765,graficon41nodi/grafo6844.41,0.249,0.248,0.249
766,graficon41nodi/grafo6853.41,0.129,0.13,0.129
