GraphSize,CVcalc,AvgOptsPerMin,TargetOptsPerMin
r1.5k12n8,1205,640.9763899986393,10
r1.5k18n12,1033,528.389897012767,10
r1.5k24n16,1382,285.54383877692646,10
r1.5k30n20,1677,107.3795326717509,10
r1.5k12n8,2542,309.62122566246836,10
r1.5k18n12,1599,248.37562901318066,10
r1.5k36n24,1446,57.20541435339719,10
r1.5k24n16,2643,22.868312952180283,10
r1.5k30n20,1385,117.43693288910067,10
r1.5k12n8,1380,585.4270101194204,10
r1.5k18n12,2218,146.4878693530182,10
r1.5k24n16,2038,82.70604908889091,10
r1.5k36n24,2660,34.027638143904376,10
r1.5k12n8,3813,328.6779541784811,10
r1.5k30n20,1372,123.45980455622143,10
r1.5k18n12,3327,71.61290410814259,10
r1.5k24n16,3964,3.9954553660146033,10
r1.5k12n8,6990,296.8485854542424,10
r1.5k36n24,1326,55.808369886615694,10
r1.5k30n20,2515,52.61237360829493,10
r1.5k18n12,6099,23.957148398089046,10
r1.5k24n16,3303,6.3635047398159985,10
r1.5k12n8,13663,316.3666523643116,10
r1.5k30n20,4611,1.914854872612657,10
r1.5k18n12,11921,22.327882949604167,10
r1.5k36n24,3990,1.4582481711710193,10
r1.5k24n16,2973,14.301125592046873,10
r1.5k12n8,27167,312.9582873828763,10
r1.5k18n12,23704,21.905300783946807,10
r1.5k30n20,3563,6.47605689922099,10
r1.5k24n16,3138,7.833660837798144,10
r1.5k36n24,3325,21.141036740327785,10
r1.5k12n8,54255,305.5893632393964,10
r1.5k18n12,47340,24.77994222951828,10
r1.5k30n20,3039,21.9731689168221,10
r1.5k24n16,3055,9.660682903033871,10
r1.5k12n8,108471,312.04572696229735,10
r1.5k36n24,3657,7.284844472044783,10
r1.5k18n12,94646,24.03438907034614,10
r1.5k30n20,3301,10.150370549589004,10
r1.5k24n16,3014,11.592539901571143,10
r1.5k12n8,216923,307.4156187405048,10
r1.5k18n12,189275,22.703392998451346,10
r1.5k36n24,3491,14.51519016747235,10
r1.5k30n20,3432,6.878488945660917,10
r1.5k24n16,3034,11.539412630307806,10
r1.5k12n8,433837,325.30596264836936,10
r1.5k18n12,378541,22.4268960493868,10
r1.5k30n20,3366,9.979389066339605,10
r1.5k24n16,3044,13.467104244424494,10
r1.5k36n24,3574,16.99074336786847,10
r1.5k12n8,867670,316.2058674178742,10
r1.5k18n12,757078,21.798421517126073,10
r1.5k30n20,3333,11.089813088866444,10
r1.5k24n16,3049,10.0518369540391,10
r1.5k36n24,3615,6.275720179735095,10
r1.5k30n20,3349,7.75524175062999,10
r1.5k36n24,3594,11.721051226992543,10
r1.5k36n24,3604,8.94530749555938,10
r1.5k12n8,2916,297.7160754420669,50
r1.5k18n12,2117,151.39587753795536,50
r1.5k24n16,1878,98.50567302513467,50
r1.5k36n24,3599,6.2874833950365705,10
r1.5k30n20,2300,65.21980518905575,50
r1.5k36n24,2604,43.04684885531394,50
r1.5k12n8,1417,605.4207953940331,50
r1.5k18n12,2454,118.88571301046682,50
r1.5k24n16,2488,29.777650061321207,50
r1.5k30n20,1286,121.42572493581001,50
r1.5k12n8,1666,434.43516938178,50
r1.5k18n12,2993,82.88543399710836,50
r1.5k24n16,1679,156.82436203730757,50
r1.5k36n24,2932,29.041278178838958,50
r1.5k30n20,2894,26.086440671777023,50
r1.5k12n8,4374,304.9000412463124,50
r1.5k18n12,4489,43.33166975869948,50
r1.5k24n16,2183,51.17402308914747,50
r1.5k36n24,1892,45.27218640519329,50
r1.5k30n20,2597,48.822393363591814,50
r1.5k12n8,8019,282.3239131940193,50
r1.5k18n12,3741,58.69733482292365,50
r1.5k24n16,2335,34.17660587780015,50
r1.5k36n24,946,52.41470328335997,50
r1.5k12n8,15673,314.48557569607976,50
r1.5k30n20,2448,64.26188381857904,50
r1.5k18n12,4115,51.51935820047915,50
r1.5k24n16,2259,45.95625120182535,50
r1.5k12n8,31164,312.44301804656914,50
r1.5k18n12,4302,49.42152634018005,50
r1.5k30n20,2522,57.01428368190589,50
r1.5k24n16,2221,51.15608125067626,50
r1.5k36n24,1419,54.98732812105253,50
r1.5k12n8,62238,311.1203792590248,50
r1.5k18n12,4208,43.65888451706322,50
r1.5k30n20,2559,49.601964369077336,50
r1.5k24n16,2240,37.3947477566194,50
r1.5k36n24,1655,53.03841577997046,50
r1.5k12n8,124431,297.1987972929814,50
r1.5k18n12,4161,51.118227932707974,50
r1.5k30n20,2540,56.55751602830914,50
r1.5k24n16,2230,40.589814588877815,50
r1.5k12n8,248839,283.5384984394089,50
r1.5k36n24,1773,50.97815815642187,50
r1.5k18n12,4184,50.06799796403557,50
r1.5k24n16,2225,43.04972455791525,50
r1.5k30n20,2549,60.347943472923745,50
r1.5k12n8,497667,308.940378430387,50
r1.5k18n12,4196,49.4474140620677,50
r1.5k24n16,2223,47.311369114161735,50
r1.5k36n24,1832,51.07736499477322,50
r1.5k30n20,2554,57.093916919995465,50
r1.5k12n8,995329,306.00594528004615,50
r1.5k18n12,4190,49.04036404984849,50
r1.5k24n16,2222,43.87782103315452,50
r1.5k30n20,2556,47.28109534934329,50
r1.5k36n24,1862,55.02179648337345,50
r1.5k30n20,2555,57.49915642001207,50
r1.5k36n24,1877,52.413772108928995,50
r1.5k36n24,1884,52.52203408148441,50
r1.5k12n8,1086,785.4032064956411,100
r1.5k18n12,1078,492.6521382402798,100
r1.5k24n16,1082,353.34622647672376,100
r1.5k30n20,2094,96.37878017262253,100
r1.5k12n8,1796,371.78440085339355,100
r1.5k18n12,1294,386.6329225082683,100
r1.5k36n24,1888,50.7183921885743,50
r1.5k36n24,2224,46.848307997199456,100
r1.5k24n16,1466,262.50453500107585,100
r1.5k30n20,2382,61.20233586181873,100
r1.5k12n8,1629,507.0808644576393,100
r1.5k18n12,2405,111.25914312331516,100
r1.5k24n16,1752,163.65945007150242,100
r1.5k36n24,2731,37.149951292585214,100
r1.5k12n8,2694,291.6108541321663,100
r1.5k18n12,3607,59.67996403783826,100
r1.5k30n20,1365,122.26203695983881,100
r1.5k24n16,2628,23.813320592043475,100
r1.5k36n24,1223,58.108806515004915,100
r1.5k12n8,4939,306.434320383567,100
r1.5k18n12,3006,79.3566166729162,100
r1.5k30n20,1729,119.21508516787988,100
r1.5k24n16,2190,61.73485958464274,100
r1.5k12n8,9653,300.1953796826586,100
r1.5k18n12,2705,87.5981830264417,100
r1.5k30n20,1911,104.59097096557556,100
r1.5k36n24,611,51.80085441804893,100
r1.5k24n16,1971,106.51061467599402,100
r1.5k12n8,19194,318.4846983664687,100
r1.5k18n12,2555,103.7710524403451,100
r1.5k30n20,2002,86.10211374287823,100
r1.5k24n16,2080,77.34996423677214,100
r1.5k36n24,305,49.8592454740298,100
r1.5k12n8,38333,312.6889323369687,100
r1.5k18n12,2630,94.7141370068895,100
r1.5k24n16,2025,99.44494190264334,100
r1.5k30n20,1956,101.29640514092095,100
r1.5k12n8,76638,305.2642792795176,100
r1.5k18n12,2592,95.892116231565,100
r1.5k36n24,152,55.02589342800344,100
r1.5k24n16,1998,102.39263588653782,100
r1.5k30n20,1979,103.87041516637746,100
r1.5k12n8,153263,324.55367427330987,100
r1.5k18n12,2573,86.6912611472398,100
r1.5k24n16,2011,86.31704538634767,100
r1.5k36n24,76,61.32107296702808,100
r1.5k30n20,1990,97.20871761556282,100
r1.5k12n8,306519,302.59418629449357,100
r1.5k18n12,2564,100.12626779173421,100
