Index,Data,combo_idx,Nodes,TotalNodes,ObjVal,Crossings,EdgeLength,Runtime,Status
2286,graph_27_85,1,27,62,297.0,60,226,23.241066455841064,2
2287,graph_27_86,1,27,58,197.0,41,197,0.4486560821533203,2
2288,graph_27_87,1,27,73,281.0,46,252,1.9888546466827393,2
2289,graph_27_88,1,27,76,160.0,31,228,0.900691032409668,2
2290,graph_27_89,1,27,53,312.0,63,357,1.4009008407592773,2
2291,graph_27_90,1,27,57,317.0,54,372,4.173600196838379,2
2292,graph_27_91,1,27,80,279.0,47,339,14.376629114151001,2
2293,graph_27_92,1,27,67,417.0,55,352,1.2062325477600098,2
2294,graph_27_93,1,27,61,309.0,51,302,1.5435774326324463,2
2295,graph_27_94,1,27,82,169.0,35,248,1.2436861991882324,2
2296,graph_27_95,1,27,72,255.0,76,381,3.3056366443634033,2
2297,graph_27_96,1,27,80,250.0,42,223,1.0445377826690674,2
2298,graph_27_97,1,27,75,249.0,61,280,2.3034539222717285,2
2299,graph_27_98,1,27,57,460.0,101,332,5.16723370552063,2
2300,graph_27_99,1,27,70,335.0,65,369,5.666796445846558,2
2301,graph_28_0,1,28,40,0.0,0,72,0.059293270111083984,2
2302,graph_28_1,1,28,33,15.0,1,49,0.0501561164855957,2
2303,graph_28_2,1,28,33,30.0,5,56,0.049944162368774414,2
2304,graph_28_3,1,28,40,0.0,0,41,0.05350923538208008,2
2305,graph_28_4,1,28,37,8.0,1,88,0.05938434600830078,2
2306,graph_28_5,1,28,33,37.0,11,101,0.13376164436340332,2
2307,graph_28_6,1,28,35,17.0,5,88,0.12838506698608398,2
2308,graph_28_7,1,28,36,30.0,11,79,0.07943296432495117,2
2309,graph_28_8,1,28,49,17.0,6,85,0.0882408618927002,2
2310,graph_28_9,1,28,41,8.0,2,106,0.06271576881408691,2
2311,graph_28_10,1,28,41,32.0,10,76,0.09430170059204102,2
2312,graph_28_11,1,28,43,5.0,4,81,0.046979665756225586,2
2313,graph_28_12,1,27,40,12.0,2,131,0.13414645195007324,2
2314,graph_28_13,1,28,45,98.0,29,154,0.307340145111084,2
2315,graph_28_14,1,28,36,21.0,4,112,0.07573151588439941,2
2316,graph_28_15,1,28,42,6.0,3,104,0.07254457473754883,2
2317,graph_28_16,1,28,46,46.0,7,132,0.086517333984375,2
2318,graph_28_17,1,28,46,0.0,0,76,0.06653022766113281,2
2319,graph_28_18,1,28,53,14.0,6,93,0.07975077629089355,2
2320,graph_28_19,1,28,38,46.0,14,161,0.15581274032592773,2
