Index,Data,combo_idx,Nodes,TotalNodes,ObjVal,Crossings,EdgeLength,Runtime,Status
1,graph_5_0,5,5,6,0.0,0,5,0.0014367103576660156,2
2,graph_5_1,5,5,5,1.0,1,3,0.0017549991607666016,2
3,graph_5_2,5,5,5,1.0,1,2,0.0008106231689453125,2
4,graph_5_3,5,5,7,0.0,0,5,0.0008666515350341797,2
5,graph_5_4,5,5,8,0.0,0,5,0.0008718967437744141,2
6,graph_5_5,5,5,7,0.0,0,4,0.0006201267242431641,2
7,graph_5_6,5,5,6,0.0,0,6,0.0007088184356689453,2
8,graph_5_7,5,5,6,0.0,0,8,0.0006334781646728516,2
9,graph_5_8,5,5,6,0.0,0,3,0.0003838539123535156,2
10,graph_5_9,5,5,6,0.0,0,6,0.0004353523254394531,2
11,graph_5_10,5,5,6,0.0,0,8,0.0006256103515625,2
12,graph_5_11,5,5,6,0.0,0,7,0.00045871734619140625,2
13,graph_5_12,5,5,6,0.0,0,9,0.000640869140625,2
14,graph_5_13,5,5,7,0.0,0,6,0.0006275177001953125,2
15,graph_5_14,5,5,8,0.0,0,6,0.0006182193756103516,2
16,graph_5_15,5,5,7,0.0,0,6,0.0005741119384765625,2
17,graph_5_16,5,5,7,0.0,0,7,0.00040268898010253906,2
18,graph_5_17,5,5,7,0.0,0,6,0.0007884502410888672,2
19,graph_5_18,5,5,6,0.0,0,5,0.00046825408935546875,2
20,graph_5_19,5,5,8,0.0,0,8,0.0006697177886962891,2
21,graph_5_20,5,5,8,0.0,0,5,0.0008537769317626953,2
22,graph_5_21,5,5,7,0.0,0,10,0.002074003219604492,2
23,graph_5_22,5,5,7,0.0,0,12,0.0011038780212402344,2
24,graph_5_23,5,5,7,0.0,0,12,0.0006670951843261719,2
25,graph_5_24,5,5,8,0.0,0,11,0.0010204315185546875,2
26,graph_5_25,5,5,6,0.0,0,7,0.0005578994750976562,2
27,graph_5_26,5,5,8,0.0,0,4,0.0008211135864257812,2
28,graph_5_27,5,5,6,0.0,0,6,0.0004875659942626953,2
29,graph_5_28,5,5,6,1.0,1,7,0.000843048095703125,2
30,graph_5_29,5,5,8,0.0,0,11,0.0010259151458740234,2
31,graph_5_30,5,5,7,0.0,0,6,0.0008168220520019531,2
32,graph_5_31,5,5,11,0.0,0,8,0.0011827945709228516,2
33,graph_5_32,5,5,8,0.0,0,4,0.00042319297790527344,2
34,graph_5_33,5,5,8,0.0,0,8,0.000698089599609375,2
35,graph_5_34,5,5,10,0.0,0,10,0.0015366077423095703,2
36,graph_5_35,5,5,8,1.0,1,11,0.0015006065368652344,2
37,graph_5_36,5,5,10,0.0,0,6,0.0011065006256103516,2
38,graph_5_37,5,5,7,0.0,0,7,0.000469207763671875,2
