GraphSize,CVcalc,AvgOptsPerMin,TargetOptsPerMin
r1.5k18n12,1482,139.27248132442438
r1.5k24n16,1344,405.90589573760354
r1.5k18n12,1768,81.73131624792316
r1.5k18n12,1030,453.0211412753057
r1.5k24n16,1945,84.29608803645137
r1.5k24n16,1580,286.48954016455036
r1.5k30n20,2941,24.93181854352975
r1.5k30n20,1316,393.45049505342945
r1.5k30n20,1902,214.5034269631205
r1.5k36n24,2796,46.631678587401424
r1.5k36n24,1607,189.007988410065
r1.5k36n24,1988,197.18735155424116
r1.5k42n28,1885,140.49596368615192
r1.5k42n28,2045,100.41544763736337
r1.5k42n28,2955,67.91653994492681
