Index,File,CVcalc,OptTime,CrFinal,Cr1,T1,Cr2,T2...
0,random graphs/ratio_d3/r1.5k42n28/graph0.lgbin,1542,38.381760120391846,5032,7313,0,7225,1.4929046630859375,7169,2.5553956031799316,7105,3.6409237384796143,7034,4.837175369262695,6990,5.778188467025757,6935,6.855130195617676,6875,7.797974586486816,6822,8.714127540588379,6808,9.674620866775513,6756,10.733976364135742,6727,11.851413249969482,6670,13.163421869277954,6617,14.247997045516968,6537,15.382215023040771,6464,16.29528784751892,6403,17.19374990463257,6383,18.108548402786255,6341,19.035895109176636,6289,20.228789567947388,6262,21.190480709075928,6114,22.126193046569824,6072,23.066905736923218,6070,24.090415716171265,6021,25.124708652496338,5969,26.03477644920349,5936,26.970986366271973,5874,27.98573899269104,5856,28.934024333953857,5835,29.870681524276733,5793,31.098604440689087,5741,32.15342426300049,5712,33.17465543746948,5641,34.48148059844971,5557,35.433058977127075,5532,36.49411201477051,5498,38.08956050872803,5485,39.04901313781738,5409,40.066529273986816,5405,41.10087203979492,5375,42.12281370162964,5353,43.09028959274292,5353,43.99728083610535,5353,45.030991554260254,5321,46.18690371513367,5245,47.11022615432739,5241,48.11752104759216,5208,49.15783643722534,5177,50.189186573028564,5138,51.105571269989014,5138,52.158679723739624,5118,53.53246021270752,5085,54.50694131851196,5058,55.57438039779663,5054,56.533169746398926,5054,57.42492628097534,5043,58.42821025848389,5032,59.36210083961487,5032,60.391430616378784
1,random graphs/ratio_d3/r1.5k42n28/graph1.lgbin,1542,38.50961971282959,5266,7853,0,7796,1.1562976837158203,7679,2.1914474964141846,7603,3.4841620922088623,7517,4.505048513412476,7448,5.418094635009766,7357,6.386929512023926,7313,7.802631139755249,7233,8.720382690429688,7142,9.627349615097046,7065,10.687968015670776,7039,12.23595643043518,6966,13.562156915664673,6858,14.4495689868927,6808,15.49627685546875,6768,16.44354009628296,6677,17.346158504486084,6635,18.252293586730957,6551,19.558019876480103,6505,20.488622665405273,6488,21.533655405044556,6391,22.441190719604492,6388,23.358381032943726,6362,24.30327272415161,6352,25.250258922576904,6352,26.129825830459595,6343,27.34340500831604,6276,28.596820831298828,6220,29.691946029663086,6198,30.66124963760376,6179,31.56842851638794,6177,32.92937612533569,6166,33.83080434799194,6124,35.055768966674805,6088,36.05601191520691,5998,37.09125089645386,5988,37.99939680099487,5962,39.04547619819641,5926,40.01352405548096,5879,41.07171607017517,5879,42.07443642616272,5879,42.96025109291077,5863,43.956862926483154,5826,45.18006896972656,5734,46.08957552909851,5662,47.00701904296875,5642,47.94660997390747,5608,48.89197611808777,5608,49.77757930755615,5593,50.68343782424927,5576,51.774574995040894,5569,53.177435874938965,5518,54.22384452819824,5435,55.23265290260315,5391,56.14839029312134,5384,57.12822651863098,5346,58.01893639564514,5289,59.01979398727417,5266,59.95333909988403,5266,60.44277811050415
2,random graphs/ratio_d3/r1.5k42n28/graph2.lgbin,1542,37.460970878601074,5015,7915,0,7788,1.0239229202270508,7710,2.215726137161255,7630,3.1334917545318604,7553,4.104923248291016,7507,5.05957555770874,7421,6.008508205413818,7394,6.997661113739014,7338,7.944120168685913,7216,8.99838399887085,7129,9.91763186454773,7042,10.982806921005249,6960,12.186176300048828,6855,13.118115425109863,6796,14.014971256256104,6737,14.912320375442505,6706,15.866937637329102,6663,16.806158781051636,6586,17.80650305747986,6513,18.73909091949463,6492,19.641385078430176,6471,20.59445071220398,6456,21.522470712661743,6394,22.455455780029297,6330,23.425347566604614,6290,24.32723331451416,6282,25.24112868309021,6189,26.170374631881714,6117,27.096020698547363,6085,28.155720472335815,6035,29.221609592437744,5983,30.329368114471436,5958,31.25619602203369,5942,32.19587516784668,5844,33.19043755531311,5844,34.09844207763672,5815,35.06487584114075,5772,36.10676407814026,5742,37.066596031188965,5736,37.976120471954346,5704,39.31762194633484,5663,40.23690485954285,5608,41.347503662109375,5560,42.36843919754028,5525,43.49770498275757,5459,44.477710247039795,5432,45.529454946517944,5401,46.55480718612671,5358,47.76577687263489,5358,48.72137475013733,5300,49.660587310791016,5289,50.69137096405029,5251,51.64802837371826,5215,52.6643385887146,5183,53.60057306289673,5164,54.53280758857727,5164,55.516194105148315,5140,56.51269292831421,5129,57.45438003540039,5040,58.39540886878967,5037,59.34047865867615,5015,60.26991295814514
3,random graphs/ratio_d3/r1.5k42n28/graph3.lgbin,1542,37.70718693733215,4892,7415,0,7371,1.0400583744049072,7304,2.033552408218384,7174,3.004565477371216,7137,3.9629597663879395,7119,4.947281122207642,7076,5.884377956390381,7012,7.153820991516113,6908,8.068200588226318,6801,8.995651960372925,6765,9.915629148483276,6692,10.903782606124878,6603,11.941377639770508,6510,12.88009262084961,6461,13.858117818832397,6425,15.311970233917236,6371,16.329913854599,6329,17.40252995491028,6311,18.34406280517578,6261,19.319432258605957,6176,20.641622304916382,6129,21.584857940673828,6056,22.5123028755188,5972,23.554718017578125,5863,24.511415481567383,5814,25.53887915611267,5788,26.435621976852417,5764,27.38173794746399,5746,28.41935086250305,5697,29.33004331588745,5679,30.304309844970703,5659,31.258802890777588,5601,32.193978786468506,5587,33.12119746208191,5554,34.13764142990112,5543,35.4379940032959,5540,36.42553353309631,5420,37.334815979003906,5400,38.354758739471436,5400,39.5234477519989,5349,40.874996185302734,5320,41.835042238235474,5298,42.774033069610596,5254,43.70977020263672,5198,44.677602767944336,5165,45.596111536026,5165,46.58873414993286,5160,47.622135400772095,5153,48.57615661621094,5047,49.52300715446472,5027,50.541054248809814,4987,51.81130790710449,4965,52.79565787315369,4950,53.713348388671875,4941,55.060434103012085,4925,56.02091836929321,4915,57.051466941833496,4892,58.07606315612793,4892,58.99323582649231,4892,59.96850824356079,4892,60.40147042274475
4,random graphs/ratio_d3/r1.5k42n28/graph4.lgbin,1542,38.19589829444885,5237,7825,0,7761,1.0077943801879883,7721,2.0501842498779297,7686,2.9631505012512207,7627,3.881363868713379,7563,4.795996427536011,7516,5.795171022415161,7428,6.790262937545776,7400,7.812194347381592,7311,8.754913330078125,7270,9.762406349182129,7194,11.177561044692993,7112,12.442179203033447,7039,13.666322708129883,6966,14.572730779647827,6873,15.501091241836548,6845,16.42230248451233,6803,17.34371328353882,6771,19.1219539642334,6734,20.003912687301636,6694,21.06900429725647,6617,22.078171014785767,6578,23.33863115310669,6540,24.241466283798218,6469,25.121304512023926,6459,26.107648134231567,6371,27.041510581970215,6313,28.03015375137329,6289,28.92571473121643,6272,29.79276704788208,6235,30.90055751800537,6222,31.85378885269165,6146,32.90562844276428,6111,33.81197547912598,6076,34.77961874008179,6068,36.0555374622345,6015,36.94036531448364,5981,37.88914608955383,5966,38.868197441101074,5927,39.84447455406189,5927,40.712913274765015,5875,42.01286292076111,5866,42.91161870956421,5836,43.85008001327515,5767,44.71332859992981,5704,45.71322703361511,5662,46.68997550010681,5662,47.51920747756958,5632,48.375980854034424,5558,49.259875535964966,5485,50.12060284614563,5437,50.98063898086548,5429,52.233758211135864,5384,53.07409906387329,5339,54.3370726108551,5261,55.182804584503174,5256,56.21212720870972,5256,57.16234278678894,5245,58.15234923362732,5237,59.10540533065796,5237,60.05305600166321
5,random graphs/ratio_d3/r1.5k42n28/graph5.lgbin,1542,37.945780515670776,5325,7964,0,7902,1.1440582275390625,7837,2.097414016723633,7763,3.002943992614746,7706,4.124260902404785,7627,5.069724798202515,7600,5.9823713302612305,7535,6.925046920776367,7458,8.285702228546143,7390,9.206103324890137,7308,10.339343309402466,7246,11.55957317352295,7185,12.489135980606079,7072,13.456761598587036,7017,14.424847602844238,6988,15.451786041259766,6910,16.340177059173584,6883,17.6074640750885,6782,18.681618690490723,6719,19.730916023254395,6656,20.68291449546814,6616,22.044697284698486,6569,22.97545099258423,6536,24.244935750961304,6501,25.302185535430908,6398,26.356791973114014,6384,27.281448364257812,6339,28.190838098526,6286,29.4452223777771,6254,30.3538236618042,6205,31.292269468307495,6094,32.31993532180786,6059,33.268786668777466,6059,34.213563680648804,6004,35.127880811691284,6004,36.046509742736816,5940,36.9929301738739,5923,38.07244277000427,5901,39.08426213264465,5831,40.39360547065735,5764,41.37525153160095,5696,42.403279066085815,5678,43.36317682266235,5677,44.285255670547485,5667,45.227577447891235,5646,46.19328212738037,5594,47.21960663795471,5566,48.218003273010254,5503,49.29603958129883,5462,50.42257857322693,5441,51.495845556259155,5421,52.467459201812744,5421,53.45364189147949,5420,54.51950168609619,5414,55.487709283828735,5359,56.406405448913574,5351,57.32945466041565,5334,58.479719161987305,5325,59.52577304840088,5325,60.409961223602295
6,random graphs/ratio_d3/r1.5k42n28/graph6.lgbin,1542,37.85967707633972,5102,7481,0,7376,1.128676414489746,7325,2.405998706817627,7241,3.378880262374878,7169,4.522934198379517,7073,5.582079648971558,7008,6.672290086746216,6962,7.63105583190918,6886,8.691829442977905,6795,9.748783111572266,6737,10.93079924583435,6729,11.877236366271973,6658,13.257031440734863,6575,14.233661651611328,6531,15.282204866409302,6489,16.631718397140503,6417,17.65750217437744,6379,18.615869283676147,6294,19.547627687454224,6263,20.52356195449829,6217,21.4616801738739,6147,22.501026153564453,6104,23.46372699737549,6048,24.464926958084106,5991,25.467756748199463,5975,26.70339798927307,5950,27.662888526916504,5927,28.89565134048462,5899,29.83064842224121,5899,30.766900777816772,5872,31.712467670440674,5872,32.70269536972046,5858,33.7653534412384,5816,34.72229623794556,5790,35.67176365852356,5775,36.717294692993164,5728,37.66771721839905,5691,38.80858588218689,5660,39.86280584335327,5603,40.90271973609924,5577,41.8864209651947,5530,42.846298933029175,5525,43.76571297645569,5522,44.731555223464966,5480,45.68280839920044,5428,46.876195669174194,5352,47.948965311050415,5331,48.91140055656433,5300,49.88054013252258,5292,51.032379388809204,5238,52.11003255844116,5234,53.15665531158447,5190,54.17298650741577,5164,55.15373229980469,5147,56.20115280151367,5124,57.174970388412476,5117,58.12416648864746,5115,59.152058601379395,5102,60.42570495605469
7,random graphs/ratio_d3/r1.5k42n28/graph7.lgbin,1542,38.224528789520264,4952,7648,0,7571,1.5598227977752686,7500,2.7276432514190674,7400,3.684170961380005,7385,4.721595048904419,7352,5.799076557159424,7287,6.760111331939697,7245,7.7443625926971436,7178,8.887185335159302,7128,9.841890811920166,7025,10.832612037658691,6930,12.068807601928711,6840,13.144339799880981,6774,14.527606725692749,6717,15.830193519592285,6660,16.948210954666138,6626,17.952433347702026,6560,19.036304712295532,6490,20.01220417022705,6436,21.09131622314453,6380,22.11545181274414,6296,23.216479539871216,6252,24.273479461669922,6204,25.29124689102173,6163,26.31277370452881,6076,27.6895112991333,5972,28.71882724761963,5972,30.099783897399902,5896,31.203713178634644,5861,32.13137459754944,5844,33.045510053634644,5775,33.98645758628845,5716,34.938740491867065,5698,35.92687702178955,5687,36.86490273475647,5671,38.11185073852539,5617,39.17549443244934,5554,40.144941568374634,5486,41.13180708885193,5430,42.19841742515564,5400,43.25961446762085,5397,44.33321976661682,5311,45.39288282394409,5294,46.33552956581116,5241,47.31314826011658,5208,48.27334427833557,5154,49.318835496902466,5149,50.38365578651428,5123,51.346675872802734,5085,52.32586121559143,5080,53.3338041305542,5080,54.41115689277649,5074,55.47309112548828,5043,56.43898916244507,5031,57.48172092437744,5018,58.70785212516785,4952,59.67607498168945,4952,60.419251918792725
8,random graphs/ratio_d3/r1.5k42n28/graph8.lgbin,1542,38.12866497039795,5061,7554,0,7478,1.2947099208831787,7442,2.71028995513916,7301,3.673804521560669,7202,4.999238967895508,7113,5.916165590286255,7040,6.838011741638184,6924,7.768391370773315,6826,8.791562795639038,6763,10.196888208389282,6741,11.121116399765015,6658,12.058950185775757,6621,12.979682207107544,6543,14.245859861373901,6462,15.153238773345947,6417,16.134104013442993,6390,17.02241802215576,6383,17.9281325340271,6278,18.852362871170044,6227,20.201759815216064,6209,21.11765956878662,6147,22.12242603302002,6120,23.06168222427368,6095,24.023614645004272,6057,25.05620265007019,6022,26.027667760849,5950,27.386373043060303,5933,28.391721725463867,5911,29.376875162124634,5884,30.259071826934814,5846,31.596941471099854,5824,32.63201904296875,5800,33.55953025817871,5773,34.670339584350586,5753,35.64526391029358,5720,36.6620819568634,5685,37.61790060997009,5659,38.555182695388794,5631,39.60254168510437,5608,40.57963848114014,5603,41.59349012374878,5559,42.519052505493164,5480,43.48124432563782,5411,44.513644218444824,5404,45.43199563026428,5365,46.8017635345459,5327,47.71774864196777,5296,48.847548961639404,5253,49.80545258522034,5228,50.71821641921997,5228,51.71658897399902,5226,52.75689697265625,5213,53.64570879936218,5159,54.671531677246094,5145,55.628626346588135,5126,56.66779685020447,5122,57.57047700881958,5115,58.49305033683777,5103,59.44999170303345,5061,60.38980197906494
9,random graphs/ratio_d3/r1.5k42n28/graph9.lgbin,1542,38.3954803943634,5089,7904,0,7799,1.1859242916107178,7656,2.5347108840942383,7530,3.4628164768218994,7426,4.404073476791382,7352,5.334315061569214,7244,6.296898603439331,7172,7.231304407119751,7068,8.169480562210083,7001,9.497924327850342,6951,10.767354249954224,6904,11.725988388061523,6824,12.673413515090942,6765,13.728384733200073,6718,15.239191770553589,6636,16.166252851486206,6544,17.143848419189453,6476,18.212146759033203,6432,19.1385440826416,6395,20.06300950050354,6352,21.01621174812317,6239,21.931500673294067,6216,22.86293339729309,6193,24.08044147491455,6136,25.89264726638794,6126,26.936689138412476,6084,27.87108016014099,6079,28.81152367591858,6039,29.72279191017151,5992,30.724458694458008,5989,31.64901089668274,5943,32.58604288101196,5926,34.35825777053833,5864,35.278371810913086,5727,36.285937786102295,5685,37.21337151527405,5614,38.22330117225647,5607,39.237088203430176,5583,40.20279240608215,5583,41.09959435462952,5576,42.282583236694336,5525,43.27320599555969,5500,44.426194190979004,5496,45.37970185279846,5493,46.31791663169861,5443,47.221487283706665,5416,48.28573536872864,5393,49.20853543281555,5354,50.14845371246338,5314,51.20109152793884,5265,52.276986837387085,5265,53.17640995979309,5263,54.26128363609314,5230,55.25061631202698,5169,56.29141807556152,5169,57.18636178970337,5089,58.13867902755737,5089,59.14918279647827,5089,60.191959619522095
10,random graphs/ratio_d3/r1.5k42n28/graph10.lgbin,1542,38.398313760757446,5222,7415,0,7317,1.2741408348083496,7259,2.5597217082977295,7196,3.9394962787628174,7080,4.9444944858551025,6962,6.013405799865723,6870,6.964176654815674,6818,7.952986717224121,6721,8.993700742721558,6691,9.935711145401001,6639,10.918981552124023,6636,11.856627702713013,6603,12.816452980041504,6564,14.036090612411499,6503,14.989516019821167,6484,16.06867218017578,6406,17.047325372695923,6321,18.142345905303955,6272,19.11916184425354,6199,20.98669981956482,6157,21.90708088874817,6133,22.83066177368164,6092,24.299192428588867,6046,25.322129487991333,6002,26.24507761001587,5959,27.229071140289307,5937,28.469038009643555,5881,29.411521911621094,5851,30.349435329437256,5851,31.61449098587036,5830,32.66938138008118,5824,33.61942005157471,5813,34.57360076904297,5764,35.666218757629395,5724,36.59076452255249,5700,37.48990845680237,5690,38.37691068649292,5640,39.29340195655823,5619,40.384185552597046,5573,41.436851024627686,5522,42.46625638008118,5505,43.47632384300232,5456,44.40209770202637,5456,45.31202578544617,5454,46.21211528778076,5442,47.357112407684326,5389,48.781882524490356,5373,49.694857358932495,5368,50.61757802963257,5310,51.66762709617615,5310,52.565247535705566,5307,53.574575662612915,5307,54.47852969169617,5276,55.490323543548584,5275,56.51283311843872,5264,57.45884323120117,5259,58.397056102752686,5242,59.324222803115845,5222,60.36969327926636
