Index,File,nOpts,OptTime,CrFinal,Cr1,T1,Cr2,T2...
0,random graphs/ratio_d3/r1.5k18n12/graph0.lgbin,59.8660454750061,247,502,0,289,27.488234996795654,251,35.77559947967529,248,42.676942586898804,247,47.158493518829346,247,54.645939111709595,247,59.83283185958862,247,60.07176756858826
1,random graphs/ratio_d3/r1.5k18n12/graph1.lgbin,59.95298099517822,257,483,0,300,51.18757653236389,261,58.87420296669006,257,60.04272150993347
2,random graphs/ratio_d3/r1.5k18n12/graph2.lgbin,59.14748978614807,206,503,0,280,7.056248426437378,224,9.591512680053711,217,11.482775211334229,217,15.165175676345825,211,19.569438695907593,206,21.338510036468506,206,22.73850417137146,206,23.78612971305847,206,25.35897207260132,206,27.032824516296387,206,28.049657106399536,206,29.386377573013306,206,30.35212516784668,206,31.466161012649536,206,32.907947063446045,206,34.53817939758301,206,35.94918704032898,206,37.30230641365051,206,38.56794214248657,206,39.63114953041077,206,42.19851779937744,206,43.18790650367737,206,44.37400722503662,206,45.974783420562744,206,48.784188747406006,206,49.91530632972717,206,51.00544047355652,206,53.931057929992676,206,55.66746759414673,206,57.13898158073425,206,58.30800747871399,206,60.04169845581055
3,random graphs/ratio_d3/r1.5k18n12/graph3.lgbin,60.08658695220947,331,519,0,331,60.11645245552063
4,random graphs/ratio_d3/r1.5k18n12/graph4.lgbin,60.92371582984924,271,489,0,299,39.97359108924866,271,60.98507761955261
5,random graphs/ratio_d3/r1.5k18n12/graph5.lgbin,59.9950213432312,280,500,0,305,14.486504316329956,280,60.05337357521057
6,random graphs/ratio_d3/r1.5k18n12/graph6.lgbin,60.03010129928589,276,536,0,276,60.06044244766235
7,random graphs/ratio_d3/r1.5k18n12/graph7.lgbin,59.89401412010193,250,571,0,310,33.1791889667511,262,46.33671188354492,258,50.81701159477234,252,52.9250009059906,250,60.042388677597046
8,random graphs/ratio_d3/r1.5k18n12/graph8.lgbin,59.450454235076904,221,519,0,304,16.233789920806885,274,20.10449242591858,247,24.6420795917511,247,27.39640736579895,236,35.51403832435608,221,37.177602767944336,221,38.05566668510437,221,39.14502716064453,221,40.759289026260376,221,42.367634534835815,221,44.70657277107239,221,46.418312549591064,221,47.444392681121826,221,49.13892149925232,221,50.45349645614624,221,53.79639220237732,221,54.80869388580322,221,56.32080626487732,221,58.509721755981445,221,60.04137420654297
9,random graphs/ratio_d3/r1.5k18n12/graph9.lgbin,59.9938428401947,246,487,0,300,52.208919525146484,246,60.05283284187317
10,random graphs/ratio_d3/r1.5k18n12/graph10.lgbin,59.4130425453186,206,493,0,246,6.398972988128662,230,11.386396884918213,226,17.456385612487793,220,21.673584461212158,217,23.605972051620483,208,26.61375141143799,208,30.87948775291443,208,33.83389973640442,208,36.697986364364624,206,39.312214851379395,206,41.090015172958374,206,43.82335305213928,206,45.14222240447998,206,46.68491268157959,206,48.866066217422485,206,49.88816547393799,206,51.683666706085205,206,56.21047067642212,206,57.36251187324524,206,59.8710401058197,206,60.03105902671814
11,random graphs/ratio_d3/r1.5k18n12/graph11.lgbin,60.268576860427856,290,494,0,290,60.29914999008179
12,random graphs/ratio_d3/r1.5k18n12/graph12.lgbin,59.203821659088135,213,509,0,271,6.529170513153076,227,8.851349830627441,214,9.980532884597778,213,12.595819234848022,213,14.451550483703613,213,15.3086998462677,213,18.47666907310486,213,20.07267165184021,213,21.433133840560913,213,22.720978260040283,213,24.44397807121277,213,25.464694499969482,213,29.273823499679565,213,30.873257875442505,213,32.95602893829346,213,35.73610210418701,213,37.03745627403259,213,38.703392028808594,213,39.792299032211304,213,41.158321142196655,213,42.68576622009277,213,43.62675213813782,213,45.680148124694824,213,47.046425104141235,213,48.40513324737549,213,50.37029576301575,213,56.32344627380371,213,57.62766671180725,213,60.04606604576111
13,random graphs/ratio_d3/r1.5k18n12/graph13.lgbin,59.72928977012634,245,511,0,301,15.800540447235107,264,28.24860954284668,249,31.174209594726562,247,36.65082764625549,247,42.30077052116394,247,46.10153794288635,245,47.67445516586304,245,50.693336725234985,245,54.21594834327698,245,58.081592321395874,245,60.0405969619751
14,random graphs/ratio_d3/r1.5k18n12/graph14.lgbin,59.49598693847656,219,470,0,262,7.5668017864227295,230,11.625352621078491,223,13.799245119094849,222,15.513633012771606,222,18.388000965118408,222,19.838231801986694,220,22.564416885375977,219,24.968852281570435,219,31.43644380569458,219,33.598265171051025,219,35.587961196899414,219,38.982558250427246,219,43.04174613952637,219,44.66125464439392,219,46.341723918914795,219,49.07015109062195,219,54.21264338493347,219,55.60555291175842,219,60.04982304573059
15,random graphs/ratio_d3/r1.5k18n12/graph15.lgbin,59.991243839263916,283,471,0,305,56.56563973426819,283,60.04910898208618
16,random graphs/ratio_d3/r1.5k18n12/graph16.lgbin,60.025105714797974,325,536,0,325,60.05544590950012
17,random graphs/ratio_d3/r1.5k18n12/graph17.lgbin,59.5738480091095,249,518,0,304,13.992897748947144,267,19.13139033317566,251,21.371031761169434,249,24.249982357025146,249,26.653581619262695,249,29.78541374206543,249,33.149449825286865,249,35.89127230644226,249,37.82523441314697,249,40.9357635974884,249,43.34940242767334,249,46.04384803771973,249,49.44387650489807,249,52.09095120429993,249,56.2448308467865,249,60.03701663017273
18,random graphs/ratio_d3/r1.5k18n12/graph18.lgbin,59.64476752281189,227,470,0,252,9.828000783920288,232,12.44236946105957,231,15.028659582138062,231,19.124605894088745,231,22.66612410545349,231,30.974014282226562,231,34.737945795059204,229,39.543386697769165,229,41.62808060646057,229,47.065085887908936,229,48.26404619216919,227,49.87893009185791,227,52.39443778991699,227,55.34138536453247,227,60.082804679870605
19,random graphs/ratio_d3/r1.5k18n12/graph19.lgbin,60.039666175842285,294,492,0,294,60.069615840911865
20,random graphs/ratio_d3/r1.5k18n12/graph20.lgbin,60.040287256240845,307,505,0,307,60.070648193359375
21,random graphs/ratio_d3/r1.5k18n12/graph21.lgbin,59.97356343269348,289,543,0,295,59.93087863922119,289,60.03042435646057
22,random graphs/ratio_d3/r1.5k18n12/graph22.lgbin,59.18585133552551,208,462,0,248,7.5888988971710205,220,11.523733854293823,211,13.208974123001099,210,15.118892669677734,208,18.07524037361145,208,19.57176685333252,208,20.925299644470215,208,22.40248394012451,208,25.635878086090088,208,27.381017208099365,208,28.61778235435486,208,30.080979585647583,208,31.28634238243103,208,33.1637921333313,208,35.03929305076599,208,37.23939919471741,208,38.29573583602905,208,39.54402232170105,208,41.03017282485962,208,42.3457510471344,208,43.67866015434265,208,45.97398257255554,208,47.750884771347046,208,49.05660915374756,208,50.20945644378662,208,52.18603730201721,208,54.93808960914612,208,57.619994163513184,208,59.921061754226685,208,60.02985382080078
23,random graphs/ratio_d3/r1.5k18n12/graph23.lgbin,60.04680871963501,322,527,0,322,60.07721948623657
24,random graphs/ratio_d3/r1.5k18n12/graph24.lgbin,59.67474818229675,232,466,0,279,8.259187459945679,249,12.53881049156189,239,18.995335817337036,233,27.14129877090454,233,33.04307150840759,232,34.38509798049927,232,37.655455589294434,232,40.636772871017456,232,43.91940999031067,232,48.211365938186646,232,54.28260064125061,232,58.75674319267273,232,60.04157590866089
25,random graphs/ratio_d3/r1.5k18n12/graph25.lgbin,59.673513650894165,209,494,0,269,18.923122882843018,229,25.67901873588562,218,30.75596261024475,217,34.43378806114197,216,37.14012098312378,215,42.38784146308899,211,44.50955390930176,211,45.96077752113342,211,48.081034421920776,211,50.93203377723694,211,56.00135636329651,209,57.32910871505737,209,60.04574251174927
26,random graphs/ratio_d3/r1.5k18n12/graph26.lgbin,59.81467580795288,233,509,0,273,24.68976330757141,249,34.796682357788086,243,39.028605937957764,240,43.67759609222412,238,47.2356173992157,233,54.47983980178833,233,58.524916648864746,233,60.05111360549927
27,random graphs/ratio_d3/r1.5k18n12/graph27.lgbin,60.02946138381958,330,521,0,330,60.05863928794861
28,random graphs/ratio_d3/r1.5k18n12/graph28.lgbin,59.866960763931274,251,519,0,289,12.162320137023926,262,23.847785472869873,255,31.623411417007446,254,37.62417507171631,252,47.62004852294922,251,60.040743589401245
29,random graphs/ratio_d3/r1.5k18n12/graph29.lgbin,59.958632469177246,251,473,0,278,27.82316756248474,255,41.39116811752319,251,60.044843435287476
30,random graphs/ratio_d3/r1.5k18n12/graph30.lgbin,59.744906187057495,217,483,0,274,21.891697645187378,256,39.82160711288452,239,42.85901236534119,228,45.004714012145996,227,47.93810510635376,227,49.978150606155396,227,53.40950036048889,227,55.76091122627258,217,58.56083798408508,217,60.038371086120605
31,random graphs/ratio_d3/r1.5k18n12/graph31.lgbin,59.350529193878174,209,453,0,260,8.510266542434692,217,10.39189338684082,216,13.749643325805664,216,15.219264507293701,214,18.712533950805664,214,21.13180136680603,214,22.843912601470947,214,25.836926221847534,214,27.465079069137573,214,29.058033227920532,214,30.908711671829224,214,32.43304133415222,214,33.825825691223145,214,35.61680197715759,214,40.47678899765015,214,41.80013632774353,214,43.28785705566406,213,48.23543620109558,210,51.61627984046936,209,53.11050295829773,209,54.72819519042969,209,58.38742518424988,209,60.023946046829224
32,random graphs/ratio_d3/r1.5k18n12/graph32.lgbin,59.646944761276245,233,478,0,262,4.133054494857788,242,6.101896286010742,238,10.728099822998047,235,17.777111291885376,234,21.746750116348267,234,26.987755060195923,233,29.036104679107666,233,37.661683559417725,233,41.158425092697144,233,44.896191120147705,233,50.14145827293396,233,53.368592739105225,233,58.80569267272949,233,60.04003429412842
