Index,Data,combo_idx,ComboIdx,Nodes,TotalNodes,ObjVal,Crossings,EdgeLength,Runtime,Status
386,graph_10_135,3,3,10,16,0.0,26,42,0.06407380104064941,2
387,graph_10_136,3,3,10,18,0.0,3,32,0.032296180725097656,2
388,graph_10_137,3,3,10,14,0.0,12,33,0.028757810592651367,2
389,graph_10_138,3,3,9,14,3.0,3,22,0.02222609519958496,2
390,graph_10_139,3,3,10,15,0.0,9,37,0.03250288963317871,2
391,graph_10_140,3,3,10,13,2.0,2,19,0.00531315803527832,2
392,graph_10_141,3,3,9,13,0.0,25,49,0.050490379333496094,2
393,graph_10_142,3,3,10,13,2.0,3,26,0.008334159851074219,2
394,graph_10_143,3,3,10,18,0.0,2,16,0.020000219345092773,2
395,graph_10_144,3,3,10,19,0.0,1,26,0.008896827697753906,2
396,graph_10_145,3,3,10,17,0.0,7,29,1.4154644012451172,2
397,graph_10_146,3,3,10,16,0.0,13,43,0.010739326477050781,2
398,graph_10_147,3,3,10,14,0.0,15,39,0.008999824523925781,2
399,graph_10_148,3,3,10,14,0.5555555555555556,3,19,0.022641658782958984,2
400,graph_10_149,3,3,10,17,0.0,5,50,0.04151034355163574,2
401,graph_10_150,3,3,10,18,0.0,4,25,0.0053348541259765625,2
402,graph_10_151,3,3,10,15,0.25,6,22,0.025277137756347656,2
403,graph_10_152,3,3,10,19,0.0,26,45,0.060039520263671875,2
404,graph_10_153,3,3,10,16,0.0,19,55,0.009926795959472656,2
405,graph_10_154,3,3,10,15,2.0,8,27,0.03236055374145508,2
406,graph_10_155,3,3,10,20,0.0,0,33,0.011941671371459961,2
407,graph_10_156,3,3,9,18,0.0,32,67,0.03641486167907715,2
408,graph_10_157,3,3,10,18,0.0,22,57,0.012125015258789062,2
409,graph_10_158,3,3,10,23,0.0769230769230771,23,54,0.05253171920776367,2
410,graph_10_159,3,3,10,19,0.0,2,33,0.008516073226928711,2
411,graph_10_160,3,3,10,24,0.0,19,49,0.04947066307067871,2
412,graph_10_161,3,3,10,17,0.0,30,50,0.053356170654296875,2
413,graph_10_162,3,3,10,19,0.09090909090909083,14,36,1.760204792022705,2
414,graph_10_163,3,3,10,14,0.0,19,52,0.014851808547973633,2
415,graph_10_164,3,3,10,20,0.0,30,45,0.07677340507507324,2
416,graph_10_165,3,3,10,15,0.0,24,36,0.03509187698364258,2
417,graph_10_166,3,3,10,18,0.0,3,37,0.012803792953491211,2
418,graph_10_167,3,3,10,16,0.0,0,38,0.020862579345703125,2
419,graph_10_168,3,3,10,20,0.0,2,24,0.006231546401977539,2
420,graph_10_169,3,3,9,15,0.0,21,49,0.031481027603149414,2
421,graph_10_170,3,3,9,19,0.0,27,67,0.05105876922607422,2
422,graph_10_171,3,3,10,25,0.0,27,53,0.020181655883789062,2
423,graph_10_172,3,3,9,23,0.0,36,65,0.01420283317565918,2
424,graph_10_173,3,3,10,18,0.0,8,41,0.032439231872558594,2
