Index,Data,combo_idx,ComboIdx,Nodes,TotalNodes,ObjVal,Crossings,EdgeLength,Runtime,Status
1,graph_5_0,7,7,5,5,0.0,1,2,0.0011196136474609375,2
2,graph_5_1,7,7,5,5,0.0,0,2,0.0004658699035644531,2
3,graph_5_2,7,7,5,6,0.0,0,3,0.00043487548828125,2
4,graph_5_3,7,7,5,5,0.0,1,2,0.0004551410675048828,2
5,graph_5_4,7,7,5,6,0.0,0,5,0.00110626220703125,2
6,graph_5_5,7,7,5,5,0.0,0,2,0.0006453990936279297,2
7,graph_5_6,7,7,5,6,0.0,0,5,0.0008046627044677734,2
8,graph_5_7,7,7,5,6,0.0,2,7,0.0007481575012207031,2
9,graph_5_8,7,7,5,6,0.0,0,4,0.0007457733154296875,2
10,graph_5_9,7,7,5,6,0.0,0,9,0.0007448196411132812,2
11,graph_5_10,7,7,5,6,0.0,2,6,0.0005586147308349609,2
12,graph_5_11,7,7,5,5,0.0,3,4,0.0005710124969482422,2
13,graph_5_12,7,7,5,5,0.0,0,6,0.0006022453308105469,2
14,graph_5_13,7,7,5,6,0.0,1,3,0.00048065185546875,2
15,graph_5_14,7,7,5,6,0.0,0,7,0.0008399486541748047,2
16,graph_5_15,7,7,5,6,0.0,1,4,0.0005152225494384766,2
17,graph_5_16,7,7,5,6,0.0,1,5,0.0006701946258544922,2
18,graph_5_17,7,7,5,6,0.0,3,5,0.0006096363067626953,2
19,graph_5_18,7,7,5,6,0.0,1,3,0.0004699230194091797,2
20,graph_5_19,7,7,5,6,0.0,0,4,0.0008845329284667969,2
21,graph_5_20,7,7,5,6,0.0,0,5,0.0008649826049804688,2
22,graph_5_21,7,7,5,6,0.0,0,3,0.0005450248718261719,2
23,graph_5_22,7,7,5,5,0.0,2,4,0.0006859302520751953,2
24,graph_5_23,7,7,5,7,0.0,0,4,0.0006003379821777344,2
25,graph_5_24,7,7,4,6,0.0,2,8,0.0007030963897705078,2
26,graph_5_25,7,7,5,6,0.0,0,3,0.0005047321319580078,2
27,graph_5_26,7,7,4,5,0.0,0,6,0.0005986690521240234,2
28,graph_5_27,7,7,5,6,0.0,2,7,0.0005967617034912109,2
29,graph_5_28,7,7,5,6,0.0,2,6,0.0006799697875976562,2
30,graph_5_29,7,7,4,7,0.0,1,7,0.0007727146148681641,2
31,graph_5_30,7,7,5,6,0.0,1,4,0.0004885196685791016,2
32,graph_5_31,7,7,5,6,0.0,1,5,0.0006093978881835938,2
33,graph_5_32,7,7,4,7,0.0,0,5,0.0007653236389160156,2
34,graph_5_33,7,7,5,9,0.0,0,5,0.0007693767547607422,2
35,graph_5_34,7,7,5,7,0.0,1,6,0.0006699562072753906,2
36,graph_5_35,7,7,5,8,0.0,1,8,0.0006945133209228516,2
37,graph_5_36,7,7,5,7,0.0,1,4,0.0004222393035888672,2
38,graph_5_37,7,7,5,8,0.0,1,10,0.0009388923645019531,2
39,graph_5_38,7,7,5,8,0.0,1,9,0.0009560585021972656,2
40,graph_5_39,7,7,5,8,0.0,0,7,0.0008358955383300781,2
41,graph_5_40,7,7,5,9,0.0,1,6,0.0008900165557861328,2
42,graph_5_41,7,7,5,7,0.0,2,11,0.0008437633514404297,2
43,graph_5_42,7,7,5,6,0.0,1,6,0.0006723403930664062,2
44,graph_5_43,7,7,5,7,0.0,0,5,0.0006439685821533203,2
45,graph_5_44,7,7,5,7,0.0,1,8,0.0005519390106201172,2
46,graph_5_45,7,7,5,7,0.0,2,9,0.0009467601776123047,2
47,graph_5_46,7,7,5,6,0.0,0,11,0.0010044574737548828,2
48,graph_5_47,7,7,5,8,0.0,0,5,0.0007863044738769531,2
49,graph_5_48,7,7,5,7,0.0,1,5,0.0005314350128173828,2
50,graph_5_49,7,7,5,7,0.0,3,8,0.0008077621459960938,2
