Total nodes in [10,20):
north/g.10.72.graphml,12
north/g.13.45.graphml,13
north/g.10.11.graphml,10
Rome-Lib/graficon11nodi/grafo233.11,18
Rome-Lib/graficon12nodi/grafo2240.12,16
Rome-Lib/graficon11nodi/grafo324.11,13
Rome-Lib/graficon11nodi/grafo1866.11,19
Rome-Lib/graficon12nodi/grafo604.12,12
Rome-Lib/graficon16nodi/grafo418.16,19
Rome-Lib/graficon15nodi/grafo2806.15,18
Rome-Lib/graficon11nodi/grafo2384.11,15
Rome-Lib/graficon10nodi/grafo1010.10,12
north/g.12.78.graphml,13
Rome-Lib/graficon12nodi/grafo1843.12,14
north/g.11.21.graphml,11
north/g.12.49.graphml,14
north/g.14.31.graphml,17
Rome-Lib/graficon11nodi/grafo1061.11,13
Rome-Lib/graficon14nodi/grafo777.14,17
north/g.15.14.graphml,18
Rome-Lib/graficon15nodi/grafo1971.15,19
Rome-Lib/graficon11nodi/grafo1912.11,16
Rome-Lib/graficon13nodi/grafo361.13,19
north/g.11.3.graphml,11
Rome-Lib/graficon16nodi/grafo2241.16,17
north/g.10.13.graphml,10
Rome-Lib/graficon17nodi/grafo816.17,17
Rome-Lib/graficon12nodi/grafo888.12,14
north/g.11.73.graphml,14
Rome-Lib/graficon10nodi/grafo2111.10,16
Rome-Lib/graficon11nodi/grafo685.11,13
Rome-Lib/graficon11nodi/grafo2433.11,13
Rome-Lib/graficon12nodi/grafo756.12,12
Rome-Lib/graficon16nodi/grafo366.16,17
Rome-Lib/graficon12nodi/grafo666.12,17
Rome-Lib/graficon15nodi/grafo780.15,19
Rome-Lib/graficon15nodi/grafo965.15,17
Rome-Lib/graficon10nodi/grafo466.10,12
Rome-Lib/graficon11nodi/grafo2964.11,19
north/g.14.16.graphml,14
north/g.18.21.graphml,19
Rome-Lib/graficon11nodi/grafo2139.11,15
Rome-Lib/graficon11nodi/grafo3097.11,14
north/g.18.34.graphml,19
north/g.12.121.graphml,15
north/g.12.45.graphml,14
Rome-Lib/graficon14nodi/grafo285.14,18
north/g.16.55.graphml,16
north/g.10.74.graphml,12
Rome-Lib/graficon13nodi/grafo530.13,14
Rome-Lib/graficon12nodi/grafo691.12,14
Rome-Lib/graficon16nodi/grafo1741.16,18
north/g.18.36.graphml,18
Rome-Lib/graficon11nodi/grafo612.11,13
Rome-Lib/graficon12nodi/grafo234.12,16
north/g.15.35.graphml,19
Rome-Lib/graficon11nodi/grafo997.11,15
Rome-Lib/graficon12nodi/grafo542.12,17
Rome-Lib/graficon11nodi/grafo927.11,11
Rome-Lib/graficon10nodi/grafo1898.10,16
Rome-Lib/graficon11nodi/grafo1128.11,14
north/g.15.24.graphml,16
Rome-Lib/graficon14nodi/grafo719.14,14
north/g.16.34.graphml,16
north/g.15.33.graphml,15
north/g.13.91.graphml,15
Rome-Lib/graficon15nodi/grafo480.15,18
Rome-Lib/graficon15nodi/grafo1107.15,19
north/g.10.89.graphml,14
Rome-Lib/graficon15nodi/grafo2568.15,17
Rome-Lib/graficon14nodi/grafo487.14,15
Rome-Lib/graficon14nodi/grafo2158.14,19
Rome-Lib/graficon17nodi/grafo2106.17,19
north/g.10.3.graphml,10
Rome-Lib/graficon14nodi/grafo912.14,14
Rome-Lib/graficon15nodi/grafo2887.15,17
north/g.12.146.graphml,17
Rome-Lib/graficon15nodi/grafo1093.15,17
Rome-Lib/graficon13nodi/grafo714.13,17
Rome-Lib/graficon12nodi/grafo766.12,17
Rome-Lib/graficon12nodi/grafo2359.12,16
north/g.10.57.graphml,18
Rome-Lib/graficon12nodi/grafo773.12,17
Rome-Lib/graficon11nodi/grafo1659.11,16
Rome-Lib/graficon10nodi/grafo1857.10,12
Rome-Lib/graficon10nodi/grafo474.10,12
Rome-Lib/graficon12nodi/grafo770.12,16
Rome-Lib/graficon13nodi/grafo716.13,15
Rome-Lib/graficon11nodi/grafo533.11,12
north/g.12.105.graphml,19
north/g.14.19.graphml,15
Rome-Lib/graficon10nodi/grafo962.10,12
Rome-Lib/graficon12nodi/grafo650.12,13
north/g.16.66.graphml,16
north/g.13.77.graphml,13
north/g.13.46.graphml,15
Rome-Lib/graficon10nodi/grafo1032.10,10
Rome-Lib/graficon11nodi/grafo857.11,12
Rome-Lib/graficon13nodi/grafo277.13,16
Rome-Lib/graficon12nodi/grafo2439.12,13
Rome-Lib/graficon11nodi/grafo313.11,13
north/g.10.42.graphml,10
Rome-Lib/graficon14nodi/grafo2189.14,17
Rome-Lib/graficon14nodi/grafo956.14,15
Rome-Lib/graficon12nodi/grafo747.12,15
north/g.13.60.graphml,19
north/g.14.12.graphml,14
Rome-Lib/graficon13nodi/grafo665.13,15
Rome-Lib/graficon13nodi/grafo510.13,18
Rome-Lib/graficon11nodi/grafo2979.11,13
north/g.17.20.graphml,19
Rome-Lib/graficon11nodi/grafo303.11,11
Rome-Lib/graficon10nodi/grafo462.10,12
Rome-Lib/graficon12nodi/grafo193.12,17
Rome-Lib/graficon12nodi/grafo144.12,12
Rome-Lib/graficon14nodi/grafo1063.14,18
Rome-Lib/graficon13nodi/grafo235.13,13
Rome-Lib/graficon15nodi/grafo2266.15,18
Rome-Lib/graficon11nodi/grafo263.11,12
north/g.11.60.graphml,11
Rome-Lib/graficon12nodi/grafo2938.12,13
north/g.15.38.graphml,15
Rome-Lib/graficon12nodi/grafo933.12,12
north/g.11.37.graphml,12
Rome-Lib/graficon17nodi/grafo903.17,17
Rome-Lib/graficon13nodi/grafo848.13,16
north/g.10.71.graphml,11
Rome-Lib/graficon12nodi/grafo453.12,12
north/g.13.114.graphml,16
Rome-Lib/graficon11nodi/grafo1734.11,17
Rome-Lib/graficon12nodi/grafo252.12,12
Rome-Lib/graficon16nodi/grafo322.16,17
Rome-Lib/graficon15nodi/grafo2783.15,19
Rome-Lib/graficon14nodi/grafo642.14,16
Rome-Lib/graficon14nodi/grafo731.14,16
Rome-Lib/graficon10nodi/grafo327.10,12
Rome-Lib/graficon14nodi/grafo403.14,18
Rome-Lib/graficon12nodi/grafo2607.12,15
Rome-Lib/graficon12nodi/grafo800.12,12
north/g.17.23.graphml,17
Rome-Lib/graficon11nodi/grafo834.11,14
Rome-Lib/graficon15nodi/grafo338.15,18
north/g.10.1.graphml,10
Rome-Lib/graficon11nodi/grafo1099.11,13
north/g.13.69.graphml,16
Rome-Lib/graficon12nodi/grafo2001.12,15
Rome-Lib/graficon13nodi/grafo1719.13,18
Rome-Lib/graficon10nodi/grafo837.10,12
Rome-Lib/graficon11nodi/grafo177.11,15
Rome-Lib/graficon11nodi/grafo740.11,12
north/g.17.28.graphml,18
north/g.13.80.graphml,18
north/g.12.122.graphml,17
Rome-Lib/graficon12nodi/grafo2512.12,16
north/g.15.56.graphml,19
Rome-Lib/graficon11nodi/grafo2812.11,13
north/g.10.56.graphml,11
Rome-Lib/graficon10nodi/grafo3024.10,12
north/g.12.104.graphml,18
Rome-Lib/graficon12nodi/grafo730.12,15
Rome-Lib/graficon12nodi/grafo571.12,12
Rome-Lib/graficon13nodi/grafo548.13,13
Rome-Lib/graficon12nodi/grafo919.12,17
Rome-Lib/graficon11nodi/grafo439.11,14
Rome-Lib/graficon15nodi/grafo2791.15,16
Rome-Lib/graficon10nodi/grafo1123.10,12
Rome-Lib/graficon17nodi/grafo274.17,19
north/g.10.2.graphml,10
Rome-Lib/graficon12nodi/grafo352.12,14
Rome-Lib/graficon14nodi/grafo2625.14,18
Rome-Lib/graficon16nodi/grafo640.16,17
Rome-Lib/graficon14nodi/grafo1083.14,16
Rome-Lib/graficon13nodi/grafo637.13,13
Rome-Lib/graficon11nodi/grafo751.11,19
Rome-Lib/graficon11nodi/grafo1913.11,15
Rome-Lib/graficon14nodi/grafo2917.14,18
Rome-Lib/graficon12nodi/grafo589.12,17
Rome-Lib/graficon13nodi/grafo989.13,18
Rome-Lib/graficon11nodi/grafo246.11,11
north/g.13.41.graphml,13
Rome-Lib/graficon14nodi/grafo536.14,15
Rome-Lib/graficon17nodi/grafo2090.17,19
Rome-Lib/graficon13nodi/grafo505.13,13
Rome-Lib/graficon13nodi/grafo2567.13,13
Rome-Lib/graficon16nodi/grafo853.16,16
Rome-Lib/graficon15nodi/grafo2730.15,15
Rome-Lib/graficon15nodi/grafo806.15,19
Rome-Lib/graficon15nodi/grafo2459.15,19
Rome-Lib/graficon14nodi/grafo2527.14,16
Rome-Lib/graficon11nodi/grafo2931.11,14
Rome-Lib/graficon10nodi/grafo238.10,14
north/g.12.110.graphml,13
Rome-Lib/graficon12nodi/grafo564.12,12
Rome-Lib/graficon12nodi/grafo609.12,14
Rome-Lib/graficon10nodi/grafo209.10,12
Rome-Lib/graficon17nodi/grafo774.17,19
north/g.12.114.graphml,12
Rome-Lib/graficon11nodi/grafo3101.11,13
north/g.12.48.graphml,14
Rome-Lib/graficon10nodi/grafo907.10,12
Total nodes in [20,30):
Rome-Lib/graficon13nodi/grafo671.13,20
north/g.20.22.graphml,24
Rome-Lib/graficon15nodi/grafo2487.15,21
Rome-Lib/graficon14nodi/grafo795.14,26
Rome-Lib/graficon17nodi/grafo840.17,22
Rome-Lib/graficon14nodi/grafo644.14,20
north/g.13.76.graphml,28
Rome-Lib/graficon24nodi/grafo1526.24,24
Rome-Lib/graficon15nodi/grafo670.15,27
north/g.29.13.graphml,29
Rome-Lib/graficon17nodi/grafo2222.17,22
north/g.12.141.graphml,27
north/g.13.116.graphml,27
Rome-Lib/graficon11nodi/grafo401.11,20
north/g.17.32.graphml,21
Rome-Lib/graficon17nodi/grafo2418.17,26
Rome-Lib/graficon17nodi/grafo302.17,28
Rome-Lib/graficon18nodi/grafo2244.18,24
north/g.12.145.graphml,28
north/g.10.80.graphml,26
Rome-Lib/graficon13nodi/grafo393.13,22
Rome-Lib/graficon16nodi/grafo2549.16,24
Rome-Lib/graficon16nodi/grafo2302.16,25
Rome-Lib/graficon15nodi/grafo1136.15,24
Rome-Lib/graficon14nodi/grafo2720.14,21
Rome-Lib/graficon17nodi/grafo2644.17,23
Rome-Lib/graficon15nodi/grafo2225.15,23
Rome-Lib/graficon16nodi/grafo2747.16,22
Rome-Lib/graficon14nodi/grafo659.14,29
Rome-Lib/graficon18nodi/grafo2556.18,28
Rome-Lib/graficon13nodi/grafo736.13,27
Rome-Lib/graficon12nodi/grafo1744.12,20
Rome-Lib/graficon15nodi/grafo1778.15,27
Rome-Lib/graficon22nodi/grafo2667.22,23
Rome-Lib/graficon15nodi/grafo778.15,26
Rome-Lib/graficon18nodi/grafo1648.18,26
north/g.16.21.graphml,20
Rome-Lib/graficon17nodi/grafo2679.17,21
north/g.19.40.graphml,29
