Total nodes in [10,20):
north/g.10.12.graphml,10
north/g.10.70.graphml,10
north/g.10.1.graphml,10
north/g.10.8.graphml,10
north/g.10.9.graphml,10
north/g.10.13.graphml,10
north/g.10.45.graphml,10
north/g.10.2.graphml,10
north/g.10.11.graphml,10
north/g.10.3.graphml,10
north/g.10.6.graphml,10
north/g.10.15.graphml,10
north/g.10.92.graphml,10
north/g.10.16.graphml,10
north/g.10.42.graphml,10
north/g.10.4.graphml,10
north/g.10.56.graphml,11
north/g.10.61.graphml,11
north/g.10.71.graphml,11
north/g.10.93.graphml,11
north/g.10.7.graphml,11
north/g.11.49.graphml,11
north/g.11.22.graphml,11
north/g.11.3.graphml,11
north/g.11.21.graphml,11
north/g.11.35.graphml,11
north/g.11.57.graphml,11
north/g.11.60.graphml,11
north/g.11.62.graphml,11
north/g.11.7.graphml,11
north/g.10.46.graphml,12
north/g.10.78.graphml,12
north/g.10.72.graphml,12
north/g.10.14.graphml,12
north/g.10.74.graphml,12
north/g.10.28.graphml,12
north/g.10.17.graphml,12
north/g.11.51.graphml,12
north/g.11.61.graphml,12
north/g.11.36.graphml,12
north/g.11.37.graphml,12
north/g.12.109.graphml,12
north/g.12.113.graphml,12
north/g.12.135.graphml,12
north/g.12.52.graphml,12
north/g.12.138.graphml,12
north/g.12.51.graphml,12
north/g.12.123.graphml,12
north/g.12.66.graphml,12
north/g.12.92.graphml,12
north/g.12.114.graphml,12
north/g.10.24.graphml,13
north/g.10.37.graphml,13
north/g.10.62.graphml,13
north/g.11.28.graphml,13
north/g.11.9.graphml,13
north/g.11.0.graphml,13
north/g.11.20.graphml,13
north/g.11.5.graphml,13
north/g.11.10.graphml,13
north/g.11.6.graphml,13
north/g.11.45.graphml,13
north/g.11.55.graphml,13
north/g.12.110.graphml,13
north/g.12.78.graphml,13
north/g.12.89.graphml,13
north/g.13.17.graphml,13
north/g.13.29.graphml,13
north/g.13.120.graphml,13
north/g.13.7.graphml,13
north/g.13.41.graphml,13
north/g.13.77.graphml,13
north/g.13.67.graphml,13
north/g.13.83.graphml,13
north/g.13.55.graphml,13
north/g.13.45.graphml,13
north/g.13.25.graphml,13
north/g.13.47.graphml,13
north/g.13.57.graphml,13
north/g.13.68.graphml,13
north/g.13.85.graphml,13
north/g.10.94.graphml,14
north/g.10.0.graphml,14
north/g.10.85.graphml,14
north/g.10.83.graphml,14
north/g.10.89.graphml,14
north/g.10.30.graphml,14
north/g.11.64.graphml,14
north/g.11.24.graphml,14
north/g.11.73.graphml,14
north/g.12.45.graphml,14
north/g.12.102.graphml,14
north/g.12.64.graphml,14
north/g.12.43.graphml,14
north/g.12.117.graphml,14
north/g.12.0.graphml,14
north/g.12.77.graphml,14
north/g.12.48.graphml,14
north/g.12.49.graphml,14
north/g.13.54.graphml,14
north/g.13.9.graphml,14
north/g.14.7.graphml,14
north/g.14.15.graphml,14
north/g.14.14.graphml,14
north/g.14.39.graphml,14
north/g.14.16.graphml,14
north/g.14.65.graphml,14
north/g.14.12.graphml,14
north/g.14.35.graphml,14
north/g.10.68.graphml,15
north/g.11.2.graphml,15
north/g.11.75.graphml,15
north/g.11.69.graphml,15
north/g.11.19.graphml,15
north/g.12.124.graphml,15
north/g.12.121.graphml,15
north/g.13.21.graphml,15
north/g.13.38.graphml,15
north/g.13.81.graphml,15
north/g.13.91.graphml,15
north/g.13.30.graphml,15
north/g.13.26.graphml,15
north/g.13.12.graphml,15
north/g.13.46.graphml,15
north/g.14.55.graphml,15
north/g.14.19.graphml,15
north/g.14.36.graphml,15
north/g.15.13.graphml,15
north/g.15.34.graphml,15
north/g.15.12.graphml,15
north/g.15.26.graphml,15
north/g.15.10.graphml,15
north/g.15.33.graphml,15
north/g.15.38.graphml,15
north/g.15.9.graphml,15
north/g.15.43.graphml,15
north/g.15.20.graphml,15
north/g.15.39.graphml,15
north/g.12.55.graphml,16
north/g.12.101.graphml,16
north/g.12.7.graphml,16
north/g.12.50.graphml,16
north/g.13.114.graphml,16
north/g.13.62.graphml,16
north/g.13.69.graphml,16
north/g.14.9.graphml,16
north/g.14.0.graphml,16
north/g.14.1.graphml,16
north/g.14.2.graphml,16
north/g.15.47.graphml,16
north/g.15.24.graphml,16
north/g.15.49.graphml,16
north/g.15.17.graphml,16
north/g.16.17.graphml,16
north/g.16.65.graphml,16
north/g.16.58.graphml,16
north/g.16.66.graphml,16
north/g.16.59.graphml,16
north/g.16.27.graphml,16
north/g.16.55.graphml,16
north/g.16.62.graphml,16
north/g.16.34.graphml,16
north/g.16.79.graphml,16
north/g.16.60.graphml,16
north/g.10.69.graphml,17
north/g.10.19.graphml,17
north/g.10.75.graphml,17
north/g.12.146.graphml,17
north/g.12.106.graphml,17
north/g.12.122.graphml,17
north/g.13.42.graphml,17
north/g.13.6.graphml,17
north/g.13.37.graphml,17
north/g.14.31.graphml,17
north/g.15.6.graphml,17
north/g.17.18.graphml,17
north/g.17.13.graphml,17
north/g.17.12.graphml,17
north/g.17.17.graphml,17
north/g.17.42.graphml,17
north/g.17.7.graphml,17
north/g.17.23.graphml,17
north/g.17.33.graphml,17
north/g.10.60.graphml,18
north/g.10.57.graphml,18
north/g.10.58.graphml,18
north/g.10.20.graphml,18
north/g.11.65.graphml,18
north/g.11.68.graphml,18
north/g.12.90.graphml,18
north/g.12.104.graphml,18
north/g.13.80.graphml,18
north/g.13.92.graphml,18
north/g.13.93.graphml,18
north/g.14.6.graphml,18
north/g.14.13.graphml,18
north/g.15.14.graphml,18
north/g.16.8.graphml,18
north/g.17.11.graphml,18
north/g.17.28.graphml,18
north/g.18.35.graphml,18
north/g.18.13.graphml,18
north/g.18.19.graphml,18
north/g.18.36.graphml,18
north/g.18.37.graphml,18
north/g.18.29.graphml,18
north/g.18.20.graphml,18
north/g.10.88.graphml,19
north/g.11.50.graphml,19
north/g.11.38.graphml,19
north/g.11.71.graphml,19
north/g.12.8.graphml,19
north/g.12.105.graphml,19
north/g.13.111.graphml,19
north/g.13.35.graphml,19
north/g.13.60.graphml,19
north/g.14.40.graphml,19
north/g.14.37.graphml,19
north/g.15.35.graphml,19
north/g.15.56.graphml,19
north/g.15.11.graphml,19
north/g.15.3.graphml,19
north/g.15.2.graphml,19
north/g.15.8.graphml,19
north/g.17.37.graphml,19
north/g.17.21.graphml,19
north/g.17.20.graphml,19
north/g.18.34.graphml,19
north/g.18.41.graphml,19
north/g.18.21.graphml,19
north/g.19.43.graphml,19
north/g.19.38.graphml,19
north/g.19.35.graphml,19
Total nodes in [20,30):
north/g.12.94.graphml,20
north/g.12.31.graphml,20
north/g.13.88.graphml,20
north/g.13.105.graphml,20
north/g.13.96.graphml,20
north/g.13.97.graphml,20
north/g.13.102.graphml,20
north/g.14.59.graphml,20
north/g.14.66.graphml,20
north/g.14.43.graphml,20
north/g.14.60.graphml,20
north/g.14.47.graphml,20
north/g.16.52.graphml,20
north/g.16.21.graphml,20
north/g.16.23.graphml,20
north/g.16.18.graphml,20
north/g.16.25.graphml,20
north/g.17.45.graphml,20
north/g.17.9.graphml,20
north/g.18.7.graphml,20
north/g.18.6.graphml,20
north/g.19.45.graphml,20
north/g.19.36.graphml,20
north/g.20.26.graphml,20
north/g.20.43.graphml,20
north/g.20.9.graphml,20
north/g.20.48.graphml,20
north/g.20.8.graphml,20
north/g.10.50.graphml,21
north/g.11.76.graphml,21
north/g.12.128.graphml,21
north/g.13.99.graphml,21
north/g.13.36.graphml,21
north/g.14.61.graphml,21
north/g.15.7.graphml,21
north/g.15.32.graphml,21
north/g.15.31.graphml,21
north/g.16.76.graphml,21
north/g.16.70.graphml,21
north/g.17.3.graphml,21
north/g.17.32.graphml,21
north/g.18.5.graphml,21
north/g.18.26.graphml,21
north/g.19.23.graphml,21
north/g.19.44.graphml,21
north/g.20.47.graphml,21
north/g.20.51.graphml,21
north/g.21.30.graphml,21
north/g.21.0.graphml,21
north/g.21.3.graphml,21
north/g.10.5.graphml,22
north/g.11.46.graphml,22
north/g.12.9.graphml,22
north/g.16.5.graphml,22
north/g.17.24.graphml,22
north/g.17.39.graphml,22
north/g.18.22.graphml,22
north/g.18.0.graphml,22
north/g.18.9.graphml,22
north/g.19.41.graphml,22
north/g.19.20.graphml,22
north/g.20.4.graphml,22
north/g.22.9.graphml,22
north/g.22.8.graphml,22
north/g.22.49.graphml,22
north/g.22.15.graphml,22
north/g.22.51.graphml,22
north/g.22.23.graphml,22
north/g.22.21.graphml,22
north/g.11.23.graphml,23
north/g.11.29.graphml,23
north/g.12.62.graphml,23
north/g.12.35.graphml,23
north/g.14.58.graphml,23
north/g.14.67.graphml,23
north/g.14.17.graphml,23
north/g.14.57.graphml,23
north/g.15.50.graphml,23
north/g.15.41.graphml,23
north/g.15.52.graphml,23
north/g.16.63.graphml,23
north/g.17.4.graphml,23
north/g.17.6.graphml,23
north/g.18.24.graphml,23
north/g.18.30.graphml,23
north/g.19.12.graphml,23
north/g.19.8.graphml,23
north/g.20.52.graphml,23
north/g.21.5.graphml,23
north/g.21.2.graphml,23
north/g.22.36.graphml,23
north/g.22.27.graphml,23
north/g.23.112.graphml,23
north/g.23.74.graphml,23
north/g.23.19.graphml,23
north/g.23.44.graphml,23
north/g.12.60.graphml,24
north/g.12.134.graphml,24
north/g.12.79.graphml,24
north/g.12.107.graphml,24
north/g.18.10.graphml,24
north/g.18.15.graphml,24
north/g.18.17.graphml,24
north/g.18.16.graphml,24
north/g.19.22.graphml,24
north/g.20.5.graphml,24
north/g.20.22.graphml,24
north/g.21.29.graphml,24
north/g.21.14.graphml,24
north/g.22.12.graphml,24
north/g.23.67.graphml,24
north/g.23.98.graphml,24
north/g.23.69.graphml,24
north/g.24.19.graphml,24
north/g.10.34.graphml,25
north/g.10.22.graphml,25
north/g.10.29.graphml,25
north/g.10.31.graphml,25
north/g.10.91.graphml,25
north/g.12.108.graphml,25
north/g.12.93.graphml,25
north/g.13.44.graphml,25
north/g.15.40.graphml,25
north/g.18.4.graphml,25
north/g.18.12.graphml,25
north/g.18.28.graphml,25
north/g.19.29.graphml,25
north/g.19.28.graphml,25
north/g.19.24.graphml,25
north/g.19.18.graphml,25
north/g.19.27.graphml,25
north/g.19.19.graphml,25
north/g.20.3.graphml,25
north/g.21.31.graphml,25
north/g.21.4.graphml,25
north/g.21.12.graphml,25
north/g.22.30.graphml,25
north/g.23.15.graphml,25
north/g.10.79.graphml,26
north/g.10.80.graphml,26
north/g.11.66.graphml,26
north/g.11.30.graphml,26
north/g.11.63.graphml,26
north/g.12.99.graphml,26
north/g.13.61.graphml,26
north/g.14.38.graphml,26
north/g.16.16.graphml,26
north/g.16.28.graphml,26
north/g.16.81.graphml,26
north/g.18.18.graphml,26
north/g.19.9.graphml,26
north/g.21.40.graphml,26
north/g.22.26.graphml,26
north/g.23.40.graphml,26
