Index,File,X-vars,C-vars,Total vars,Total constraints,Crossings,Opttime,Work,Nodes visited,Setup Time
27,Rome-Lib/graficon10nodi/grafo1164.10,12,6,30,21,0,0.001,0.0003,0,0.001
28,Rome-Lib/graficon11nodi/grafo740.11,8,8,28,24,1,0.001,0.0002,0,0.001
29,Rome-Lib/graficon12nodi/grafo895.12,6,2,20,8,0,0.001,0.0001,0,0.0
30,Rome-Lib/graficon10nodi/grafo2511.10,22,20,54,61,0,0.002,0.0007,0,0.002
31,Rome-Lib/graficon11nodi/grafo533.11,20,18,50,55,0,0.001,0.0006,0,0.001
32,Rome-Lib/graficon10nodi/grafo465.10,12,6,30,21,0,0.001,0.0003,0,0.001
33,Rome-Lib/graficon12nodi/grafo867.12,10,4,26,15,0,0.001,0.0002,0,0.001
34,Rome-Lib/graficon10nodi/grafo541.10,26,20,58,63,0,0.002,0.0009,0,0.002
35,Rome-Lib/graficon10nodi/grafo209.10,12,6,30,21,0,0.001,0.0003,0,0.001
36,Rome-Lib/graficon12nodi/grafo1068.12,6,0,18,3,0,0.0,0.0001,0,0.001
37,Rome-Lib/graficon10nodi/grafo473.10,12,6,30,21,0,0.001,0.0003,0,0.001
38,Rome-Lib/graficon10nodi/grafo474.10,18,14,44,44,0,0.003,0.0005,1,0.001
39,Rome-Lib/graficon11nodi/grafo263.11,8,4,24,14,0,0.001,0.0002,0,0.0
40,Rome-Lib/graficon10nodi/grafo718.10,18,14,44,44,0,0.003,0.0005,1,0.001
41,Rome-Lib/graficon12nodi/grafo435.12,6,0,18,3,0,0.0,0.0001,0,0.0
42,Rome-Lib/graficon12nodi/grafo954.12,10,4,26,15,0,0.0,0.0002,0,0.001
43,Rome-Lib/graficon10nodi/grafo328.10,18,14,44,44,0,0.002,0.0005,1,0.001
44,Rome-Lib/graficon12nodi/grafo756.12,10,4,26,15,0,0.0,0.0002,0,0.001
45,Rome-Lib/graficon11nodi/grafo2953.11,18,6,36,24,0,0.001,0.0005,0,0.001
46,Rome-Lib/graficon12nodi/grafo2810.12,16,10,38,33,0,0.001,0.0004,0,0.001
47,Rome-Lib/graficon12nodi/grafo491.12,6,0,18,3,0,0.001,0.0001,0,0.0
48,Rome-Lib/graficon10nodi/grafo462.10,18,14,44,44,0,0.002,0.0005,1,0.002
49,Rome-Lib/graficon10nodi/grafo869.10,12,6,30,21,0,0.001,0.0003,0,0.0
50,Rome-Lib/graficon12nodi/grafo2651.12,22,24,58,71,2,0.002,0.0007,0,0.003
51,Rome-Lib/graficon10nodi/grafo586.10,12,6,30,21,0,0.001,0.0003,0,0.001
52,Rome-Lib/graficon10nodi/grafo3024.10,12,8,32,26,0,0.002,0.0003,0,0.001
53,Rome-Lib/graficon10nodi/grafo210.10,18,14,44,44,0,0.002,0.0005,1,0.002
54,Rome-Lib/graficon10nodi/grafo466.10,18,14,44,44,0,0.003,0.0005,1,0.001
55,Rome-Lib/graficon13nodi/grafo1067.13,26,24,63,73,0,0.002,0.0009,0,0.003
56,Rome-Lib/graficon10nodi/grafo254.10,28,26,67,79,0,0.003,0.0011,1,0.003
57,Rome-Lib/graficon13nodi/grafo2908.13,14,8,35,27,0,0.001,0.0004,0,0.001
58,Rome-Lib/graficon11nodi/grafo749.11,26,20,59,63,0,0.002,0.0008,0,0.002
59,Rome-Lib/graficon13nodi/grafo235.13,18,6,37,24,0,0.002,0.0004,0,0.001
60,Rome-Lib/graficon11nodi/grafo685.11,38,30,81,94,0,0.004,0.0014,1,0.003
61,Rome-Lib/graficon13nodi/grafo637.13,16,8,37,28,0,0.002,0.0004,0,0.001
62,Rome-Lib/graficon11nodi/grafo2946.11,16,14,43,43,0,0.003,0.0005,1,0.001
63,Rome-Lib/graficon13nodi/grafo2693.13,26,10,49,38,0,0.002,0.0007,0,0.001
64,Rome-Lib/graficon13nodi/grafo347.13,6,2,21,8,0,0.001,0.0001,0,0.001
65,Rome-Lib/graficon13nodi/grafo505.13,12,2,27,11,0,0.001,0.0002,0,0.001
66,Rome-Lib/graficon13nodi/grafo377.13,32,36,81,106,1,0.004,0.0012,1,0.003
67,Rome-Lib/graficon10nodi/grafo2628.10,20,12,45,40,0,0.002,0.0005,0,0.002
68,Rome-Lib/graficon11nodi/grafo2809.11,16,14,43,43,0,0.003,0.0005,1,0.001
69,Rome-Lib/graficon12nodi/grafo824.12,16,6,35,23,0,0.002,0.0004,0,0.001
70,Rome-Lib/graficon11nodi/grafo3113.11,16,14,43,43,0,0.002,0.0005,1,0.002
71,Rome-Lib/graficon11nodi/grafo856.11,30,28,71,85,0,0.002,0.001,0,0.002
72,Rome-Lib/graficon12nodi/grafo957.12,20,14,47,45,0,0.002,0.0005,0,0.001
73,Rome-Lib/graficon11nodi/grafo3073.11,16,14,43,43,0,0.002,0.0005,1,0.002
74,Rome-Lib/graficon13nodi/grafo623.13,10,4,27,15,0,0.001,0.0002,0,0.001
75,Rome-Lib/graficon13nodi/grafo2567.13,14,10,37,32,0,0.001,0.0003,0,0.001
76,Rome-Lib/graficon11nodi/grafo2935.11,16,14,43,43,0,0.003,0.0005,1,0.001
77,Rome-Lib/graficon10nodi/grafo455.10,16,12,41,38,0,0.001,0.0004,0,0.001
78,Rome-Lib/graficon11nodi/grafo2812.11,16,14,43,43,0,0.003,0.0005,1,0.003
79,Rome-Lib/graficon11nodi/grafo748.11,24,20,57,62,0,0.002,0.0008,0,0.002
80,Rome-Lib/graficon11nodi/grafo1166.11,22,16,51,51,0,0.001,0.0006,0,0.001
81,Rome-Lib/graficon11nodi/grafo1131.11,44,36,93,112,0,0.003,0.0017,0,0.004
82,Rome-Lib/graficon11nodi/grafo267.11,24,14,51,47,0,0.002,0.0007,0,0.002
83,Rome-Lib/graficon12nodi/grafo2938.12,24,20,57,62,0,0.003,0.0007,1,0.002
84,Rome-Lib/graficon11nodi/grafo2792.11,16,14,43,43,0,0.003,0.0005,1,0.001
