Total nodes in [30,40):
DAGmar/graphs/1.6/uniform_n20_e32_i8.graphml,34
DAGmar/graphs/1.6/uniform_n20_e32_i4.graphml,36
DAGmar/graphs/1.6/uniform_n20_e32_i7.graphml,38
Total nodes in [40,50):
DAGmar/graphs/1.6/uniform_n20_e32_i3.graphml,40
DAGmar/graphs/1.6/uniform_n20_e32_i2.graphml,41
DAGmar/graphs/1.6/uniform_n20_e32_i5.graphml,43
DAGmar/graphs/1.6/uniform_n20_e32_i0.graphml,45
DAGmar/graphs/1.6/uniform_n20_e32_i6.graphml,45
DAGmar/graphs/1.6/uniform_n20_e32_i9.graphml,46
DAGmar/graphs/4.6/uniform_n20_e92_i7.graphml,47
DAGmar/graphs/2.6/uniform_n20_e52_i4.graphml,48
Total nodes in [50,60):
DAGmar/graphs/2.6/uniform_n20_e52_i2.graphml,52
DAGmar/graphs/1.6/uniform_n20_e32_i1.graphml,55
DAGmar/graphs/2.6/uniform_n20_e52_i9.graphml,55
DAGmar/graphs/2.6/uniform_n20_e52_i8.graphml,55
DAGmar/graphs/2.6/uniform_n20_e52_i6.graphml,55
DAGmar/graphs/2.6/uniform_n20_e52_i1.graphml,56
DAGmar/graphs/3.6/uniform_n20_e72_i4.graphml,56
DAGmar/graphs/3.6/uniform_n20_e72_i2.graphml,59
Total nodes in [60,70):
DAGmar/graphs/2.6/uniform_n20_e52_i3.graphml,60
DAGmar/graphs/2.6/uniform_n20_e52_i7.graphml,60
DAGmar/graphs/3.6/uniform_n20_e72_i5.graphml,64
DAGmar/graphs/4.6/uniform_n20_e92_i5.graphml,64
DAGmar/graphs/2.6/uniform_n20_e52_i0.graphml,66
DAGmar/graphs/3.6/uniform_n20_e72_i0.graphml,66
DAGmar/graphs/3.6/uniform_n20_e72_i7.graphml,67
DAGmar/graphs/3.6/uniform_n20_e72_i1.graphml,69
Total nodes in [70,80):
DAGmar/graphs/2.6/uniform_n20_e52_i5.graphml,70
DAGmar/graphs/4.6/uniform_n20_e92_i1.graphml,71
DAGmar/graphs/3.6/uniform_n20_e72_i3.graphml,72
DAGmar/graphs/3.6/uniform_n20_e72_i9.graphml,73
DAGmar/graphs/4.6/uniform_n20_e92_i8.graphml,73
DAGmar/graphs/3.6/uniform_n20_e72_i8.graphml,74
DAGmar/graphs/3.6/uniform_n20_e72_i6.graphml,75
DAGmar/graphs/4.6/uniform_n20_e92_i4.graphml,75
DAGmar/graphs/4.6/uniform_n20_e92_i0.graphml,77
Total nodes in [80,90):
DAGmar/graphs/5.6/uniform_n20_e112_i6.graphml,80
DAGmar/graphs/5.6/uniform_n20_e112_i3.graphml,80
DAGmar/graphs/5.6/uniform_n20_e112_i7.graphml,81
DAGmar/graphs/5.6/uniform_n20_e112_i4.graphml,83
DAGmar/graphs/5.6/uniform_n20_e112_i1.graphml,85
DAGmar/graphs/5.6/uniform_n20_e112_i5.graphml,87
Total nodes in [90,100):
DAGmar/graphs/4.6/uniform_n20_e92_i6.graphml,94
DAGmar/graphs/1.6/uniform_n40_e64_i0.graphml,95
DAGmar/graphs/4.6/uniform_n20_e92_i2.graphml,95
DAGmar/graphs/5.6/uniform_n20_e112_i9.graphml,96
DAGmar/graphs/4.6/uniform_n20_e92_i9.graphml,99
Total nodes in [100,110):
DAGmar/graphs/5.6/uniform_n20_e112_i0.graphml,106
DAGmar/graphs/1.6/uniform_n40_e64_i9.graphml,107
DAGmar/graphs/5.6/uniform_n20_e112_i2.graphml,108
Total nodes in [110,120):
DAGmar/graphs/4.6/uniform_n20_e92_i3.graphml,111
DAGmar/graphs/1.6/uniform_n40_e64_i4.graphml,114
DAGmar/graphs/1.6/uniform_n40_e64_i2.graphml,118
Total nodes in [120,130):
DAGmar/graphs/1.6/uniform_n40_e64_i7.graphml,120
DAGmar/graphs/1.6/uniform_n40_e64_i8.graphml,128
Total nodes in [130,140):
DAGmar/graphs/1.6/uniform_n40_e64_i5.graphml,130
DAGmar/graphs/5.6/uniform_n20_e112_i8.graphml,130
DAGmar/graphs/1.6/uniform_n40_e64_i3.graphml,136
Total nodes in [140,150):
DAGmar/graphs/1.6/uniform_n40_e64_i6.graphml,140
DAGmar/graphs/1.6/uniform_n40_e64_i1.graphml,142
Total nodes in [160,170):
DAGmar/graphs/2.6/uniform_n40_e104_i3.graphml,162
DAGmar/graphs/2.6/uniform_n40_e104_i5.graphml,162
DAGmar/graphs/2.6/uniform_n40_e104_i8.graphml,164
DAGmar/graphs/2.6/uniform_n40_e104_i6.graphml,164
DAGmar/graphs/2.6/uniform_n40_e104_i9.graphml,166
Total nodes in [170,180):
DAGmar/graphs/3.6/uniform_n40_e144_i9.graphml,177
Total nodes in [180,190):
DAGmar/graphs/2.6/uniform_n40_e104_i4.graphml,180
DAGmar/graphs/2.6/uniform_n40_e104_i7.graphml,182
Total nodes in [190,200):
DAGmar/graphs/1.6/uniform_n60_e96_i4.graphml,197
DAGmar/graphs/2.6/uniform_n40_e104_i1.graphml,199
Total nodes in [200,210):
DAGmar/graphs/3.6/uniform_n40_e144_i0.graphml,201
DAGmar/graphs/3.6/uniform_n40_e144_i6.graphml,203
DAGmar/graphs/2.6/uniform_n40_e104_i2.graphml,204
DAGmar/graphs/2.6/uniform_n40_e104_i0.graphml,205
Total nodes in [210,220):
DAGmar/graphs/3.6/uniform_n40_e144_i5.graphml,215
DAGmar/graphs/1.6/uniform_n60_e96_i2.graphml,216
Total nodes in [220,230):
DAGmar/graphs/1.6/uniform_n60_e96_i9.graphml,220
DAGmar/graphs/3.6/uniform_n40_e144_i4.graphml,220
DAGmar/graphs/3.6/uniform_n40_e144_i3.graphml,223
DAGmar/graphs/1.6/uniform_n60_e96_i5.graphml,227
DAGmar/graphs/1.6/uniform_n60_e96_i6.graphml,229
Total nodes in [230,240):
DAGmar/graphs/1.6/uniform_n60_e96_i1.graphml,237
DAGmar/graphs/1.6/uniform_n60_e96_i8.graphml,238
DAGmar/graphs/1.6/uniform_n60_e96_i7.graphml,239
Total nodes in [240,250):
DAGmar/graphs/3.6/uniform_n40_e144_i8.graphml,245
DAGmar/graphs/3.6/uniform_n40_e144_i2.graphml,246
DAGmar/graphs/1.6/uniform_n60_e96_i0.graphml,248
DAGmar/graphs/3.6/uniform_n40_e144_i7.graphml,249
Total nodes in [250,260):
DAGmar/graphs/1.6/uniform_n60_e96_i3.graphml,258
Total nodes in [260,270):
DAGmar/graphs/3.6/uniform_n40_e144_i1.graphml,269
Total nodes in [270,280):
DAGmar/graphs/2.6/uniform_n60_e156_i0.graphml,279
Total nodes in [280,290):
DAGmar/graphs/2.6/uniform_n60_e156_i9.graphml,281
DAGmar/graphs/1.6/uniform_n80_e128_i7.graphml,288
Total nodes in [290,300):
DAGmar/graphs/1.6/uniform_n80_e128_i3.graphml,296
DAGmar/graphs/2.6/uniform_n60_e156_i7.graphml,296
DAGmar/graphs/1.6/uniform_n80_e128_i9.graphml,298
DAGmar/graphs/2.6/uniform_n60_e156_i6.graphml,299
Total nodes in [300,310):
DAGmar/graphs/2.6/uniform_n60_e156_i2.graphml,300
DAGmar/graphs/1.6/uniform_n80_e128_i4.graphml,307
Total nodes in [320,330):
DAGmar/graphs/2.6/uniform_n60_e156_i1.graphml,328
Total nodes in [330,340):
DAGmar/graphs/1.6/uniform_n80_e128_i2.graphml,334
Total nodes in [340,350):
DAGmar/graphs/1.6/uniform_n80_e128_i8.graphml,340
DAGmar/graphs/1.6/uniform_n80_e128_i1.graphml,343
DAGmar/graphs/2.6/uniform_n60_e156_i8.graphml,346
DAGmar/graphs/2.6/uniform_n60_e156_i4.graphml,348
Total nodes in [350,360):
DAGmar/graphs/2.6/uniform_n60_e156_i3.graphml,353
DAGmar/graphs/1.6/uniform_n80_e128_i0.graphml,354
DAGmar/graphs/1.6/uniform_n80_e128_i6.graphml,355
DAGmar/graphs/1.6/uniform_n80_e128_i5.graphml,359
Total nodes in [360,370):
DAGmar/graphs/2.6/uniform_n60_e156_i5.graphml,369
Total nodes in [410,420):
DAGmar/graphs/1.6/uniform_n100_e160_i2.graphml,414
Total nodes in [430,440):
DAGmar/graphs/1.6/uniform_n100_e160_i3.graphml,435
Total nodes in [440,450):
DAGmar/graphs/1.6/uniform_n100_e160_i0.graphml,443
DAGmar/graphs/1.6/uniform_n100_e160_i6.graphml,443
DAGmar/graphs/1.6/uniform_n100_e160_i7.graphml,449
Total nodes in [460,470):
DAGmar/graphs/1.6/uniform_n100_e160_i8.graphml,462
Total nodes in [480,490):
DAGmar/graphs/1.6/uniform_n100_e160_i9.graphml,482
DAGmar/graphs/1.6/uniform_n100_e160_i1.graphml,486
DAGmar/graphs/1.6/uniform_n100_e160_i5.graphml,488
Total nodes in [520,530):
DAGmar/graphs/1.6/uniform_n100_e160_i4.graphml,525
