Index,File,Nodes,Total Nodes,Butterflies,X-vars,C-vars,Total vars,Total constraints,Crossings,Opttime,Work,Nodes visited,Setup Time
0,Rome-Lib/graficon12nodi/grafo2359.12,12,16,1,47,60,123,308,3,0.014,0.0096,1,0.009
1,Rome-Lib/graficon13nodi/grafo361.13,13,19,0,37,43,99,174,0,0.006,0.0035,1,0.006
2,Rome-Lib/graficon10nodi/grafo265.10,10,12,1,15,17,44,52,1,0.004,0.0014,1,0.003
3,north/g.17.12.graphml,17,17,0,92,1,110,730,0,0.01,0.0146,0,0.017
4,Rome-Lib/graficon15nodi/grafo1883.15,15,17,0,40,43,100,214,0,0.005,0.004,1,0.007
5,Rome-Lib/graficon14nodi/grafo843.14,14,15,0,32,16,63,122,0,0.003,0.0021,0,0.004
6,north/g.13.83.graphml,13,13,0,6,3,22,8,0,0.001,0.0,0,0.001
7,Rome-Lib/graficon11nodi/grafo1131.11,11,13,0,22,18,53,84,0,0.003,0.0013,0,0.003
8,Rome-Lib/graficon13nodi/grafo2313.13,13,18,0,16,15,49,44,0,0.002,0.0008,0,0.003
9,Rome-Lib/graficon15nodi/grafo585.15,15,19,0,38,34,91,166,0,0.007,0.0035,1,0.006
10,Rome-Lib/graficon12nodi/grafo2651.12,12,12,1,11,12,35,34,2,0.005,0.0011,1,0.002
11,north/g.12.123.graphml,12,12,0,9,2,23,12,0,0.002,0.0003,0,0.001
12,Rome-Lib/graficon16nodi/grafo2142.16,16,17,0,23,20,60,72,0,0.003,0.0012,0,0.003
13,north/g.16.62.graphml,16,16,0,91,0,107,728,0,0.008,0.0113,0,0.017
14,Rome-Lib/graficon10nodi/grafo869.10,10,12,0,6,3,21,8,0,0.002,0.0002,0,0.001
15,Rome-Lib/graficon12nodi/grafo906.12,12,12,0,5,2,19,4,0,0.001,0.0001,0,0.001
16,Rome-Lib/graficon13nodi/grafo559.13,13,19,0,18,16,53,54,0,0.003,0.0011,0,0.003
17,north/g.11.61.graphml,11,12,0,31,5,48,124,0,0.004,0.0021,0,0.004
18,north/g.15.49.graphml,15,16,0,16,11,43,36,0,0.002,0.0007,0,0.003
19,Rome-Lib/graficon12nodi/grafo2458.12,12,17,0,22,22,61,70,1,0.008,0.0024,1,0.004
20,Rome-Lib/graficon17nodi/grafo2615.17,17,17,0,9,6,32,18,0,0.002,0.0004,0,0.002
21,Rome-Lib/graficon15nodi/grafo735.15,15,15,0,14,12,41,36,0,0.003,0.0008,0,0.002
22,Rome-Lib/graficon11nodi/grafo2946.11,11,13,0,8,7,28,18,0,0.002,0.0004,0,0.002
23,north/g.11.28.graphml,11,13,0,16,8,37,40,0,0.002,0.0008,0,0.002
24,north/g.11.55.graphml,11,13,0,14,4,31,30,0,0.003,0.0006,0,0.003
25,Rome-Lib/graficon15nodi/grafo2783.15,15,19,0,28,25,72,102,1,0.009,0.0035,1,0.004
26,Rome-Lib/graficon15nodi/grafo391.15,15,24,0,64,68,156,368,2,0.019,0.0135,1,0.011
27,north/g.19.23.graphml,19,21,0,21,19,61,58,0,0.003,0.0013,1,0.003
28,Rome-Lib/graficon17nodi/grafo385.17,17,28,1,61,82,171,334,4,0.017,0.0141,1,0.01
29,north/g.16.80.graphml,16,27,0,42,55,124,188,1,0.01,0.0056,1,0.007
30,Rome-Lib/graficon15nodi/grafo1124.15,15,23,0,41,37,101,158,0,0.005,0.0032,1,0.006
31,Rome-Lib/graficon23nodi/grafo2499.23,23,27,0,56,63,146,290,1,0.016,0.0105,1,0.01
32,Rome-Lib/graficon17nodi/grafo459.17,17,27,0,73,81,181,416,0,0.01,0.0083,1,0.016
33,Rome-Lib/graficon19nodi/grafo1897.19,19,24,0,71,62,157,412,0,0.009,0.0084,1,0.015
34,north/g.18.24.graphml,18,23,2,43,51,117,204,4,0.014,0.0067,1,0.008
35,Rome-Lib/graficon15nodi/grafo518.15,15,21,0,28,23,72,90,0,0.009,0.0027,1,0.005
36,Rome-Lib/graficon25nodi/grafo1586.25,25,29,0,86,103,218,556,0,0.012,0.0117,1,0.02
37,north/g.18.8.graphml,18,28,0,73,80,181,416,0,0.009,0.0085,1,0.016
38,Rome-Lib/graficon16nodi/grafo2933.16,16,20,0,42,44,106,222,0,0.005,0.004,0,0.009
