Index,File,Nodes,Total Nodes,Butterflies,X-vars,C-vars,Total vars,Total constraints,Crossings,Opttime,Status,Nodes visited,Setup Time
0,north/g.10.72.graphml,10,12,0,8,7,15,18,0,0.011571884155273438,2,0,0.064
1,north/g.13.45.graphml,13,13,0,31,2,33,118,0,7.200241088867188e-05,2,0,0.003
2,north/g.10.11.graphml,10,10,0,15,0,15,40,0,0.00012302398681640625,2,0,0.001
3,Rome-Lib/graficon11nodi/grafo233.11,11,18,0,15,12,27,36,0,0.00011301040649414062,2,0,0.001
4,Rome-Lib/graficon12nodi/grafo2240.12,12,16,0,12,11,23,28,0,0.004264116287231445,2,1,0.001
5,Rome-Lib/graficon11nodi/grafo324.11,11,13,0,13,11,24,34,0,0.0016090869903564453,2,1,0.001
6,Rome-Lib/graficon11nodi/grafo1866.11,11,19,0,40,48,88,196,0,0.0029039382934570312,2,1,0.007
7,Rome-Lib/graficon12nodi/grafo604.12,12,12,0,8,4,12,12,0,0.0005600452423095703,2,0,0.001
8,Rome-Lib/graficon16nodi/grafo418.16,16,19,0,40,38,78,188,0,0.002557992935180664,2,1,0.005
9,Rome-Lib/graficon15nodi/grafo2806.15,15,18,0,27,27,54,102,0,0.0016789436340332031,2,1,0.003
10,Rome-Lib/graficon11nodi/grafo2384.11,11,15,0,9,5,14,14,0,3.3855438232421875e-05,2,0,0.001
11,Rome-Lib/graficon10nodi/grafo1010.10,10,12,0,17,14,31,56,0,0.0005388259887695312,2,0,0.002
12,north/g.12.78.graphml,12,13,1,10,8,18,23,2,0.013369083404541016,2,0,0.049
13,Rome-Lib/graficon12nodi/grafo1843.12,12,14,1,12,13,25,37,3,0.004403114318847656,2,1,0.001
14,north/g.11.21.graphml,11,11,0,36,0,36,168,0,9.107589721679688e-05,2,0,0.006
15,north/g.12.49.graphml,12,14,0,13,10,23,32,0,0.0016908645629882812,2,1,0.001
16,north/g.14.31.graphml,14,17,0,14,8,22,24,0,0.0004761219024658203,2,0,0.001
17,Rome-Lib/graficon11nodi/grafo1061.11,11,13,0,16,17,33,52,1,0.007135868072509766,2,1,0.002
18,Rome-Lib/graficon14nodi/grafo777.14,14,17,0,16,13,29,40,0,0.001508951187133789,2,1,0.002
19,north/g.15.14.graphml,15,18,0,31,23,54,126,0,0.0018420219421386719,2,1,0.004
20,Rome-Lib/graficon15nodi/grafo1971.15,15,19,0,38,47,85,192,1,0.005521059036254883,2,1,0.007
21,Rome-Lib/graficon11nodi/grafo1912.11,11,16,1,33,40,73,195,4,0.0063381195068359375,2,1,0.005
22,Rome-Lib/graficon13nodi/grafo361.13,13,19,0,37,43,80,174,0,0.0026390552520751953,2,1,0.005
23,north/g.11.3.graphml,11,11,0,7,5,12,12,0,0.0004050731658935547,2,0,0.001
24,Rome-Lib/graficon16nodi/grafo2241.16,16,17,0,34,56,90,204,5,0.006775856018066406,2,1,0.005
25,north/g.10.13.graphml,10,10,0,8,7,15,22,0,0.00041794776916503906,2,0,0.001
26,Rome-Lib/graficon17nodi/grafo816.17,17,17,1,14,13,27,39,2,0.0005249977111816406,2,0,0.001
27,Rome-Lib/graficon12nodi/grafo888.12,12,14,0,23,19,42,80,0,0.0017850399017333984,2,1,0.002
28,north/g.11.73.graphml,11,14,0,9,6,15,16,0,0.0010170936584472656,2,1,0.001
29,Rome-Lib/graficon10nodi/grafo2111.10,10,16,1,25,28,53,107,3,0.003579854965209961,2,1,0.003
30,Rome-Lib/graficon11nodi/grafo685.11,11,13,0,19,15,34,60,0,0.0012118816375732422,2,1,0.002
31,Rome-Lib/graficon11nodi/grafo2433.11,11,13,0,8,7,15,18,0,0.0005190372467041016,2,0,0.001
32,Rome-Lib/graficon12nodi/grafo756.12,12,12,0,5,2,7,4,0,3.0040740966796875e-05,2,0,0.0
33,Rome-Lib/graficon16nodi/grafo366.16,16,17,0,24,22,46,90,0,0.002090930938720703,2,1,0.003
34,Rome-Lib/graficon12nodi/grafo666.12,12,17,0,24,26,50,88,1,0.003675222396850586,2,1,0.003
35,Rome-Lib/graficon15nodi/grafo780.15,15,19,0,35,37,72,156,0,0.0024080276489257812,2,1,0.004
36,Rome-Lib/graficon15nodi/grafo965.15,15,17,0,23,20,43,84,1,0.003599882125854492,2,1,0.003
37,Rome-Lib/graficon10nodi/grafo466.10,10,12,0,9,7,16,18,0,0.0009930133819580078,2,1,0.001
