Index,File,Nodes,Total Nodes,Butterflies,X-vars,C-vars,Total vars,Total constraints,Crossings,Opttime,Status,Nodes visited,Setup Time
0,north/g.10.72.graphml,10,12,0,8,7,29,16,0,0.002563953399658203,2,0,0.004
1,north/g.13.45.graphml,13,13,0,31,2,46,4,0,0.0018849372863769531,2,0,0.001
2,Rome-Lib/graficon13nodi/grafo2518.13,13,20,0,22,22,66,46,0,0.0020279884338378906,2,0,0.003
3,Rome-Lib/graficon16nodi/grafo894.16,16,26,1,85,120,314,341,9,0.04283404350280762,2,1,0.014
4,north/g.33.5.graphml,33,35,0,110,36,181,72,0,0.00668787956237793,2,0,0.006
5,Rome-Lib/graficon22nodi/grafo2165.22,22,32,0,45,40,119,82,0,0.0031239986419677734,2,0,0.004
6,north/g.27.3.graphml,27,41,0,62,40,143,80,0,0.00540614128112793,2,1,0.005
7,Rome-Lib/graficon33nodi/grafo9905.33,33,49,0,217,287,703,774,12,0.639305830001831,2,1,0.031
8,Rome-Lib/graficon32nodi/grafo11261.32,32,55,0,120,134,345,316,2,0.039526939392089844,2,1,0.014
9,Rome-Lib/graficon26nodi/grafo427.26,26,51,0,125,148,392,374,3,0.015299797058105469,2,1,0.016
10,Rome-Lib/graficon48nodi/grafo1669.48,48,62,4,371,493,1232,1350,15,0.6206929683685303,2,226,0.055
11,Rome-Lib/graficon36nodi/grafo5809.36,36,63,0,242,288,709,744,8,0.2978959083557129,2,1,0.032
12,Rome-Lib/graficon41nodi/grafo5414.41,41,70,0,162,163,423,356,1,0.015621185302734375,2,1,0.018
13,Rome-Lib/graficon39nodi/grafo6892.39,39,74,0,478,743,1831,2202,33,8.514813899993896,2,1,0.137
14,Rome-Lib/graficon38nodi/grafo3421.38,38,89,0,473,614,1468,1608,21,4.5557310581207275,2,1,0.073
15,Rome-Lib/graficon42nodi/grafo3326.42,42,82,0,482,702,1722,1998,30,13.786972045898438,2,200,0.077
16,Rome-Lib/graficon42nodi/grafo7485.42,42,99,0,474,578,1381,1452,15,2.586322069168091,2,1,0.064
17,Rome-Lib/graficon58nodi/grafo4852.58,58,96,1,719,1009,2457,2845,42,26.987455129623413,2,140,0.117
18,Rome-Lib/graficon37nodi/grafo11295.37,37,101,0,305,336,820,758,2,0.09452486038208008,2,1,0.037
19,Rome-Lib/graficon47nodi/grafo6344.47,47,100,0,569,688,1637,1758,11,0.9925639629364014,2,1,0.082
20,Rome-Lib/graficon62nodi/grafo9132.62,62,116,1,538,664,1611,1695,12,1.3614521026611328,2,1,0.075
21,Rome-Lib/graficon52nodi/grafo7115.52,52,113,0,568,656,1555,1594,7,1.4178900718688965,2,1,0.072
22,Rome-Lib/graficon62nodi/grafo4231.62,62,123,0,802,1034,2481,2728,31,77.47588992118835,2,617,0.173
23,Rome-Lib/graficon68nodi/grafo9700.68,68,124,0,891,1184,2843,3150,30,36.38262414932251,2,638,0.143
24,north/g.92.4.graphml,92,131,0,1062,415,1610,832,0,0.142564058303833,2,1,0.062
25,Rome-Lib/graficon73nodi/grafo8613.73,73,131,0,878,1084,2573,2708,15,3.7116570472717285,2,1,0.118
