54,north/g.18.30.graphml,18,23,2,72,31,103,420,5,0.013,0.0048,1,0.01
55,north/g.25.40.graphml,25,37,0,104,183,287,746,16,0.073,0.0626,1,0.02
56,north/g.27.7.graphml,27,34,0,71,19,90,272,0,0.003,0.0021,0,0.008
57,north/g.26.4.graphml,26,30,0,81,62,143,480,0,0.006,0.0041,1,0.012
58,Rome-Lib/graficon27nodi/grafo248.27,27,38,0,135,151,286,988,4,0.021,0.0199,1,0.024
59,Rome-Lib/graficon15nodi/grafo2591.15,15,31,0,91,99,190,542,2,0.011,0.0081,1,0.014
60,Rome-Lib/graficon22nodi/grafo2630.22,22,31,0,76,100,176,462,3,0.013,0.0073,1,0.012
61,Rome-Lib/graficon20nodi/grafo2246.20,20,39,0,129,170,299,896,8,0.023,0.0216,1,0.022
62,Rome-Lib/graficon28nodi/grafo1646.28,28,37,0,66,72,138,282,2,0.01,0.0037,1,0.009
63,Rome-Lib/graficon14nodi/grafo2785.14,14,31,0,34,33,67,102,0,0.003,0.0005,1,0.004
64,Rome-Lib/graficon28nodi/grafo1264.28,28,39,0,131,112,243,874,0,0.005,0.005,1,0.021
65,north/g.26.9.graphml,26,38,0,81,82,163,368,0,0.004,0.0023,1,0.01
66,Rome-Lib/graficon28nodi/grafo2058.28,28,38,0,56,49,105,190,0,0.003,0.0008,1,0.006
67,Rome-Lib/graficon16nodi/grafo1150.16,16,30,0,53,47,100,198,0,0.004,0.0009,1,0.006
68,Rome-Lib/graficon15nodi/grafo295.15,15,33,0,70,83,153,354,2,0.009,0.005,1,0.01
69,north/g.22.37.graphml,22,30,0,88,44,132,452,0,0.005,0.0021,1,0.011
70,Rome-Lib/graficon26nodi/grafo1512.26,26,34,0,101,111,212,600,2,0.014,0.0106,1,0.016
71,Rome-Lib/graficon31nodi/grafo2107.31,31,38,0,62,65,127,240,1,0.007,0.0032,1,0.008
72,Rome-Lib/graficon26nodi/grafo398.26,26,30,0,74,65,139,416,1,0.009,0.0055,1,0.011
73,Rome-Lib/graficon20nodi/grafo2202.20,20,31,0,93,107,200,590,2,0.012,0.0093,1,0.015
74,Rome-Lib/graficon33nodi/grafo10842.33,33,39,0,102,127,229,610,2,0.012,0.0092,1,0.017
75,Rome-Lib/graficon24nodi/grafo2923.24,24,33,0,51,52,103,198,1,0.009,0.0029,1,0.007
76,Rome-Lib/graficon21nodi/grafo1927.21,21,43,0,100,104,204,488,0,0.006,0.0035,1,0.014
77,Rome-Lib/graficon27nodi/grafo1997.27,27,40,0,73,70,143,296,0,0.004,0.0016,1,0.009
78,Rome-Lib/graficon20nodi/grafo2213.20,20,49,0,177,181,358,1216,0,0.01,0.0117,1,0.03
79,Rome-Lib/graficon31nodi/grafo11127.31,31,46,0,109,125,234,574,0,0.007,0.0048,1,0.016
80,Rome-Lib/graficon32nodi/grafo2047.32,32,46,0,86,77,163,372,0,0.004,0.0027,1,0.011
81,Rome-Lib/graficon34nodi/grafo10086.34,34,43,0,129,163,292,836,1,0.018,0.0167,1,0.022
82,Rome-Lib/graficon28nodi/grafo932.28,28,45,0,145,157,302,936,2,0.022,0.0215,1,0.024
83,Rome-Lib/graficon33nodi/grafo151.33,33,46,0,125,135,260,722,4,0.02,0.0151,1,0.019
84,north/g.31.3.graphml,31,41,0,119,91,210,730,2,0.016,0.0099,1,0.018
85,Rome-Lib/graficon31nodi/grafo11356.31,31,43,0,121,130,251,706,3,0.015,0.0127,1,0.019
86,Rome-Lib/graficon20nodi/grafo2701.20,20,48,0,94,107,201,416,1,0.01,0.0062,1,0.012
87,Rome-Lib/graficon19nodi/grafo563.19,19,40,1,154,197,351,1246,9,0.039,0.0388,1,0.029
88,Rome-Lib/graficon28nodi/grafo1399.28,28,41,0,149,138,287,1054,2,0.022,0.0171,1,0.027
89,Rome-Lib/graficon37nodi/grafo11342.37,37,49,1,133,153,286,788,5,0.015,0.0146,1,0.021
90,Rome-Lib/graficon32nodi/grafo1953.32,32,42,0,86,83,169,378,0,0.005,0.0029,1,0.011
91,north/g.27.14.graphml,27,47,0,150,233,383,1222,19,0.084,0.0734,1,0.03
92,north/g.39.23.graphml,39,46,1,186,167,353,1552,1,0.013,0.0104,1,0.037
93,north/g.27.9.graphml,27,42,0,125,73,198,656,0,0.011,0.005,1,0.017
94,north/g.28.14.graphml,28,45,0,87,79,166,382,0,0.004,0.0018,1,0.012
95,Rome-Lib/graficon30nodi/grafo1252.30,30,43,0,104,98,202,518,0,0.006,0.0038,1,0.015
96,north/g.32.12.graphml,32,42,0,123,105,228,718,2,0.017,0.0094,1,0.018
97,north/g.38.16.graphml,38,52,1,165,155,320,1118,5,0.033,0.0233,1,0.028
98,Rome-Lib/graficon37nodi/grafo7233.37,37,51,0,195,299,494,1610,11,0.077,0.0758,1,0.04
99,Rome-Lib/graficon35nodi/grafo11330.35,35,50,0,205,239,444,1708,3,0.04,0.0451,1,0.042
100,Rome-Lib/graficon25nodi/grafo1743.25,25,53,1,169,189,358,1168,4,0.021,0.0187,1,0.03
101,Rome-Lib/graficon35nodi/grafo11464.35,35,56,1,286,417,703,3066,20,0.197,0.2401,1,0.074
102,Rome-Lib/graficon33nodi/grafo1890.33,33,52,1,138,158,296,824,4,0.016,0.0128,1,0.022
103,Rome-Lib/graficon38nodi/grafo7745.38,38,52,0,141,171,312,872,3,0.02,0.016,1,0.023
104,Rome-Lib/graficon35nodi/grafo3872.35,35,59,0,246,264,510,2066,3,0.037,0.0428,1,0.052
105,Rome-Lib/graficon28nodi/grafo1291.28,28,57,0,250,290,540,2052,9,0.044,0.0499,1,0.052
