Index,File,CVcalc,OptTime,CrFinal,Cr1,T1,Cr2,T2...
0,random graphs/triangle/r1.5k42n28/graph0.lgbin,480,47.73825192451477,7706,10043,0,9822,2.789266586303711,9723,5.2646942138671875,9623,7.566175937652588,9504,10.165408849716187,9268,12.610227584838867,9119,15.762682437896729,8977,18.16220211982727,8872,20.942189931869507,8712,24.590980052947998,8684,27.13448143005371,8602,29.42701554298401,8524,31.798401594161987,8433,34.3414626121521,8323,36.765663146972656,8253,39.136006355285645,8200,41.25328302383423,8155,43.81371474266052,8054,45.95759057998657,7951,48.1350212097168,7907,50.84939122200012,7826,53.07975125312805,7807,55.700185775756836,7737,58.01929593086243,7706,60.3448851108551
1,random graphs/triangle/r1.5k42n28/graph1.lgbin,480,49.56835627555847,7600,9933,0,9813,2.6781198978424072,9612,5.147869825363159,9430,7.375051975250244,9218,9.777487754821777,9059,12.35003113746643,8911,14.585076808929443,8798,17.0424542427063,8675,19.247526168823242,8615,21.5995192527771,8538,23.903326272964478,8381,26.541614055633545,8339,29.60707712173462,8230,32.42087912559509,8161,35.010204792022705,8095,37.58207702636719,8036,40.13299894332886,7946,42.83309745788574,7856,45.42804741859436,7772,47.960246562957764,7723,50.51402735710144,7628,52.92627429962158,7600,61.09826326370239
2,random graphs/triangle/r1.5k42n28/graph2.lgbin,480,47.11979293823242,8048,10351,0,10193,2.6349637508392334,10077,4.918887615203857,9968,7.293169736862183,9793,9.404232740402222,9610,11.858711957931519,9508,13.875367641448975,9401,16.32375478744507,9330,18.75416874885559,9182,21.406612634658813,9084,24.43344759941101,8976,26.552984952926636,8909,28.677188634872437,8721,30.919551134109497,8690,33.43167543411255,8646,35.72510123252869,8615,38.24496936798096,8572,40.924965143203735,8462,43.37905550003052,8406,45.67904782295227,8282,47.980406045913696,8239,50.6300835609436,8177,53.423173666000366,8131,55.541784048080444,8084,57.73270797729492,8048,60.0369131565094
3,random graphs/triangle/r1.5k42n28/graph3.lgbin,480,47.69115090370178,7979,10221,0,10033,2.394570827484131,9806,5.70821213722229,9623,7.918918132781982,9401,10.292278051376343,9295,12.445606231689453,9173,14.596920251846313,9049,16.93611168861389,8988,19.36174964904785,8872,21.805240869522095,8806,24.623106956481934,8711,26.875605583190918,8678,29.27202010154724,8624,32.29128122329712,8496,34.76903939247131,8452,37.01654124259949,8386,39.61564230918884,8280,41.91211724281311,8236,44.384441614151,8220,46.711350440979004,8140,49.27004027366638,8097,51.659411668777466,8054,55.730506896972656,8012,58.017425537109375,7979,60.39539408683777
4,random graphs/triangle/r1.5k42n28/graph4.lgbin,480,46.99787092208862,7511,10142,0,9959,2.4850568771362305,9805,4.646172761917114,9629,6.892859697341919,9500,11.087925434112549,9295,13.294174909591675,9081,15.407835006713867,8917,17.5861554145813,8775,19.89431405067444,8694,22.386964797973633,8632,24.791356563568115,8488,27.052165508270264,8313,29.621357440948486,8222,31.749266862869263,8186,34.005757570266724,8139,36.248295545578,8091,38.358052015304565,8036,40.67042779922485,7978,42.89930701255798,7924,45.67879819869995,7852,47.92191767692566,7815,50.13902401924133,7722,52.641621828079224,7661,54.789318799972534,7563,56.97545671463013,7511,59.12907910346985,7511,60.555623054504395
5,random graphs/triangle/r1.5k42n28/graph5.lgbin,480,47.25823783874512,7833,10089,0,9961,2.4452908039093018,9787,4.678411245346069,9610,7.3027427196502686,9471,9.463762044906616,9373,11.730277299880981,9248,14.115596771240234,9156,16.822232723236084,9003,19.045658826828003,8924,21.215009927749634,8793,23.51250672340393,8689,25.574472904205322,8601,28.192002296447754,8563,30.58565616607666,8495,32.843472480773926,8437,34.98949098587036,8370,37.60055947303772,8300,39.85408973693848,8248,42.34137034416199,8108,45.37395668029785,8011,47.80660581588745,7973,52.1019082069397,7910,54.497775077819824,7878,57.26654124259949,7833,59.642817735672,7833,60.61823487281799
6,random graphs/triangle/r1.5k42n28/graph6.lgbin,480,47.46679878234863,8022,10409,0,10250,2.3220343589782715,10078,4.600579023361206,9960,6.777493238449097,9802,9.471426486968994,9643,12.042531728744507,9592,14.450419425964355,9441,16.663293600082397,9302,19.210206270217896,9180,21.653469562530518,9055,24.543932676315308,8946,26.785067081451416,8864,28.9888973236084,8772,31.36566996574402,8685,33.592376947402954,8567,35.70672798156738,8487,38.092729330062866,8397,40.47805452346802,8362,42.79119300842285,8247,45.26737666130066,8191,47.857321977615356,8165,50.4766104221344,8114,52.909048557281494,8066,57.04140615463257,8022,59.4227135181427,8022,60.594175577163696
7,random graphs/triangle/r1.5k42n28/graph7.lgbin,480,47.573859214782715,7230,9908,0,9561,2.4094321727752686,9346,4.641345500946045,9231,8.986209154129028,9086,11.397595405578613,8913,13.534639358520508,8755,16.354214906692505,8575,18.639365196228027,8419,20.983080625534058,8309,23.306453227996826,8205,25.34149718284607,8126,27.525686740875244,8079,29.832825183868408,7948,32.00990080833435,7880,34.04074716567993,7784,36.09933423995972,7770,38.17907118797302,7727,40.78352093696594,7637,43.11702346801758,7575,45.37415051460266,7538,47.52241492271423,7505,49.94949436187744,7338,52.069659948349,7319,56.49132561683655,7230,58.87930369377136,7230,60.589921951293945
8,random graphs/triangle/r1.5k42n28/graph8.lgbin,480,47.43760895729065,7495,10096,0,9796,2.524454116821289,9628,4.654494524002075,9466,7.376745223999023,9215,9.66807770729065,9047,12.028682708740234,8946,14.314774751663208,8758,16.555237293243408,8661,19.254045009613037,8533,21.999807834625244,8456,23.84037685394287,8435,26.512584447860718,8363,28.757071495056152,8283,31.027114629745483,8183,33.18935251235962,8103,35.41235685348511,7956,39.025965213775635,7895,41.078792095184326,7846,43.264047384262085,7829,46.39283037185669,7759,48.61554932594299,7659,51.068439960479736,7567,53.590871810913086,7529,55.89192223548889,7495,58.436450242996216,7495,60.56962537765503
9,random graphs/triangle/r1.5k42n28/graph9.lgbin,480,49.797030448913574,8149,10380,0,10289,2.9951672554016113,10112,6.91453218460083,9974,9.664718627929688,9867,12.51144552230835,9790,15.586766004562378,9657,18.238962650299072,9445,21.813398838043213,9297,24.460756063461304,9186,27.341366052627563,9125,30.659952878952026,9047,36.007575273513794,8759,38.93531513214111,8706,41.89013195037842,8633,44.96090006828308,8499,47.75347113609314,8402,50.28204846382141,8308,52.44103264808655,8271,54.858235359191895,8206,57.626932859420776,8149,60.31559777259827
