Index,File,SizeCalc,OptTime,CrFinal,Cr1,T1,Cr2,T2...
0,random graphs/ratio_d3/r1.5k18n12/graph0.lgbin,2413,299.31848192214966,240,502,0,377,44.15765833854675,280,66.33107876777649,267,76.45790910720825,245,81.41007089614868,243,102.94300889968872,240,105.09189224243164,240,114.07012104988098,240,130.54250240325928,240,139.4328474998474,240,141.81953835487366,240,144.14093136787415,240,146.4540557861328,240,153.4027018547058,240,162.3183662891388,240,178.82189869880676,240,181.13613891601562,240,186.6531789302826,240,195.50571846961975,240,212.0387647151947,240,219.220139503479,240,228.11782050132751,240,243.6454417705536,240,250.81384372711182,240,259.66694474220276,240,276.1509189605713,240,278.55418825149536,240,287.460129737854,240,300.117312669754
1,random graphs/ratio_d3/r1.5k18n12/graph1.lgbin,2413,299.03011417388916,234,483,0,396,2.0919554233551025,280,70.93881869316101,248,86.79897451400757,238,91.79849004745483,235,108.14048838615417,235,122.23937463760376,235,124.13628101348877,235,125.25115394592285,234,127.08428740501404,234,139.06640338897705,234,140.19103455543518,234,152.21918606758118,234,162.99594378471375,234,168.52269339561462,234,169.6538269519806,234,181.63224983215332,234,187.16832780838013,234,197.69308996200562,234,198.8008008003235,234,210.81215953826904,234,221.32733821868896,234,223.79049134254456,234,224.91336584091187,234,235.6396815776825,234,238.58703923225403,234,239.70516109466553,234,251.7143063545227,234,262.2504417896271,234,263.36566519737244,234,278.05296516418457,234,290.61022996902466,234,292.2095687389374,234,293.34090423583984,234,300.0347113609314
2,random graphs/ratio_d3/r1.5k18n12/graph2.lgbin,2413,299.270268201828,205,503,0,397,48.08261227607727,287,52.66997170448303,212,58.46086072921753,206,59.6715521812439,206,97.71710562705994,206,98.99950933456421,206,100.5242428779602,206,101.58450484275818,206,139.69568705558777,206,140.72994184494019,206,141.8346700668335,205,183.4007363319397,205,201.76665377616882,205,202.9032337665558,205,204.14980792999268,205,220.95309448242188,205,222.33751487731934,205,223.49417328834534,205,240.4393379688263,205,241.58736419677734,205,242.97581553459167,205,259.9119966030121,205,261.05459666252136,205,262.44866275787354,205,279.41163754463196,205,280.5589690208435,205,281.58436727523804,205,283.29312539100647,205,300.07918405532837
3,random graphs/ratio_d3/r1.5k18n12/graph3.lgbin,2413,298.8108456134796,257,519,0,429,7.82550311088562,297,12.639124631881714,270,20.45362424850464,257,27.881831407546997,257,32.533644914627075,257,38.47494721412659,257,55.96419334411621,257,58.01394033432007,257,63.97372126579285,257,68.63442063331604,257,76.87938094139099,257,91.08497858047485,257,95.74031066894531,257,101.72249507904053,257,119.26747632026672,257,125.20728659629822,257,129.86187720298767,257,131.90700435638428,257,149.43453931808472,257,155.39661645889282,257,160.05146718025208,257,163.18797397613525,257,171.3876895904541,257,176.0339856147766,257,181.97832012176514,257,186.6171567440033,257,192.55742573738098,257,194.32145285606384,257,211.8499879837036,257,216.50683569908142,257,222.45695042610168,257,225.58095836639404,257,243.1143605709076,257,247.77057147026062,257,253.71750402450562,257,255.76302933692932,257,260.4101986885071,257,266.350652217865,257,269.0912959575653,257,273.73208928108215,257,279.66474866867065,257,297.4043462276459,257,300.03472423553467
4,random graphs/ratio_d3/r1.5k18n12/graph4.lgbin,2413,298.28009152412415,215,489,0,368,3.7564549446105957,262,12.173623085021973,216,16.831788539886475,215,19.833593368530273,215,26.263447523117065,215,29.22197198867798,215,34.1746666431427,215,38.79451894760132,215,45.23560047149658,215,50.21671390533447,215,56.17864632606506,215,59.12618541717529,215,63.50950050354004,215,66.47340679168701,215,71.45543503761292,215,77.89439678192139,215,82.5026261806488,215,85.45846962928772,215,91.89285969734192,215,96.86733150482178,215,101.46500015258789,215,106.43298292160034,215,112.88277268409729,215,118.82969737052917,215,121.77977561950684,215,128.19953751564026,215,133.1605930328369,215,136.10486483573914,215,140.66757988929749,215,147.08224940299988,215,152.0525143146515,215,156.6402611732483,215,159.60177969932556,215,164.57125163078308,215,171.02366995811462,215,176.0408296585083,215,178.98640513420105,215,183.96068143844604,215,190.41180276870728,215,196.38131189346313,215,201.3531141281128,215,207.77649998664856,215,212.35535144805908,215,217.31300473213196,215,223.7234559059143,215,228.29215288162231,215,232.5801477432251,215,237.5461072921753,215,243.9923131465912,215,249.01664233207703,215,253.99053764343262,215,260.431028842926,215,265.4358460903168,215,270.4132204055786,215,276.8542547225952,215,281.87195444107056,215,286.8501477241516,215,293.2808744907379,215,299.6931185722351,215,300.06901025772095
5,random graphs/ratio_d3/r1.5k18n12/graph5.lgbin,2413,298.79114508628845,254,500,0,373,3.9899072647094727,312,21.211193799972534,287,30.3642578125,256,35.8211886882782,255,53.57150363922119,255,59.88896059989929,255,65.52847576141357,254,66.86184334754944,254,80.32467555999756,254,81.63436317443848,254,86.636962890625,254,92.83337497711182,254,94.13180994987488,254,107.61064124107361,254,113.79956316947937,254,118.80612707138062,254,132.29577827453613,254,134.22745752334595,254,140.43358278274536,254,145.43910598754883,254,158.90477895736694,254,160.8468940258026,254,165.8377561569214,254,171.98905515670776,254,185.42929911613464,254,186.73418498039246,254,191.74398112297058,254,197.94263005256653,254,211.42313313484192,254,215.19191145896912,254,220.20283222198486,254,226.3998682498932,254,227.705139875412,254,241.18266010284424,254,246.19256687164307,254,252.383642911911,254,253.68527150154114,254,267.16080689430237,254,273.35759353637695,254,278.3693470954895,254,291.8354353904724,254,293.134770154953,254,298.14099764823914,254,300.0407865047455
6,random graphs/ratio_d3/r1.5k18n12/graph6.lgbin,2413,297.23753929138184,215,536,0,422,2.6990153789520264,307,6.0081787109375,223,13.368594646453857,219,16.166170120239258,219,22.171667098999023,219,24.067530870437622,215,26.523759841918945,215,28.40315580368042,215,34.343876123428345,215,35.594724893569946,215,37.4595832824707,215,43.41380524635315,215,46.38087868690491,215,47.6060106754303,215,49.47209930419922,215,55.45476484298706,215,58.168927907943726,215,59.39640140533447,215,61.255577087402344,215,67.25241184234619,215,70.23823666572571,215,71.46077346801758,215,73.31408476829529,215,79.30263543128967,215,81.161945104599,215,82.37960147857666,215,88.3756160736084,215,90.2429473400116,215,92.12194633483887,215,98.1243577003479,215,100.8566153049469,215,102.72790670394897,215,103.96389532089233,215,109.94158029556274,215,115.91391706466675,215,117.78391766548157,215,120.27888870239258,215,122.15225076675415,215,123.3712215423584,215,129.34396862983704,215,130.597647190094,215,132.46874904632568,215,138.46909308433533,215,140.3195505142212,215,146.32593274116516,215,149.30547881126404,215,151.17467784881592,215,152.40991377830505,215,154.265305519104,215,156.75114727020264,215,158.6110396385193,215,159.83954167366028,215,161.70527720451355,215,167.71082544326782,215,169.58147192001343,215,170.81134486198425,215,178.1823172569275,215,180.0569989681244,215,186.04628086090088,215,187.27068877220154,215,189.12625527381897,215,191.73264169692993,215,197.71706366539001,215,198.93878388404846,215,200.8054482936859,215,206.76913475990295,215,207.9890193939209,215,209.84387850761414,215,212.33796572685242,215,214.19596433639526,215,220.1783926486969,215,221.41914415359497,215,223.2858545780182,215,229.27313995361328,215,232.27291798591614,215,234.15648937225342,215,240.15471172332764,215,240.71108436584473,215,241.94735980033875,215,243.82586193084717,215,249.80752062797546,215,255.8228256702423,215,261.82553243637085,215,264.81319761276245,215,270.8045566082001,215,272.6820766925812,215,273.90226578712463,215,276.5166177749634,215,277.70603704452515,215,279.5692980289459,215,281.80761432647705,215,283.6660861968994,215,286.37165546417236,215,287.78901076316833,215,293.76582503318787,215,299.754252910614,215,300.03719568252563
7,random graphs/ratio_d3/r1.5k18n12/graph7.lgbin,2413,298.1641125679016,245,571,0,408,3.822521448135376,372,13.503120422363281,351,19.409220218658447,265,24.050220012664795,248,25.38965940475464,246,30.28801918029785,246,31.62254762649536,246,37.29634380340576,246,38.30533957481384,246,40.05446434020996,245,49.06984615325928,245,58.16297650337219,245,65.91796779632568,245,75.0073938369751,245,79.747225522995,245,87.5417275428772,245,88.05464482307434,245,92.71567130088806,245,100.5433714389801,245,101.36722564697266,245,101.87311625480652,245,103.49667644500732,245,108.17492532730103,245,116.00771760940552,245,123.77513766288757,245,124.28673219680786,245,125.80242037773132,245,130.43929600715637,245,138.27236557006836,245,138.78650426864624,245,140.3157660961151,245,144.98505306243896,245,152.7866461277008,245,154.2970473766327,245,159.1641824245453,245,166.98034191131592,245,171.839097738266,245,179.57824206352234,245,181.08781385421753,245,185.9812319278717,245,193.79040932655334,245,201.62354135513306,245,203.15212225914001,245,211.00032544136047,245,215.87537550926208,245,216.84794402122498,245,224.68765711784363,245,229.34901642799377,245,230.3138177394867,245,234.98005032539368,245,235.94808268547058,245,240.58775353431702,245,248.35296320915222,245,249.3182017803192,245,253.9604570865631,245,261.7539927959442,245,262.5701711177826,245,263.53223848342896,245,268.2175850868225,245,276.0280616283417,245,276.86381340026855,245,281.54505443573,245,290.8140661716461,245,298.654335975647,245,300.0396001338959
8,random graphs/ratio_d3/r1.5k18n12/graph8.lgbin,2413,296.8561496734619,212,519,0,420,9.2732994556427,284,11.43871808052063,229,15.408617496490479,217,17.288489818572998,212,19.564807415008545,212,25.156459093093872,212,26.630444765090942,212,27.175666332244873,212,29.016820430755615,212,34.638081550598145,212,36.11924076080322,212,37.66634774208069,212,39.51163721084595,212,41.007667779922485,212,41.537025690078735,212,47.13890361785889,212,48.97472620010376,212,50.45068645477295,212,52.17493724822998,212,57.778051137924194,212,59.62628722190857,212,61.10535264015198,212,62.77686309814453,212,68.38717889785767,212,70.11113119125366,212,71.59914445877075,212,77.21635842323303,212,79.06009554862976,212,80.2147912979126,212,81.69384026527405,212,87.31259822845459,212,89.15237545967102,212,90.82884526252747,212,92.3100278377533,212,93.97116327285767,212,99.56700110435486,212,101.23224592208862,212,102.7167420387268,212,104.3828125,212,109.98574256896973,212,111.5477249622345,212,117.14310693740845,212,118.81042003631592,212,120.26030254364014,212,125.86213707923889,212,127.5188980102539,212,129.08269715309143,212,134.69392442703247,212,136.5287504196167,212,138.08620429039001,212,143.69686317443848,212,145.35940027236938,212,146.22984313964844,212,147.9054663181305,212,153.52190899848938,212,154.6708390712738,212,156.51009845733643,212,162.1293978691101,212,162.70200777053833,212,164.3794355392456,212,170.01964211463928,212,171.74984622001648,212,173.24516773223877,212,178.8631751537323,212,180.70768523216248,212,181.5747709274292,212,187.17168974876404,212,189.00475430488586,212,194.61172032356262,212,196.2775194644928,212,201.86705350875854,212,203.53275060653687,212,204.0845136642456,212,209.71230292320251,212,211.3714416027069,212,211.94642782211304,212,217.57017302513123,212,219.41600823402405,212,221.13648867607117,212,226.7285397052765,212,228.56839227676392,212,229.4355661869049,212,235.05652356147766,212,236.89652252197266,212,242.5469994544983,212,244.39364361763,212,246.23724102973938,212,246.7750437259674,212,252.38377690315247,212,254.05658745765686,212,255.7254078388214,212,257.39840364456177,212,263.0242018699646,212,264.1041569709778,212,265.1940715312958,212,266.2662949562073,212,267.7454905509949,212,269.22374081611633,212,270.7110118865967,212,272.1869444847107,212,273.66733503341675,212,274.7434575557709,212,280.36331033706665,212,285.99801421165466,212,287.4825897216797,212,293.08596777915955,212,294.564252614975,212,296.0527243614197,212,297.5341215133667,212,300.03794956207275
9,random graphs/ratio_d3/r1.5k18n12/graph9.lgbin,2413,296.1577956676483,210,487,0,374,5.1556501388549805,291,17.93849515914917,286,20.248242378234863,210,22.04324197769165,210,26.0995831489563,210,27.48684787750244,210,31.55089545249939,210,33.287625312805176,210,34.93488383293152,210,36.32142376899719,210,40.40891194343567,210,41.78759026527405,210,43.175100326538086,210,47.281914710998535,210,48.675432205200195,210,50.063390493392944,210,51.45428800582886,210,52.84668588638306,210,56.92750930786133,210,59.8170325756073,210,61.19801068305969,210,62.58170032501221,210,63.971617221832275,210,65.635493516922,210,67.02772998809814,210,69.92477774620056,210,71.31917452812195,210,75.38860869407654,210,76.77658581733704,210,79.67305421829224,210,81.04904103279114,210,82.45100569725037,210,85.34727358818054,210,86.73465514183044,210,88.12870264053345,210,91.02062606811523,210,92.41171073913574,210,94.16092920303345,210,97.04807567596436,210,98.43336820602417,210,100.17303538322449,210,102.01747918128967,210,104.91261744499207,210,106.32787132263184,210,109.2172863483429,210,111.22719526290894,210,112.65288639068604,210,115.53754091262817,210,116.83176255226135,210,118.26054096221924,210,121.15072107315063,210,122.9468183517456,210,125.83217740058899,210,127.67066884040833,210,129.47620844841003,210,132.3754563331604,210,133.66725301742554,210,135.08984208106995,210,137.98122906684875,210,139.26447987556458,210,140.6927170753479,210,143.58625602722168,210,144.87435221672058,210,146.29123854637146,210,149.18345761299133,210,150.595698595047,210,153.4796998500824,210,155.23050165176392,210,156.65189933776855,210,159.5412106513977,210,161.37311792373657,210,162.79916906356812,210,165.69011974334717,210,167.02925992012024,210,168.88476634025574,210,170.31298899650574,210,173.20673489570618,210,174.62512946128845,210,177.5220124721527,210,179.39405035972595,210,181.1446180343628,210,182.57618618011475,210,186.6540925502777,210,188.39733862876892,210,189.8130223751068,210,192.70466876029968,210,194.12057495117188,210,197.02048206329346,210,198.70465636253357,210,200.13443303108215,210,204.22274732589722,210,205.95931148529053,210,207.38630533218384,210,210.28869223594666,210,212.6061315536499,210,214.03512334823608,210,216.93623065948486,210,218.2923023700714,210,220.11044764518738,210,223.00613045692444,210,224.8778657913208,210,226.29961156845093,210,229.19377493858337,210,230.58250951766968,210,232.01363945007324,210,234.90578174591064,210,236.31954097747803,210,239.22017073631287,210,240.6373472213745,210,243.53128123283386,210,246.42304801940918,210,247.81243443489075,210,250.7099826335907,210,252.4016854763031,210,255.3005826473236,210,256.71770095825195,210,259.61557364463806,210,261.02913069725037,210,261.72129917144775,210,264.62130975723267,210,266.03586292266846,210,268.93128752708435,210,270.3525981903076,210,273.24936032295227,210,274.6650171279907,210,277.56052136421204,210,278.9851026535034,210,281.8841600418091,210,283.17275834083557,210,284.6012544631958,210,287.49801754951477,210,288.92250633239746,210,291.8245921134949,210,293.24878454208374,210,296.14507150650024,210,297.5655241012573,210,300.0398955345154
