Index,File,Nodes,Total Nodes,Butterflies,X-vars,C-vars,Total vars,Total constraints,Crossings,Opttime,Work,Nodes visited,Setup Time
60,Rome-Lib/graficon22nodi/grafo2630.22,22,31,0,76,100,207,462,3,0.023,0.0201,1,0.011
61,Rome-Lib/graficon20nodi/grafo2246.20,20,39,0,129,170,338,896,8,0.06,0.0645,1,0.022
62,Rome-Lib/graficon28nodi/grafo1646.28,28,37,0,66,72,175,282,2,0.014,0.0085,1,0.009
63,Rome-Lib/graficon14nodi/grafo2785.14,14,31,0,34,33,98,102,0,0.003,0.0019,1,0.004
64,Rome-Lib/graficon28nodi/grafo1264.28,28,39,0,131,112,282,874,0,0.014,0.018,1,0.022
65,north/g.26.9.graphml,26,38,0,81,82,201,368,0,0.008,0.007,1,0.01
66,Rome-Lib/graficon28nodi/grafo2058.28,28,38,0,56,49,143,190,0,0.006,0.0037,1,0.006
67,Rome-Lib/graficon16nodi/grafo1150.16,16,30,0,53,47,130,198,0,0.004,0.0035,1,0.006
68,Rome-Lib/graficon15nodi/grafo295.15,15,33,0,70,83,186,354,2,0.016,0.0134,1,0.009
69,north/g.22.37.graphml,22,30,0,88,44,162,452,0,0.009,0.0085,1,0.012
70,Rome-Lib/graficon26nodi/grafo1512.26,26,34,0,101,111,246,600,2,0.028,0.0292,1,0.016
71,Rome-Lib/graficon31nodi/grafo2107.31,31,38,0,62,65,165,240,1,0.015,0.0093,1,0.007
72,Rome-Lib/graficon26nodi/grafo398.26,26,30,0,74,65,169,416,1,0.016,0.0133,1,0.011
73,Rome-Lib/graficon20nodi/grafo2202.20,20,31,0,93,107,231,590,2,0.026,0.0291,1,0.014
74,Rome-Lib/graficon33nodi/grafo10842.33,33,39,0,102,127,268,610,2,0.031,0.0299,1,0.015
75,Rome-Lib/graficon24nodi/grafo2923.24,24,33,0,51,52,136,198,1,0.013,0.0062,1,0.007
76,Rome-Lib/graficon21nodi/grafo1927.21,21,43,0,100,104,247,488,0,0.01,0.0107,1,0.016
77,Rome-Lib/graficon27nodi/grafo1997.27,27,40,0,73,70,183,296,0,0.006,0.0056,1,0.01
78,Rome-Lib/graficon20nodi/grafo2213.20,20,49,0,177,181,407,1216,0,0.027,0.0353,1,0.036
79,Rome-Lib/graficon31nodi/grafo11127.31,31,46,0,109,125,280,574,0,0.009,0.0107,1,0.017
80,Rome-Lib/graficon32nodi/grafo2047.32,32,46,0,86,77,209,372,0,0.008,0.0079,1,0.011
81,Rome-Lib/graficon34nodi/grafo10086.34,34,43,0,129,163,335,836,1,0.038,0.0411,1,0.024
82,Rome-Lib/graficon28nodi/grafo932.28,28,45,0,145,157,347,936,2,0.053,0.0601,1,0.023
83,Rome-Lib/graficon33nodi/grafo151.33,33,46,0,125,135,306,722,4,0.037,0.0405,1,0.019
84,north/g.31.3.graphml,31,41,0,119,91,251,730,2,0.037,0.0347,1,0.018
85,Rome-Lib/graficon31nodi/grafo11356.31,31,43,0,121,130,294,706,3,0.036,0.0403,1,0.018
86,Rome-Lib/graficon20nodi/grafo2701.20,20,48,0,94,107,249,416,1,0.018,0.0148,1,0.011
87,Rome-Lib/graficon19nodi/grafo563.19,19,40,1,154,197,391,1246,9,0.059,0.072,1,0.031
88,Rome-Lib/graficon28nodi/grafo1399.28,28,41,0,149,138,328,1054,2,0.042,0.0422,1,0.026
89,Rome-Lib/graficon37nodi/grafo11342.37,37,49,1,133,153,335,788,5,0.04,0.0441,1,0.02
90,Rome-Lib/graficon32nodi/grafo1953.32,32,42,0,86,83,211,378,0,0.007,0.0082,1,0.012
91,north/g.27.14.graphml,27,47,0,150,233,430,1222,19,0.157,0.1616,1,0.036
92,north/g.39.23.graphml,39,46,1,186,167,399,1552,1,0.037,0.042,1,0.038
93,north/g.27.9.graphml,27,42,0,125,73,240,656,0,0.011,0.0129,1,0.017
94,north/g.28.14.graphml,28,45,0,87,79,211,382,0,0.007,0.0067,1,0.01
95,Rome-Lib/graficon30nodi/grafo1252.30,30,43,0,104,98,245,518,0,0.009,0.0106,1,0.016
96,north/g.32.12.graphml,32,42,0,123,105,270,718,2,0.036,0.0299,1,0.021
97,north/g.38.16.graphml,38,52,1,165,155,372,1118,5,0.073,0.0701,1,0.033
98,Rome-Lib/graficon37nodi/grafo7233.37,37,51,0,195,299,545,1610,11,0.128,0.1631,1,0.041
99,Rome-Lib/graficon35nodi/grafo11330.35,35,50,0,205,239,494,1708,3,0.086,0.1227,1,0.041
100,Rome-Lib/graficon25nodi/grafo1743.25,25,53,1,169,189,411,1168,4,0.056,0.0692,1,0.028
101,Rome-Lib/graficon35nodi/grafo11464.35,35,56,1,286,417,759,3066,20,0.348,0.5479,1,0.073
102,Rome-Lib/graficon33nodi/grafo1890.33,33,52,1,138,158,348,824,4,0.042,0.0485,1,0.02
103,Rome-Lib/graficon38nodi/grafo7745.38,38,52,0,141,171,364,872,3,0.04,0.0436,1,0.021
104,Rome-Lib/graficon35nodi/grafo3872.35,35,59,0,246,264,569,2066,3,0.113,0.1431,1,0.051
105,Rome-Lib/graficon28nodi/grafo1291.28,28,57,0,250,290,597,2052,9,0.125,0.2058,1,0.051
106,Rome-Lib/graficon30nodi/grafo1345.30,30,50,0,304,407,761,3466,15,0.323,0.5026,1,0.084
107,Rome-Lib/graficon32nodi/grafo10048.32,32,52,0,145,175,372,900,3,0.047,0.0506,1,0.022
108,Rome-Lib/graficon37nodi/grafo5193.37,37,57,1,145,178,380,860,7,0.082,0.0869,1,0.021
109,north/g.35.26.graphml,35,53,1,174,179,406,1188,8,0.077,0.0846,1,0.03
110,Rome-Lib/graficon35nodi/grafo3866.35,35,58,0,194,242,494,1388,7,0.07,0.0967,1,0.034
111,Rome-Lib/graficon36nodi/grafo6220.36,36,52,0,191,227,470,1368,4,0.074,0.0999,1,0.034
112,Rome-Lib/graficon31nodi/grafo1946.31,31,59,0,155,174,388,908,3,0.056,0.0634,1,0.023
113,Rome-Lib/graficon34nodi/grafo3023.34,34,54,0,139,157,350,804,2,0.039,0.0437,1,0.02
114,north/g.34.2.graphml,34,52,0,180,202,434,1332,1,0.045,0.0552,1,0.032
115,north/g.47.15.graphml,47,55,0,90,75,220,320,0,0.008,0.0063,1,0.009
116,Rome-Lib/graficon40nodi/grafo4020.40,40,57,1,218,266,541,1720,6,0.123,0.147,1,0.043
117,Rome-Lib/graficon28nodi/grafo141.28,28,66,0,198,200,464,1188,0,0.02,0.0264,1,0.03
118,north/g.38.4.graphml,38,62,0,169,163,394,952,3,0.045,0.0537,1,0.053
119,Rome-Lib/graficon38nodi/grafo6729.38,38,60,0,272,403,735,2526,25,0.673,1.0001,1,0.06
120,Rome-Lib/graficon48nodi/grafo5587.48,48,69,0,343,415,827,3360,15,0.533,0.8748,1,0.083
121,north/g.61.35.graphml,61,61,0,569,108,738,8796,0,0.078,0.1213,0,0.243
122,Rome-Lib/graficon40nodi/grafo2729.40,40,64,0,272,303,639,2096,4,0.12,0.1728,1,0.051
123,north/g.48.10.graphml,48,66,0,417,447,930,5284,3,0.264,0.4453,1,0.134
124,Rome-Lib/graficon42nodi/grafo5644.42,42,61,0,221,237,519,1574,5,0.1,0.1512,1,0.039
125,north/g.44.4.graphml,44,69,0,213,161,443,1284,0,0.02,0.0275,1,0.032
126,north/g.44.21.graphml,44,68,0,314,119,501,3598,0,0.035,0.0577,0,0.089
127,Rome-Lib/graficon40nodi/grafo5327.40,40,68,0,230,256,554,1502,4,0.106,0.1421,1,0.037
128,Rome-Lib/graficon34nodi/grafo2091.34,34,63,0,303,423,789,2902,11,0.195,0.2659,1,0.073
129,Rome-Lib/graficon42nodi/grafo3639.42,42,61,0,187,232,480,1292,3,0.074,0.1044,1,0.032
130,Rome-Lib/graficon36nodi/grafo2093.36,36,60,0,377,569,1006,4798,23,0.571,0.9484,1,0.153
131,Rome-Lib/graficon36nodi/grafo7380.36,36,62,0,214,280,556,1554,6,0.134,0.1867,1,0.037
132,Rome-Lib/graficon40nodi/grafo7000.40,40,67,0,221,269,557,1470,10,0.237,0.2942,1,0.037
133,Rome-Lib/graficon36nodi/grafo11030.36,36,64,1,299,376,739,2838,9,0.214,0.3329,1,0.07
134,Rome-Lib/graficon43nodi/grafo5519.43,43,69,0,331,449,849,3198,10,0.298,0.4782,1,0.079
135,Rome-Lib/graficon38nodi/grafo6069.38,38,60,0,188,221,469,1260,3,0.066,0.0926,1,0.031
136,Rome-Lib/graficon34nodi/grafo10081.34,34,64,0,235,274,573,1698,3,0.101,0.1526,1,0.042
137,Rome-Lib/graficon38nodi/grafo7531.38,38,61,1,147,178,386,892,3,0.043,0.0528,1,0.022
138,Rome-Lib/graficon40nodi/grafo2851.40,40,72,1,369,460,901,3692,17,0.681,1.1629,1,0.094
139,Rome-Lib/graficon45nodi/grafo3840.45,45,79,0,533,641,1253,6574,19,1.209,2.2976,1,0.17
140,Rome-Lib/graficon39nodi/grafo6094.39,39,79,0,248,281,608,1566,5,0.122,0.1575,1,0.039
141,Rome-Lib/graficon43nodi/grafo7206.43,43,78,0,331,354,763,2562,5,0.209,0.3478,1,0.065
142,Rome-Lib/graficon43nodi/grafo6359.43,43,76,0,437,594,1107,4990,18,1.124,1.7994,1,0.128
143,Rome-Lib/graficon30nodi/grafo2013.30,30,79,0,267,262,608,1610,0,0.045,0.0574,1,0.042
144,Rome-Lib/graficon39nodi/grafo10979.39,39,73,0,236,251,560,1508,5,0.148,0.1832,1,0.038
145,Rome-Lib/graficon40nodi/grafo3539.40,40,72,1,390,506,968,3936,20,0.521,0.9043,1,0.099
146,Rome-Lib/graficon38nodi/grafo10030.38,38,70,0,291,398,759,2504,8,0.162,0.2347,1,0.063
147,Rome-Lib/graficon39nodi/grafo10049.39,39,71,0,256,318,645,1808,11,0.326,0.4471,1,0.072
148,Rome-Lib/graficon38nodi/grafo3968.38,38,72,0,241,240,553,1576,1,0.066,0.0839,1,0.041
149,Rome-Lib/graficon42nodi/grafo3914.42,42,75,0,318,382,775,2582,13,0.356,0.5356,1,0.066
150,Rome-Lib/graficon42nodi/grafo3895.42,42,79,0,437,591,1107,4562,22,1.173,1.6301,1,0.119
151,Rome-Lib/graficon44nodi/grafo3592.44,44,71,0,326,442,839,3104,20,0.444,0.6197,1,0.076
152,Rome-Lib/graficon32nodi/grafo5235.32,32,73,0,271,292,636,1868,5,0.15,0.2034,1,0.046
153,Rome-Lib/graficon49nodi/grafo1408.49,49,77,0,348,373,798,3154,0,0.074,0.1122,1,0.078
154,Rome-Lib/graficon44nodi/grafo11640.44,44,73,0,378,530,981,3904,15,0.547,0.8738,1,0.097
155,Rome-Lib/graficon43nodi/grafo6165.43,43,76,0,281,323,680,1992,10,0.215,0.3052,1,0.051
156,Rome-Lib/graficon55nodi/grafo3371.55,55,70,0,251,277,598,1824,3,0.105,0.1553,1,0.046
157,Rome-Lib/graficon34nodi/grafo5744.34,34,72,0,222,266,560,1470,5,0.094,0.1293,1,0.037
158,Rome-Lib/graficon39nodi/grafo7479.39,39,70,0,339,402,811,3094,13,0.327,0.5322,1,0.078
159,Rome-Lib/graficon38nodi/grafo208.38,38,84,0,335,370,789,2544,4,0.179,0.2863,1,0.065
160,Rome-Lib/graficon45nodi/grafo7376.45,45,81,1,560,830,1471,7366,48,2.512,4.6816,1,0.189
161,Rome-Lib/graficon38nodi/grafo11603.38,38,88,0,319,364,771,2286,8,0.327,0.4673,1,0.057
162,Rome-Lib/graficon48nodi/grafo6755.48,48,87,0,398,488,973,3484,12,0.504,0.9023,1,0.089
163,Rome-Lib/graficon34nodi/grafo5990.34,34,89,0,351,404,844,2792,1,0.189,0.314,1,0.1
164,Rome-Lib/graficon43nodi/grafo7040.43,43,83,0,363,392,838,2980,3,0.147,0.1971,1,0.075
165,Rome-Lib/graficon42nodi/grafo5958.42,42,86,0,376,436,898,3016,11,0.585,0.8564,1,0.077
166,Rome-Lib/graficon52nodi/grafo1591.52,52,85,0,359,421,865,2866,5,0.34,0.5781,1,0.072
167,Rome-Lib/graficon42nodi/grafo7049.42,42,81,0,413,494,988,3880,12,0.691,1.146,1,0.101
