Index,File,Nodes,Total Nodes,Butterflies,X-vars,C-vars,Total vars,Total constraints,Crossings,Opttime,Status,Nodes visited,Setup Time
0,north/g.10.72.graphml,10,12,0,4,2,6,7,0,0.007119894027709961,2,0,0.041
1,north/g.13.45.graphml,13,13,0,8,2,10,11,0,0.00019097328186035156,2,0,0.002
2,Rome-Lib/graficon13nodi/grafo2518.13,13,20,0,44,44,88,154,0,0.0041599273681640625,2,1,0.006
3,Rome-Lib/graficon16nodi/grafo894.16,16,26,1,170,240,410,1095,9,0.02780008316040039,2,1,0.024
4,north/g.33.5.graphml,33,35,0,38,26,64,114,0,0.0002899169921875,2,0,0.004
5,Rome-Lib/graficon22nodi/grafo2165.22,22,32,0,76,68,144,262,0,0.0017039775848388672,2,0,0.008
6,north/g.27.3.graphml,27,41,0,46,42,88,140,0,0.000270843505859375,2,0,0.01
7,Rome-Lib/graficon33nodi/grafo9905.33,33,49,0,434,574,1008,2926,12,0.12174415588378906,2,1,0.056
8,Rome-Lib/graficon32nodi/grafo11261.32,32,55,0,240,268,508,1106,2,0.01599717140197754,2,1,0.024
9,Rome-Lib/graficon26nodi/grafo427.26,26,51,0,220,274,494,1153,3,0.01609206199645996,2,1,0.028
10,Rome-Lib/graficon48nodi/grafo1669.48,48,62,4,634,852,1486,5125,15,0.24078893661499023,2,1,0.094
11,Rome-Lib/graficon36nodi/grafo5809.36,36,63,0,482,576,1058,3027,8,0.07995796203613281,2,1,0.118
12,Rome-Lib/graficon41nodi/grafo5414.41,41,70,0,322,326,648,1442,1,0.019989967346191406,2,1,0.034
13,Rome-Lib/graficon39nodi/grafo6892.39,39,74,0,956,1486,2442,8921,33,1.6164000034332275,2,1,0.154
14,Rome-Lib/graficon38nodi/grafo3421.38,38,89,0,922,1196,2118,6571,21,0.8779420852661133,2,1,0.122
15,Rome-Lib/graficon42nodi/grafo3326.42,42,82,0,964,1404,2368,8104,30,1.449643850326538,2,1,0.143
16,Rome-Lib/graficon42nodi/grafo7485.42,42,99,0,822,1014,1836,5398,15,0.3380160331726074,2,1,0.11
17,Rome-Lib/graficon58nodi/grafo4852.58,58,96,1,1366,1972,3338,12881,42,1.967426061630249,2,1,0.3
18,Rome-Lib/graficon37nodi/grafo11295.37,37,101,0,594,658,1252,3090,2,0.04004406929016113,2,1,0.07
19,Rome-Lib/graficon47nodi/grafo6344.47,47,100,0,1090,1336,2426,8115,11,0.3265869617462158,2,1,0.153
20,Rome-Lib/graficon62nodi/grafo9132.62,62,116,1,946,1158,2104,6618,12,0.31242918968200684,2,1,0.133
21,Rome-Lib/graficon52nodi/grafo7115.52,52,113,0,1070,1250,2320,7576,7,0.2708261013031006,2,1,0.141
22,Rome-Lib/graficon62nodi/grafo4231.62,62,123,0,1564,2022,3586,12971,31,60.01514792442322,9,2605,0.303
23,Rome-Lib/graficon68nodi/grafo9700.68,68,124,0,1782,2368,4150,15971,30,8.268730163574219,2,76,0.325
24,north/g.92.4.graphml,92,131,0,104,82,186,349,0,0.0005950927734375,2,0,0.118
25,Rome-Lib/graficon73nodi/grafo8613.73,73,131,0,1670,2054,3724,14062,15,1.9923808574676514,2,1,0.276
26,Rome-Lib/graficon64nodi/grafo9178.64,64,141,0,1824,2360,4184,15292,27,5.197275161743164,2,1,0.334
27,Rome-Lib/graficon75nodi/grafo9736.75,75,147,0,1366,1610,2976,9442,14,0.42693305015563965,2,1,0.196
28,Rome-Lib/graficon67nodi/grafo4841.67,67,158,0,2354,2940,5294,22267,41,60.01761484146118,9,326,0.461
29,Rome-Lib/graficon46nodi/grafo6212.46,46,159,0,2190,2608,4798,17933,37,3.2038371562957764,2,1,0.398
30,Rome-Lib/graficon84nodi/grafo7949.84,84,160,1,3082,4072,7154,33019,47,60.014333963394165,9,105,0.753
31,Rome-Lib/graficon63nodi/grafo9547.63,63,165,0,2556,3268,5824,24792,57,60.01083207130432,9,42,0.454
